,UKF243,UKF248,UKF269,UKF296,UKF304,UKF313,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,0.042684512800205944,,,,,,,-0.01036839198148381,
BMP1,-0.07210744401449042,0.02227637352532192,0.15509933619350377,0.022357088797853284,-0.01421328562083145,0.11306786805799995,0.036766953154904886,0.08820117018048233,-0.018096076331773247,0.007392705901798012,0.057834423060189766
NDP,-0.04830745287394538,0.06681392120805169,0.046246853361307357,-0.04321579184305853,0.03131877536262676,0.05513503709122674,0.07073159361949787,0.05908894675781189,-0.021722846933958623,0.02568430185971482,0.008232513949837069
TNFSF18,0.008173943060414484,-0.02723212607724665,0.09199109334978535,,,,,,,-0.015720927373578584,-0.03518294640871613
RTN4,-0.06190324775166696,-0.01332524985306613,-0.16751358571993757,0.023311325671243582,0.016096307312632317,-5.0783908174678253e-05,0.00030321247118065154,-0.03030204899761477,0.028932340686557947,-0.017034479223080986,-0.10367684145425236
HEBP1,-0.006967204770211827,-0.018122495409744692,0.10408266167839443,0.002779967617035438,-0.027597736043838663,0.042372440247044264,-0.09556607212319655,0.07232247280090291,0.03716653525783691,0.02512725014423329,0.010480962425920769
WNT7B,0.0016994935160035641,-0.007064627912032102,-0.07735566156983673,-0.016214408580319348,,0.08480393001066823,-0.059085891754826515,-0.03132425032991481,0.010305415089178918,-0.020451811184902993,-0.02947978853531588
PTMA,0.06088611087850317,0.024563055136359556,-0.12340566644427998,-0.020106094515500633,-0.027195076607309018,0.06500658592881416,0.024434467111281038,-0.010508548241126013,0.05347290250028521,-0.040445554455032603,0.015544669251701795
FASLG,,,,,,,,,,-0.003649091952758046,
CEACAM1,,-0.017332501932770163,0.14228720988106724,,,,-0.044493158179013906,-0.015175140945307393,0.16278222623798114,-0.032300739469720306,
