,UKF248,UKF255,UKF269,UKF275,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,-0.016803103505249682,,,,,,-0.016113797482599713,-0.021305655013104035
BMP1,0.045768363993720855,-0.04774247281751804,0.09188858418954586,0.008632821681759637,0.022912630619601953,-0.04653777867014159,0.012833434523985917,-0.051452204938836024,0.03850957763099342,-0.03319893399015527
NDP,0.05794052013311055,-0.04295249775458015,0.09108024847404328,-0.003466091852173505,0.0536704097949117,-0.003245125429510362,-0.011513962380250854,0.0443427651450836,-0.010362229847070475,0.04686254891175713
TNFSF18,-0.02335304940785345,,0.03566601553523836,-0.012358478658726475,-0.024507774567330932,,,,-0.016617874918576633,-0.035938830946981394
RTN4,-0.04825564039605623,-0.033339825374144934,-0.15238920408934437,-0.006250865810033848,0.02163098366599306,-0.06485116771440162,0.016879154062143173,-0.11052180931730612,0.00616055244161854,0.030018682728702856
HEBP1,-0.0173625259638617,0.023706790938111007,0.04680266033873502,-0.018419257671678905,0.02870785107743978,0.007835079525280371,0.015160188859465948,0.04764102188449305,-0.018398621885296847,0.048603588297794514
WNT7B,-0.034559951540150055,0.03555272929909988,-0.03668933259869751,0.03749026385727441,0.02758574571601556,-0.07857799477189531,-0.03374169473716249,0.04011371504702378,-0.03474932080584418,-0.027330200300118627
PTMA,0.04650049613890045,-0.002200380246463727,-0.018304203577125602,-0.059571151268861956,0.03224899054589056,0.03142785587377621,-0.05896079023519514,0.030384963533177684,-0.01915507009171625,-0.07260191445330456
FASLG,,,,,,,,,,-0.018478387324335894
CEACAM1,0.008135207484666736,,0.025607169242587675,-0.019436942719909513,,0.0356764731806818,0.011324411931986541,0.0028306284423785066,-0.02387815132837093,-0.025709961980719963
PDAP1,0.01930257666320855,0.09387038051071898,0.08776514615228924,0.0007809442485734159,-0.023934110577830743,0.031815685124238324,0.00902659081525414,-0.041262696006320314,0.02298798905400426,0.03312116707373547
QDPR,0.008120768663900872,-0.04689048738971767,-0.11047244601071114,0.003374885596388982,-0.034754647427807886,-0.04352016129311657,0.054225476478439665,0.04387594436105153,-0.02489298258510671,0.04273229355404892
POMC,-0.0050447110640812216,,0.05338224631295093,0.06314661466250668,0.03678445073211586,-0.06530444790463312,0.05155724587781264,0.07112724039894051,0.03407927560716393,0.015113583642673503
CCL18,-0.018548338404480714,,,,,-0.039086142705849494,0.027134476398124784,0.014019189017114424,,
CCL17,,,,-0.015413429009320242,,,-0.017371469260326233,-0.04000509864168585,-0.021245111166988368,0.007727253201034437
VEGFD,-0.018548344294446906,,0.05290054810233236,0.0009558027883603183,,0.040618373632117524,,0.03421810869486604,-0.02240703499208314,
TNFSF13,-0.013997175817466631,,,,,,0.019587741167771802,0.08425540002967428,0.064681434783442,-0.027290417438561084
WNT5A,-0.012235336904747157,0.0671554338366536,0.0621641655498391,-0.025812200892661487,0.024093795389061427,0.09484115620983169,-0.008056432672295749,0.008551031969668527,0.006056609004202297,-0.03297315796550837
CXCL8,-0.012612829596042546,0.06774347608430117,0.031890213833598025,0.05569281980214683,,0.024248627918062475,-0.03241376258795899,-0.0842968615865128,-0.030163426749693283,0.029680429648753184
GRN,0.03412072300119095,-0.011793997625981293,0.060124025527658845,-0.010324574157325031,0.034156189747733476,-0.011672625772776586,-0.0026626033927088367,-0.0757660349396064,-0.0022566645948322683,-0.06901610191406952
