,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF334,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.01397790798456315,,,,,,-0.024056556926017526
BMP1,0.001654644834144099,0.04197576367081415,0.017265102028948088,0.0494230145881894,0.060332204632042905,-0.03128133814541809,-0.03919102170896751,0.07372401112235709,0.039474145824803415,-0.02543724582850013,0.019083313238349792
NDP,0.007637948494060727,-0.008314792350709628,0.102935051450432,0.015272567074518704,0.032232987449014726,-0.0011122185528771816,0.036656673321987375,-0.06284939971020273,0.02021444579938415,0.02054421951133963,0.10897866000739707
TNFSF18,-0.024830504610871256,-0.001748649094681958,,,0.01568048473684197,-0.010950445511749063,,0.04601734061987482,,,0.022551094848091747
IL36G,,,,,,,-0.01729702325534851,,,,
RTN4,0.08304540398170468,0.0037319185706251308,0.035043645754769905,-0.005121684330528293,-0.13838731195039453,-0.0032378360121395645,0.0014682937334965591,0.027988878198980063,0.027026680951432226,0.05822969581730015,-0.07787754352604083
HEBP1,-0.02205279287119256,-0.00540387311090286,-0.00026756770188909586,-0.032010604225478995,0.08731363662995215,0.04054166240313034,-0.02650019225362202,0.0337295704532511,0.01886735374278513,0.0408909876418008,0.04281788732807234
WNT7B,0.003610970479946691,-0.0199368237204476,0.1054477131323388,0.012230982150717681,-0.03786677138897039,-0.0313884327080375,-0.019011421890794886,,-0.03178787666294823,-0.004896185252860483,-0.02643225555802878
PTMA,0.018317416907288844,0.016337139200219633,0.057063080977164046,0.0260945955244214,-0.020017476832300936,0.003962355035222171,-0.02979525394793698,0.04267926494297664,0.03307710630182688,0.03865757267472863,-0.09937272036110355
FASLG,,,,,,,,,,,-0.020864243614922014
CEACAM1,-0.01580393568753256,-0.01530031308624151,,0.005324444901818435,0.00037495289349853114,0.014935127852867118,,-0.030149690555471072,-0.01539974631896,-0.014464088448152734,0.05677396928751057
PDAP1,0.02992969215790093,0.006176084365389855,-0.012247780813131865,-0.017551028730269817,0.08005265541101128,0.001986277352100338,0.0019573001495098315,0.06555160919536317,-0.06354815953979981,0.07155033509306012,0.01500539995180899
QDPR,-0.008506805428150781,-0.010814123050657414,0.011491186157917941,-0.013469557830338031,-0.09209456295535745,-0.034100149552883666,-0.01506692517756968,0.03881118747213232,0.028185025483063775,-0.03276352956984442,0.04841039887048372
POMC,0.0737776609571254,0.08447953734432252,,-0.0017996036520147268,-0.0026817620405379773,-0.012706031031000374,-0.017340450903371305,0.008433376714673379,0.022500327134769106,0.009587556853391329,0.003587756806991895
CCL18,-0.019721818518551773,,,,,,,,0.008629678869301027,-0.03317994890565381,
CCL17,,,,0.011083005262845428,,-0.01365733753940605,0.06926728260207628,,-0.022230500598774752,,0.13435778498712642
VEGFD,-0.019721824781152864,0.035908627691806784,,0.03293000352105521,0.041356234372546846,0.023192927774268075,-0.016934765999242412,0.028708821017326597,-0.01539974631896,,
TNFSF13,-0.01488272184950288,,,-0.01332683842363543,,,,,0.010533117823243038,-0.016242201907397624,0.06442376410442055
