,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,-0.01978135801411568,,,,,,-0.017771228792480855,-0.01665337286649395,,
BMP1,-0.02971415582775476,-0.08066437391299462,-0.0016796889297153769,0.06328015330372809,-0.030168165234687242,0.010113742926495773,-0.041893114431220624,-0.06327592102346452,0.09877991804389899,0.06838004077469333,-0.03609165549045966
NDP,0.02936096046932072,0.0006158371200714017,-0.011931142383266263,0.04019981062702335,-0.05916799445471281,0.09213347851366029,-0.008004859845297578,0.06528021888426283,-0.07829335337026404,-0.004918449774048575,0.015750229029819502
TNFSF18,-0.017775833683946262,-0.015973091766386276,-0.013506325325882383,,,-0.018430675781144823,,-0.01832715457307641,0.06303749956045146,-0.020961802835552434,
RTN4,0.04608248829722062,0.1416039846705552,-0.011192108030428487,0.008613261328038429,0.12031832808025704,0.031323393097154824,-0.06372927020923223,0.0031333271277546784,-0.0440402831552963,-0.05744799295329084,-0.0414833366534241
HEBP1,-0.013623045002609397,-0.05454703669371234,-0.004813656478658262,-0.028029938005256227,-0.06085962147942951,0.021012912680374037,0.004193539677091748,-0.04269330391537038,0.023460246305374747,-0.031254948190790804,-0.09425968226242387
WNT7B,0.010404531401332373,0.034326541778254345,0.021772990357949825,0.05336190352820863,,0.06795566567151783,0.009250480813521814,0.0051429640593563565,-0.03554522060118889,0.047927098524234574,-0.02164945166262442
PTMA,-0.0038858763285467557,-0.07733514522839226,-0.06692188317074235,-0.04047642377953086,-0.13007812360717455,0.057953085023296394,-0.013833799721943624,0.04480699119448907,0.11785346009587512,0.05833266323616296,-0.18764145736020738
FASLG,,,,,,,,,-0.014443464605729954,,
CEACAM1,,-0.03865546214347877,-0.007976552266298606,,,,0.06796512252873635,0.01332105116663424,-0.020095959640056817,,
PDAP1,-0.027031922573667985,-0.046208353543936126,0.010068582637203869,-0.0030814539306989407,-0.008350883787065173,0.08012717548241435,-0.012459489229241763,0.03683648119688403,-0.01381315533925048,-0.08171304661243096,-0.023310962392268368
QDPR,-0.021055467456647523,0.0581112657276435,0.03411839423493108,-0.013715559349740936,-0.12195566434873896,0.01299795926455624,0.04577103747921528,0.04709573401538537,0.016542648663237815,-0.02524060985269787,-0.040153789764557746
POMC,0.11531190828948282,-0.03356974196137042,-0.015671671853105917,0.002611367617689388,0.0010538316605174431,0.026747148709437313,0.007601352107416122,0.006185548197518241,0.03981590049924805,-0.0018417498187759114,0.0022826461493165753
CCL18,,,,,-0.053748949504587244,,-0.01330616749541832,,,,
CCL17,,,-0.016845017282145363,0.007508638578249283,,,-0.017371465326944946,-0.023430338607515384,-0.013091378380653777,,
VEGFD,,-0.0331390808995875,0.0753588418298715,-0.014824718290345752,-0.02241637951516321,,,-0.024711775472878193,,,
TNFSF13,0.049643808200916635,,,,,,0.045235238338538285,0.05862190213711235,0.056352334006355156,-0.02478595059260388,
WNT5A,-0.014871927026085358,-0.08044158062531655,0.03255243958736951,-0.05285949239373789,-0.0025927130434519677,0.0030554619023391632,-0.00491194187450199,-0.06883013063100951,0.09049720432197375,0.05196166049127964,-0.03574015472170164
CXCL8,0.06918258398720656,0.010750274232131072,-0.03563316095385502,0.0268403070870879,-0.05107943354420328,,-0.0056259884329586075,-0.002854152327144153,0.016999693523256504,0.014289854759375541,0.017702107169044783
GRN,-0.035738872314173976,-0.12294720880247414,-0.05687403355332459,-0.040571513422479784,-0.1342547788917448,0.0939580107240192,0.0018228704651125365,-0.009332931670342237,0.07260977266035976,-0.014578788220663092,-0.00895566576717674
MIA,-0.031171166274610182,-0.056507274855063225,-0.016447714177453894,-0.016859994998666663,,0.145422453444185,0.06817461518220258,0.026772536017301188,0.0014380848543060433,0.05399569525022698,
COL4A4,-0.01640200456012947,-0.01949306004830632,-0.017586719205015824,-0.0072063333472592835,,,0.03239246495915825,-0.0056887687444628484,0.08590172179965117,-0.03400127894275598,
TAC1,-0.0008680567452511415,0.0652084214729972,-0.005139276407199301,0.004538202440263118,0.1513237011534492,,,,0.08125302150593222,-0.08177069053082318,0.14122948788704326
RARRES2,-0.05970572441549232,-0.07289098605525433,-0.02131679968324047,-0.035435306439264486,0.015567866286805466,-0.003425546934394627,-0.032068463359892316,0.02200414018679749,0.049941272620449347,0.017133568031870244,-0.06347321257158338
FGF7,-0.023464676927448566,-0.04051868796512051,-0.04009117496788933,-0.02312520460798941,0.020380997031592588,-0.03155387841292273,0.009951447367514334,-0.0052926679155620845,-0.0366163181134015,4.7572432064238396e-05,0.0010538542143778426
HBEGF,-0.06477696311145602,-0.003680975739847837,0.024812443280985263,0.033056014120284416,-0.0705253449272677,0.011800116190705943,0.014137041957641174,0.036271293035515746,-0.017988829826293073,0.10856560789788604,-0.011009065369321107
CSF3,,0.1281716793869818,,,,,-0.06763046135299261,,0.015671277396888665,0.001530873232351401,
PI3,,0.07672952754901438,,,,,-0.07220671532826627,-0.019907894048978244,-0.029946318603056233,-0.02063516024646455,
PCSK1N,-0.03685665701289986,0.1061264537273581,0.09502927932507968,0.003239109351136965,0.13651507898350218,0.020307424698247412,0.044380257373905295,0.018209731978063432,-0.08872662206783197,-0.061759264345411014,0.09999453615599671
NTS,0.01707473754972888,-0.02534849479408266,0.09301905424305272,-0.03071109249086521,-0.020181942312164903,,0.12983288202865262,,-0.020411042447655472,,
SFRP1,0.04833415630647565,-0.015406117258639081,0.0680397849212111,0.07733931784873882,-0.013401968297758561,0.05698444790524609,-0.0010369222845019854,-0.04805393211625462,0.0009658018471344237,0.053051993314527875,0.12084980944404798
CXCL13,,,,,,,-0.02765984375148178,,,0.013503645441399013,
MICA,0.005012962489282314,-0.0787733088284757,0.008704452900268177,0.03708155356161868,-0.0018739178117101872,0.0502996090868232,0.023240825936957955,0.015649061621095625,0.04054630843035902,0.06547369741882482,0.10347135803318214
TG,0.009887779456855594,-0.024890456656589302,-0.01697071743746214,0.04258673735663931,,-0.0487462453674655,-0.02308233430426624,,-0.026879872650839416,0.012324990494742682,
