,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH916bulk
IGFL3,,,,,0.13913611569677345,,,,,-0.024031219844862377,
BMP1,0.07703227665406029,-0.00993584265563286,0.02135423959196031,-0.0212320679069543,0.037554790329760925,0.01493760927142186,-0.007338945131155102,0.021973528895456017,-0.04618652463588485,-0.036012011902465384,0.013201396223470227
NDP,0.016931870858075085,-0.00955128215681556,-0.019778862281608058,0.024780438903233726,5.6897711370491885e-05,-0.007526378791473,-0.013317485558097114,-0.019819345201917107,-0.05907820913348697,-0.04474075714140037,0.03904321045129464
TNFSF18,-0.02410260323697952,-0.00011277035474692704,,,0.06254001740740324,-0.01749266208521617,,,,-0.004242197789984263,-0.023953089948428947
IL36G,,,,,,,,,-0.011835995377102499,,
RTN4,-0.02664319649606076,0.007879663780502172,0.005622354058598957,0.022232640632134697,-0.027136125559353512,-0.002356048388829442,0.0011055668553163836,-0.01529796085544127,0.02536297121569525,0.11082683063056648,0.034321954432692765
HEBP1,0.00822071897432764,0.0019650100154831826,0.004129215835405721,0.005239250011571071,0.0683512572830578,-0.03149639872776021,0.021813284487296362,0.0021659551849938733,-0.018200801120925446,-0.01274437504820483,0.05500688059677069
WNT7B,0.021395085318770015,-0.01570923746084031,-0.028071515341134338,0.047772800867992835,-0.015879082868594362,-0.02188593243436297,-0.037762840312272714,,-0.013009122916107202,-0.010318098256596148,0.019342881428959943
PTMA,-0.06077727460404116,0.06425185493143191,0.005421284323479057,-0.04417437291000053,0.004383525514638602,0.03751624806501162,0.009684720877826111,0.0054980886631536266,-0.009239819152120536,0.14508726649475986,-0.06871406024408414
CEACAM1,-0.01534064641169501,-0.012055894904184574,0.031799534553492,-0.022952459220538093,0.004352359255452196,0.013693703561619605,,,,-0.03561054460816007,
PDAP1,-0.06707620013773333,0.0564188183419474,0.004655346569896,-0.040499101766571795,-0.033086317031412946,0.03174540761476541,-0.007935240615863776,0.03282308881168747,-0.02784146053524206,-0.07826894576237797,-0.00853508856276239
QDPR,-0.006281768822560218,0.026590181805736923,-0.029976492269938496,-0.01579864885914532,0.03934523575975671,-0.008432439780436443,-0.010609535265981717,-0.025631119380911362,-0.05899005602417757,0.05127740813670053,0.07157626595518998
POMC,0.10115302575401369,-0.021421401815946886,-0.030185746217723994,-0.02124795334346027,-0.013128452943061386,0.021245062049208258,-0.027111764214370452,-0.025088987384646138,-0.02535874695521971,0.025834506775211236,0.01666582380262399
CCL18,0.053474174403533206,,,,,,,0.05107315664366233,,,
CCL17,,,-0.018787875394671815,,,0.017420528501495565,0.007941505110496091,,-0.010812517800777955,0.03698106231639494,
VEGFD,-0.0191436833547572,0.0018828186178748798,-0.006935972588349324,0.011092364811716264,-0.008608671234277979,0.06248362237897585,0.01629620534123502,-0.0182365004826857,-0.011588110226848808,-0.03341660366203141,
TNFSF13,-0.014446437776695163,,-0.012959455962177025,,,,,,,-0.0032268004099229326,-0.026057545202657087
WNT5A,0.046216068917410424,0.04081422893614819,-0.078233074877877,-0.02531017534335367,0.027454490553217335,-0.038893696113849796,0.07332997614994577,-0.05960566208026027,-0.012807417521713216,-0.011642108975156613,0.003879107968528554
CXCL8,-0.00044713729591072416,-0.016168404613912155,-0.039400579728083585,0.023838407542276625,-0.0443007872627577,-0.014590422740333517,0.016466111464682683,0.03085439478594798,0.007435976940481758,-0.044984054210624,-0.024340665219736508
GRN,0.1289824599754502,-0.015475026129563316,0.004252566754316472,0.06734820060382399,0.040325806577844875,0.007109170433644652,-0.017663403344951867,0.04061838596824291,0.025203979628894806,-0.07450528633535629,-0.016858663128784115
MIA,-0.03814082209262883,-0.01535664094250836,0.06851377008251794,-0.06663305492008882,-0.01482270630960368,-0.0296139299388578,0.019706752715976324,,-0.015870448010489067,-0.07014398694130462,-0.022476313194411877
COL4A4,0.04047420246362914,-0.02582529614301259,-0.03838307681411412,-0.03422825969888233,-0.01923099761401625,-0.022777367553215296,-0.010940367983644388,,-0.015394923349486903,-0.02771761703153815,-0.029123252341369556
TAC1,-0.05229966087961535,0.012369082758019337,0.046630375354883076,-0.03099822993311254,-0.022856849801899535,0.0009590496033777044,0.04266237813644984,0.010101794414200772,0.04115203437262247,,0.011461937938103198
RARRES2,-0.08063124718043205,0.009805213761831313,-0.031889297779671526,0.011052196958165582,0.0024720721202567577,0.024409093120349883,0.016601719666858993,0.09190368484337799,-0.005356138446143636,-0.06886632656191319,-0.024850066987622876
FGF7,,0.048178509101707866,-0.024834429495383666,-0.023990057374696585,-0.031505576795843614,-0.03551468947923248,0.027777315108521914,0.04768184641250974,-0.04141662807655076,-0.0214782722927683,-0.003864371878047462
HBEGF,0.09245090679087402,0.05389244503227135,0.012474011914409026,0.035037778839957005,0.031748349657550204,-0.007969687032706618,0.021482440563567923,-0.023458177701643695,-0.011772938262551144,-0.00651660393793997,-0.06107233591221178
CSF3,,,-0.022393509298527726,0.058281879953959,0.017890144459704566,,,,,,-0.03063432930041343
PI3,-0.020139955625097496,,0.009801227889707054,0.06908630727453478,0.07858187588223063,,,,,-0.026920534540731535,-0.05758366316146774
PCSK1N,-0.07405601523704892,-0.055962823984598876,-0.06863490008789662,-0.02507281562120814,-0.03668348084809588,-0.04603310987632308,0.004561441211077634,-0.002803936895598016,-0.04295246592633259,0.03982246172963827,0.03803679120047622
NTS,,,,0.06426208458340069,-0.02500771257544358,-0.02602049473019189,-0.00412964461195495,-0.01641870849252752,,,
SFRP1,-0.0012673541715441119,-0.012696300098282275,0.10964593666362378,0.0349502542304907,0.0038104128345751,-0.018762135615141694,0.006486748525211555,0.011965711158576722,-0.030874527049567457,0.08989565077220273,-0.024327604089826933
CXCL13,,0.018987035805302387,,0.004942714606309504,,,,,,,0.11776187829854842
MICA,0.012616695816844152,-0.03559463759546558,-0.020243927933998804,-0.02159001661972783,0.04962969419947151,0.024549028535414,0.06485334620424046,0.007166017295543193,-0.04551465727577614,0.07582849180270958,-0.05381343136645785
TG,-0.03014664745155139,0.1260121838689926,-0.0176908033891713,-0.020710215858778525,-0.024555832249448867,-0.009472872904781065,0.0024353904062978417,,-0.016241927414805908,,0.08522203216110992
