,UKF248,UKF251,UKF259,UKF260,UKF275,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.0022579839033839825,
BMP1,0.027479950624353884,-0.0277526966875874,-0.016755709235794246,0.001093136972665743,-0.03756580643541493,-0.02199621592639318,-0.029888555024800277,-0.05308367197031587,-0.019420857448826195
NDP,0.037095973639943824,0.032444697823283256,-0.0018299259771246284,0.007570725245528643,0.021551377908369647,0.01315913148778824,0.048281682615547376,0.06797484131716225,0.06471875133807946
TNFSF18,0.017724360657446883,0.025155188447354707,,,-0.015670681197124652,0.0026756261780915276,,0.007882263302063304,0.006922246326683325
RTN4,-0.03353937037304172,0.019233193485672647,0.003322054077128225,-0.022752973516441132,-0.02612308798472427,-0.03210389713882376,-0.0009805825608386804,-0.004028123784149773,-0.0500081571504863
HEBP1,-0.00977025566488983,0.028421737889973223,-0.03224388885849704,0.029838919055648186,0.03170839022172302,0.024529190846546044,0.005304043512812691,0.0402521556527103,0.030602116426686685
WNT7B,-0.025404146454848935,0.005570488619782916,0.00540314509853773,0.001768098289986931,-0.018390654357917965,,0.10837740776258936,-0.04057563322497602,0.09619747779968178
PTMA,0.04574922054199695,0.02515185444584795,-0.027582780018225995,0.03367915291706945,-0.0817915205834132,0.008024641603840234,-0.031016254710830814,-0.06364292356968636,-0.052569410299161186
FASLG,,,,,,,,-0.016487525254532242,
CEACAM1,-0.015573938536887696,0.0015177808473021456,0.16180157592423922,-0.014122260407800397,-0.024646248233426368,-0.030603842339149787,0.09193889432928809,-0.022939969815002174,
PDAP1,-0.01382541250495502,-0.007480697626024569,0.008554995184716039,0.004446147085685654,-0.02323485155132795,0.031119296879832798,-0.01793519656396348,0.10177566781217962,-0.03293307070489688
QDPR,0.03334212887929296,0.034807662696449866,0.05106207289282792,-0.06833268899227983,-0.016687521674027737,0.03788882247189138,0.02104265492671238,0.06123412968409209,-0.02799076244917428
POMC,0.03384184773507872,0.010155941716127374,-0.011591060091970855,-0.01423260516887456,-0.018183019252864776,-0.057231214631954005,-0.011930147810838508,0.09658519875732681,0.07079826474051158
CCL18,-0.019434803805604008,,,,,,-0.0007542194859345896,,
CCL17,,,-0.014783244262111217,,0.039332270190680786,,0.12489758400044675,-0.014944089770679925,
VEGFD,-0.019434809977064482,-0.02508823907141025,-0.016470166617523426,-0.013511379181804705,0.018848408971904252,-0.04160525301274267,-0.01517513825539513,,
TNFSF13,0.031122204520377252,,-0.010197151033227995,,,,-0.023811360840855583,-0.02435014694883143,0.03670189418644496
WNT5A,-0.0496864535019668,0.028004371948574244,-0.03115931038455541,-0.04536084445551432,-0.001542643087682168,-0.061481139941261316,0.017625403311379524,0.02905216734303272,0.03306127308997542
CXCL8,-0.03628398824725188,-0.023491140039114795,-0.04566912090227154,0.11736540051888715,-0.022678646121530616,0.13749081894271825,-0.005521859269579024,-0.01765531040852487,0.028214080517210943
GRN,0.031419808484459875,0.022797048528909635,-0.028982414980918032,0.00015020922683907538,0.0018197867212385965,0.10216779634155497,0.011655917451712955,0.024208199512253472,0.015498886522619233
