,UKF248,UKF255,UKF259,UKF269,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.010890990369209302,0.00584994026681014,0.0035612597978370904,0.08019426773276654,-0.012811819873524208,-0.07953566884272086,0.0899391743229639,0.1289622135858264,-0.009799906133019112,0.03408348383225212,-0.07631262862622823,0.014176343939659162,-0.02862672407601657,-0.09055341325961533
RARRES2,-0.07225920863267056,-0.06539597939125982,-0.03434548363245638,0.0950990805372575,-0.04638057453939,-0.005110406308818123,-0.014575935922838682,-0.07584322046805171,-0.011049162191286467,0.010783963740528396,0.026095849741508335,-0.012512385193047289,0.03271230970557632,0.08883650249239368
SEMA4A,0.02853746715856647,-0.03301214678980127,-0.030065385721038767,-0.0618989389656648,0.07975619185930373,-0.02335200253592402,0.06914006522055693,-0.07394673632633463,0.02813254604504335,0.013909984919176928,0.004108992968498889,-0.051831648727594604,0.016956945320612718,-0.009338431322499634
GDF11,-0.002966520315613306,0.05550957499617388,-0.02542040660967848,0.03558132099439483,0.05369511897456294,0.04258961578875293,0.055501232170866374,-0.002198708453700733,-0.03408982499939709,-0.02525746313553707,-0.04328308555561061,-0.03927470371362832,0.030657222003558967,-0.04258066393210829
GPC3,0.05235055799683058,-0.06149646335207263,0.031484675114647205,-0.019098771331748532,-0.000535483480894348,,0.03451313999631219,,0.023950237131456713,-0.01125854753410968,0.050419310340977554,0.0034602329724949606,0.04383629870588423,0.02237261185986147
OSTN,,0.03393183256294019,-0.028165777653643965,-0.014644248114760202,,,,,,,-0.01938630687839044,,,-0.043112697695724414
GRN,0.047104828663431596,0.01996278016548489,-0.03283759534172902,0.06708802825210201,0.0016397287917602752,0.03557443597958859,-0.051774681686757154,0.022195264041866242,0.0368468205608499,0.04248614127445354,-0.0604514546989848,-0.002025708019081846,0.05487557750209816,-0.1333828129042192
CALM1,-0.009970255459301466,-0.03836239829068025,-0.027569777725750935,-0.0694519954903669,0.048223728007534425,-0.0011500892937880605,-0.04636366323281287,-0.007275466876332553,0.014669607006660637,0.010007362594018902,0.05453994660619171,-0.021269832031242532,0.02376496033761462,-0.04009664234791048
ANGPTL4,0.06530471169285293,0.03316382226277158,0.046186357063217255,-0.017795022733389634,-0.030139672383889964,0.019511256847093914,0.03366539216783088,-0.028106189505698365,-0.039290516481156564,0.014761692999712746,-0.03247440031214345,-0.06092497758985435,0.05516150733830563,0.09805336472547928
BMP8B,-0.054007438237852486,-0.04125733375485401,-0.02148559942935502,-0.00016846190899160848,0.0036389210739132243,0.05702815073447557,-0.001331684885118814,0.032963924985163984,0.003258521834083542,-0.012233431885885477,0.02485032855348641,0.018333479548279057,0.030906521610789495,-0.0485924836680074
TNFSF4,0.028065502937677327,-0.0313056623323292,0.04797782802664267,0.06640450555296237,0.0392529749844852,-0.024891016802727067,0.029999940084548385,0.00750342479821375,0.019968809981206464,0.06391602555543453,0.01633948119695627,-0.012866969380638048,0.0015348428013269844,-0.013804838397785117
