,UKF243,UKF248,UKF255,UKF260,UKF266,UKF269,UKF296,UKF304,UKF313,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.06050426759109002,,,,,,,,-0.015863878832151047,,-0.01768212014751155,
BMP1,0.023780261795300378,0.09072019220320668,0.009239273237806982,-0.04163675140434228,0.05186433584575828,0.03585400733185942,-0.017681750439683067,-0.04333590921194805,0.08191585159113071,0.045556056261179805,0.10192650555363135,-0.005287281345625184,-0.006590656649332294,0.08142594899746247,0.029335945302152135,-0.01564005929384599,0.06832955052528589
NDP,0.00422681243051371,0.03747980861413428,-0.029845554376084438,0.057130857944535325,0.021741815984874305,0.039661520103574044,-0.05388870645689326,0.018917432889203903,0.08876644057442161,0.021736037889786695,0.03353301110495885,0.10858819776448449,0.07708021271625294,0.02248882231700102,-0.041978588585963914,0.0020561569152886122,-0.015640503671014133
TNFSF18,0.08983293421157973,-0.001119102889220847,,,-0.013117670030462528,-0.028175207379039318,,,,,,,,-0.01636013822569216,,-0.011784581111103509,0.03360457842543349
IL36G,,,,,,,,,,-0.017456439212925723,,,,,,,
RTN4,-0.0054919315466166975,0.03840472749808359,-0.017139342953375436,0.10733381803466187,0.016995450703376415,-0.0826467276897617,0.07231180421549363,0.05375815472821984,-0.0018508517017451545,-0.02265489697813212,-0.005293199994139054,-0.0007394507275855621,0.03692201793292599,-0.1176115126712037,-0.011975104899887273,0.03806923135644344,0.017886411213932734
HEBP1,-0.013563553651719584,-0.03675757014441312,0.0007581942566893851,-0.03809102478172877,-0.020236675518809515,0.060497177502881375,0.001847351498869616,0.03535922484149928,-0.040263196310023175,-0.002313425662216474,-0.036845449696252475,-0.003647079685263629,0.016480583062019813,-0.002728497232073943,0.013333432363314407,-0.02811850714238596,0.01833600583449523
WNT7B,-0.006433832887125562,0.012016290436980194,-0.038248275053221946,0.00014000204187570472,-0.07679602122473031,0.006684726779486323,-0.014137971498802925,,-0.04129313506519361,0.034432329487870575,0.02356849120223976,0.02400109745335135,0.02434488424530314,-0.0053155863198719976,0.04452046519295115,-0.0037510408231367217,-0.022259344076950714
PTMA,-0.061791466945479254,0.025190257849370172,-0.0007335567276675875,-0.032624041814194794,-0.013694941800246021,-0.09040320803785282,-0.03410809748245083,-0.06824296768990926,0.037668335893166774,-0.007302361075439655,-0.039445614289267454,-0.056622479448047484,-0.015389474727665841,-0.0664570262215846,0.002827384077801504,-0.06059974580311811,0.05856626474932626
FASLG,,,,,,,,,,,,,,,,0.03714134428426093,
CEACAM1,,0.038232879672738806,,0.11363323219950616,,0.007230973400046428,,,,,-0.03276429719753522,-0.026337196788544365,-0.019381574617802697,-0.001878591332714761,-0.017779274485976753,-0.0377603493348334,
PDAP1,0.03128193642255817,0.012542973460748565,0.002078755281974974,0.002664721568401409,-0.05622210828128084,0.037495604362675294,-0.010925702050618118,-0.01907038343184589,0.06661361079941372,-0.0012685650711714027,0.015292171285276768,-0.005715881924575125,-0.11422379813507284,0.08477795339696095,0.010879977458189648,-0.04775927376572548,0.06556499311351766
QDPR,0.012909978217267942,-0.0036027396720310586,0.03607956100984183,0.05690822858765695,0.0686042977900875,-0.07026079870858035,0.022842951786143602,-0.0741508390947193,0.031091419209681732,0.022946425764091335,-0.09382922987048402,0.038536599265238614,0.05628394415346197,-0.07145259564750844,-0.053412534287162534,0.020499555213026627,0.004756887269914075
POMC,0.03658690193670552,-0.03356206113256963,,0.007377524427896589,0.0005158775974504271,-0.022900172006070484,0.027217760581211236,0.029198456235689244,0.16287807782085573,-0.018464842455197646,-0.014394677052631949,-0.013249470432725632,0.05908414637804351,-0.01937933268883709,-0.015758728120387984,0.02767354470428447,-0.008973344498819294
