,UKF248,UKF313,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,-0.024701545350948154,
BMP1,0.0028190274774451103,-0.030201040304877955,0.007352203114931535,0.08514138418715936,0.025046336075281374
NDP,0.0046544454468928865,0.002766140353176297,0.030135248017900608,-0.06470027525806167,0.019781836749360925
TNFSF18,0.032971254785210895,,,0.0009790992042939504,-0.028252159072584417
RTN4,0.01013044790141185,-0.11605162605363349,-0.028192917112613975,0.03732465561537919,-0.03671763053349141
HEBP1,-0.023253880611394575,-0.031158673900022003,0.046494344964790525,0.06083670257181094,-0.011376899311771308
WNT7B,-0.015332533122117334,0.01774044111179215,0.13955091773477998,0.01603364142731407,-0.05217849391466516
PTMA,0.012375074276840405,-0.005676266232322858,-0.05653186091903189,0.050521216831094694,-0.03610477848225187
FASLG,,,,-0.021423641855823364,
CEACAM1,-0.01580393568753256,,0.0694583463201904,-0.029807851082133067,
PDAP1,0.003803326228211661,0.05948361912411209,-0.06515078596147396,-0.034683031688584484,-0.012123757491802698
QDPR,0.01079576850484608,0.019339868132572536,0.036692830417175096,-0.04833069154168183,0.0081302195682565
POMC,0.031973936162734515,-0.026630968938181614,0.1303766810425906,0.0075636974268341595,-0.0035200760986387127
CCL18,-0.019721818518551773,-0.01312075363087352,-0.0014483074853522467,,
CCL17,,,,0.0022515161199366802,
VEGFD,-0.019721824781152864,0.0032541111009725195,0.07806479048409257,,
TNFSF13,-0.01488272184950288,,,-0.03164021399906778,0.03354802139322835
WNT5A,0.006622592727244644,0.024841251821439078,0.07668133664348138,0.031365602296589745,-0.033671723879573595
CXCL8,0.0036181675832170543,0.03493290427308435,0.05710502246908636,-0.004072272469483596,-0.019822510743348697
GRN,0.001963495340291837,-0.006301296571891143,0.11187528884141891,0.04982089590643127,0.023116622840292714
MIA,-0.039292679281232826,-0.024401685068398054,0.18906257241837374,-0.02318803376376011,0.07078971724142256
COL4A4,0.019893339028943916,,,-0.015968733982189284,-0.01994254424119354
TAC1,-0.0169396157295654,,,0.0877052125366483,-0.06657057341658806
RARRES2,-0.037864946709413747,0.03868964686586408,0.09846381165616937,0.017383937920688656,-0.04930174972470354
FGF7,,0.045472168641277205,0.10924530897801107,0.00582447255136902,0.07735567120136787
HBEGF,-0.022185048675158203,0.023807205027616525,-0.09182741380337395,0.09886532264404128,0.028047120303747605
CSF3,,0.030052517640518032,,-0.020444290075151018,-0.03613253848837903
PI3,0.044808821367513955,,0.06932685798930902,-0.02521261675873845,-0.06361861056049962
PCSK1N,0.016006724772831275,-0.012868817102020513,-0.005513420327801095,-0.028212016789723827,-0.013073039505153199
NTS,,,,-0.002471119775400607,
SFRP1,0.020682644510497228,0.07888205463895977,-0.07463188692631516,0.09941710074209514,-0.033499156739773564
CXCL13,,0.012044631366445666,,,0.004577183423909701
MICA,-0.005546858626357823,0.039934587344043405,-0.07063793098761072,0.09833963510624925,0.04002567831323513
TG,0.005772743463038998,0.07882209097720172,-0.013405864529825924,0.027584746778886067,-0.0015332192240172298
ADA,-0.004273548515459004,0.07554085160374709,-0.06302967726681116,0.09231303307501693,0.07193866630960315
LAMC3,-0.02999764272498701,0.010193436790936533,-0.035217000845755526,0.0543239801471733,0.017810514886926802
CCL7,-0.012544742632953531,,,0.07854896420072048,-0.06118416035584485
NGF,-0.021538700140325016,0.03655206403217973,,0.05293831455882979,0.010293555558168854
TNFSF15,,-0.017214059733611516,,0.0157099448095889,0.03871362704546357
HMGB1,0.03446433510953416,0.02688687734841843,-0.1501110219390354,0.023513410500524252,0.05915003226719774
ITGB3BP,0.005170046960773012,0.06281727162835214,-0.0014518856464966617,0.048139734188831884,0.02898193804834818
