,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.02902804395908641,-0.03754120271977167,-0.054490509522043776,0.03686716411709438,0.0392289871380176,0.24410784123862264,-0.0033916965651837054,-0.056929510745947154,-0.04033618285233953,0.02054696468152823,0.008761875315037967,-0.036119508047762344,-0.09168428595716802,0.01318219926632013,0.03077236274273436,-0.05817446462455536,-0.09004210421024834
RARRES2,0.0838254918626492,-0.006988053354819742,-0.008905049615607138,0.042334835871880354,-0.03245806667097315,0.2810697166470673,0.057524193565189036,0.0293649244882433,0.02617220722345675,0.016769712477144014,-0.02253225404035653,-0.0447391628375551,0.0258280153688142,-0.04288037490205648,0.012834128824508736,0.10631484270957321,0.055005339306879834
SEMA4A,0.05446899126864098,0.046961715949001955,0.0462562117765069,-0.0421554324743895,0.06858053747423185,-0.07780323795387199,0.03394022228639336,0.07873536620603099,-0.0025645846177592664,0.09305586315364797,0.06401553580407442,0.01388392928718375,0.061891831158894205,-0.001476574330765079,-0.006931014922666283,0.07938732490352124,-0.07604533437443109
GDF11,0.007357248396155006,0.06004366512530812,0.028124732403964615,0.034419401330922306,-0.06533520216379844,0.16479685988902176,0.015279096685189704,0.029353851036638613,0.056974890374867374,-0.02493795415347433,-0.05537151029343466,-0.009167892298099216,0.0028723725967848457,0.11231328043499451,-0.06147390991596277,0.19282039498741546,0.008766007446977345
GPC3,-0.0330410961304459,0.01599025612891259,-0.02364367575997993,0.09828308316302783,-0.10182854599702376,0.0443315591786903,0.026891898688130553,0.0012050971294196718,0.038405848909576684,,-0.030195474656235996,0.03861438492854743,0.05818778648931746,0.0370477913244526,-0.027960308408003082,0.10710943182172418,0.012521138088408197
OSTN,,,,-0.04115804579370524,,0.004787033068541386,0.04513522433268694,-0.025912053369130945,,,,,,-0.020339385838659397,,,-0.08508675024783102
GRN,-0.0736662676778234,-0.06776667625717982,-0.02140607789002323,0.06387395179263604,-0.07110028355475315,0.19816533543959838,0.011687159882279202,0.004177506116098081,-0.11969986574454439,-0.002981169382992252,-0.0020926331292655358,0.009717277635872549,-0.013929661893514531,0.04486877172382999,0.04205723962690879,-0.046383636114919545,-0.07561482957496135
CALM1,0.11682035873645977,0.034468405913909594,-0.004099740599586466,0.01420658604623371,0.13380165187044835,-0.2679976680042539,0.0032342744290349505,0.039213017049026896,0.21004408330646357,0.12662372362468505,-0.018974307935209586,0.06333800960587316,0.04908141962141456,0.07785717490780054,-0.06935116592667526,0.16012750452776964,-0.04046979970724189
ANGPTL4,-0.12378105894276735,-0.041448560446580095,-0.013109086293259568,-0.0476764588760181,-0.054693236279662945,0.03132503667992442,0.026742740138832117,0.011312867002448398,-0.03706965449990381,-0.010776428251560492,-0.06937776210110064,-0.0789916015061136,-0.034289262754417245,0.01715211840034295,0.04273970257421422,-0.12470804445634455,-0.04972013042446183
BMP8B,-0.0474094115504868,0.024961311142011614,-0.0264610504794622,-0.021332626615745066,-0.0721654955456058,0.11333357656676972,0.0064522700079913346,-0.028791870610467556,-0.06679789619958906,-0.00813784506346566,0.018661461916028386,-0.024581036089545344,0.009669299047788387,0.01943655220497133,0.03341831878830588,0.012455624465451681,-0.042798484652668695
TNFSF4,-0.052113477703455056,-0.016123714879899154,-0.011068423801949008,-0.027955046992649824,-0.03134009236995439,0.029390918386118965,-0.03312759729241733,-0.015771038569999882,-0.04546744389307136,0.015139058788988823,0.10700880990752876,0.015410695933052327,-0.021922951131326397,-0.032649893883014904,0.006576968449364831,0.048862726261825425,0.11477141456824454
RBP4,-0.034318114655584035,0.11705949344956466,-0.04223625687020067,0.06478090558901474,0.15508457078858018,-0.12978457609385982,0.07859653834181668,-0.04556626153771433,0.16950908854220761,0.07728965323463804,0.0008545472600450813,0.10317779619308891,0.11688939845217003,0.08792013262402304,-0.052630487622869995,0.06512954247222306,-0.05270567827475053
DKK3,0.1123826907293115,0.059855145408109656,0.0017148649976778025,0.051182607407383215,0.13206129460714733,-0.1500162293584821,0.041182946214206435,0.006874359579516387,0.16374379916029239,0.11274397772751454,-0.06320306774386657,0.029529956277517005,-0.003134668771544092,0.0867593024072461,-0.018216839358094785,0.14357135465953783,-0.11084952289634505
COL11A1,,0.013801082800338932,-0.0316230129809534,-0.03838839220557574,-0.1338571845879202,-0.03186708892918368,0.03972487299769288,0.008107150284996593,0.06104569258282724,0.03911140775308692,0.10878089367107234,0.12095539111939128,0.0744777995399844,-0.041947529462781824,0.016222327054081716,0.1730097233288825,0.10351916585304922
COL5A1,-0.03148039067955405,-0.008872273804826684,0.011178307063660067,0.0020349960806884575,-0.03571170704708996,0.12521881277348737,-0.03734369962315245,0.01605647234336036,-0.08196693326310363,-0.025864434840457255,-0.014512649547822078,-0.04890490252702234,-0.10508499020842248,0.026811951724600963,0.027835652927443177,-0.10366880189961952,-0.022826725976118883
KISS1,,,-0.0023058223571528016,,,,,,,-0.009733799294890492,,-0.03172388212924168,0.02480900423213409,,-0.02386754961201046,,
MEGF10,0.10031589921976701,0.054832385817976205,0.046232560782868325,0.0033736032151565395,-0.03685520611760312,-0.021768171916401576,0.06595077278056106,-0.013160453827416652,0.003074783080596451,-0.007570045746105258,0.0048547225492508094,0.06993227390209414,-0.0033061713932618503,0.0559428344858042,0.023309612713013236,0.295231313951043,0.18577623713402203
CEACAM1,,0.04609675805437323,-0.01650750292818633,-0.002851302612073722,,0.036605161485558924,-0.02796336096764614,,,,,0.03838031911198268,0.01697040569464382,-0.012136542735680362,-0.02807164805449993,0.1836653708586848,
