,UKF248,UKF313,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,,-0.026404000836792892
BMP1,0.0501547077668205,0.1296198872713705,0.1068970080676567,-0.016270841484743958,0.1296077980640136
NDP,0.03946355606246139,0.051870220374567726,0.04743320367075252,0.038246621606079695,0.018644181591757708
TNFSF18,0.0024860899119661206,,-0.05182695654980271,,0.0427279424039908
RTN4,-0.02782808584877677,-0.10167474077933483,0.016114152073587972,0.010961104606433679,-0.05110979336901146
HEBP1,0.0028894506069854263,0.02286894055494131,0.009493257115234277,-0.07225787256806465,0.023266754430198208
WNT7B,-0.036746416657587606,-0.005716645006843079,,-0.006221816248854222,0.05953592967178534
PTMA,0.03643665180822741,0.15453668588223615,0.010042981759323265,-0.09636153369132586,0.12278399617724722
FASLG,,,,,-0.022900180917895425
CEACAM1,-0.01580393288264822,,0.046913386576236324,-0.026897262113728258,-0.03186223832289218
PDAP1,0.0017634671735660848,0.10622234264212047,0.022443152724839523,0.09401247194709501,-0.011615116095960833
QDPR,-0.03598853677100286,0.06368046667889274,-0.051981805987006295,-0.062353022603188035,0.0024502098787298433
POMC,-0.01907431582468325,0.01587314676613557,0.048174738638939195,-0.05180238057916839,0.12096503018862115
CCL18,-0.019721815018321133,0.14996122829869024,,-0.019070601072044252,
CCL17,,,,,-0.020756441862478263
VEGFD,-0.019721821280921113,0.067615231199967,-0.04954365869616063,,
TNFSF13,0.1421969195537153,,,,-0.008904178057969463
WNT5A,-0.056060951213355976,0.08948941584278816,0.08799209861296194,0.033992426715991605,0.09686969700769911
CXCL8,-0.01367630964303369,-0.03640718846703954,-0.0977807187822152,-0.033576795724426206,-0.03658930723460551
GRN,0.06870263647418215,-0.02519282384131828,0.047854185578752734,0.0884858924101144,0.04010868051315735
MIA,0.03463358818927444,-0.034235594212423004,-0.07799015171972017,-0.060495326908079405,0.054144949476167416
COL4A4,-0.00860540790029204,,0.009493859275048162,0.0357355825788958,0.10606785119316599
TAC1,-0.04773103976224737,,,,-0.027286453432071745
RARRES2,-0.06371853232262097,-0.12119289388483419,-0.035175693454492445,0.02733088494951648,0.007422219829943862
FGF7,,0.04838076701749786,-0.013431901632410868,0.001354476435050137,0.00047381473688810986
HBEGF,0.07860305177062649,0.08040203328269341,0.02642941546482506,0.002196398970764919,-0.019446132115526347
CSF3,,0.014224648952964712,,,0.05625902446016278
PI3,-0.02074818090559106,,,,-0.047480028688052234
PCSK1N,-0.019555622813268104,0.12570983791590087,0.11706201758851104,0.0032356354412124647,-0.019597175137110453
NTS,,,,,-0.03236180359307432
SFRP1,-0.03415294044473368,0.04400871474500706,-0.0023708714936594476,-0.03311719081539007,0.13467253324056352
CXCL13,,0.07426258099325773,,,
