,UKF269,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,-0.015533296253381738,,,,-0.016113801974168507,,-0.015471719509742079
BMP1,0.0639410236670794,0.03678125199445779,-0.006588823592470694,-0.015510516623869947,-0.030187949990562662,-0.022728244636952416,0.007505994399392326
NDP,0.03849440903569323,0.06379412602992765,0.03653958611513248,0.07056088328427546,-0.014257210031157102,0.07592169009176108,0.049301457415596446
TNFSF18,-0.0061499591490332016,-0.025257711380729422,,,-0.01661787955065225,,0.03801835949169523
RTN4,-0.11686386853953949,-0.029921397994191707,-0.06698334628209562,-0.1260631358991019,0.10351864901175035,-0.011037082862932574,-0.010407100565098037
HEBP1,0.036626282018292856,-0.007283167054962308,-0.004159817596375738,0.05049506672068489,0.05104097231606509,0.02470239044414573,0.018163055698177243
WNT7B,-0.026308418272133316,0.054134817303255985,-0.0067288551112106975,0.019253206346309965,0.059627890771366564,-0.006618160082564377,0.02100516832704205
PTMA,-0.012302708080028167,0.016718861148831064,-0.024870387723408906,-0.03644324138641045,0.07514841261812276,0.014798522973274131,-0.05866774206896655
FASLG,,,,,,,-0.013418617052545925
CEACAM1,0.06023798928056154,,-0.018763784114101012,0.08530751481968621,-0.023878157984180002,-0.020868186501343942,0.06908679668962701
PDAP1,0.13411941325297533,0.012486245631225228,-0.013612113086341842,-0.032037488407168836,-0.033433740817000054,0.027759918406403353,-0.022549848176120966
QDPR,-0.08749799586232504,0.0701945983931995,-0.003660730587325693,0.08932992891865879,0.04087609793267392,0.019490980591490552,0.001382255406750681
POMC,-0.039128210648402974,0.03797296976285914,-0.013476018006174536,0.0012226746732947188,0.037620546582875454,-0.03413761175370008,0.025562090084503688
CCL18,,,-0.034337494761080375,0.01871837255957575,,0.005183491830227657,
CCL17,,,-0.013311996636274892,-0.040945285609176076,-0.021245117088862373,,-0.012162469184179079
VEGFD,0.0670684390502921,,,0.014824869981707421,-0.02240704123783243,,
