,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.019781359229035712,,,,,,,
BMP1,0.03911218167872973,-0.016982550471973546,0.03169692901270848,0.020137306384200904,-0.06102934872771076,-0.03787942253479697,-0.07975299574848403,-0.01267936739974905,-0.04310065092682478,-0.13359335178588067,-0.1267953836600011,0.025873031577401645,-0.024963135295540236,-0.004636729509254343
NDP,0.013543009844134824,0.0018597241964571937,0.01926389794501409,-0.00875543977074678,0.07553196435583329,0.04738022498815465,0.0182221752760302,-0.031095487188518203,-0.01646115464136841,-0.058089162545057846,-0.041104501798384485,-0.0672257403832182,0.11123458991019934,0.028658785280102808
TNFSF18,-0.0449167353209976,-0.03261836656854492,0.02164299456563457,,,-0.0029367195515957087,-0.01657175548452219,0.058380259256996775,,,,,-0.01855430755743289,
IL36G,,,,,,,,,,,0.0011780421469548235,,,
RTN4,-0.05625692284948266,0.005785511103722832,0.04763576246639508,0.01295652583702228,-0.0056225829615344615,0.10833939333443444,0.07546055091219653,0.06522863591444547,0.07187516883471468,0.2601244839795479,0.21666213631479558,0.03340107073700182,0.20813946027133085,0.022882068648125045
HEBP1,-0.02183557954908227,0.013456760033481495,0.011952536898872154,-0.00867416878741441,-0.016579017192496503,0.043847931296012915,0.010241718958620721,-0.012311112201460528,0.014152050095535497,-0.033786646330377396,0.01088459998386737,-0.0010201188670621339,0.04670540955891437,-0.061299518142942565
WNT7B,-0.0009427833503161158,-0.00710961066656536,0.11221250691317336,0.045813314454175844,0.05842397713047759,0.015659487887819252,-0.008289971884756376,-0.01734310432625707,0.043423386611488216,,0.028736068107798923,0.10158136894926571,0.037356629718709816,0.03279592901812843
PTMA,0.018117540020900783,0.020963200599166117,-0.04660380004355114,-0.01434766334685954,-0.003659031549426753,-0.11183331137896177,0.01704869437893528,0.07355501491760162,-0.00982208034571169,-0.2900119279650671,-0.22554553139072409,-0.011408324532773772,-0.11332323135575639,-0.07887522540794374
CEACAM1,,0.06993191801367925,-0.013379756951599339,0.03410899867686626,-0.026801681435288546,,-0.038655464517597646,0.006253069964921162,,,,-0.05472639563623939,,
PDAP1,0.03623794824884122,-0.000904906986506935,0.02034679703487489,0.0008123875208191742,0.013363171296639375,-0.004460768744467141,-0.0788282581605996,0.007664465251132882,0.016388107004862425,0.004189945924034722,-0.05027904661199614,-0.032615964913283474,0.007384947466398547,-0.05596585778960145
