,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,-0.0042516963866703564,,,,,,,,,,,-0.025949301722650905
BMP1,0.06666989150971758,0.11601665449426546,0.03360736890040255,0.0024026396030754965,0.02141887311120852,0.055391990238056514,0.15579888890303886,0.037620946327987306,-0.009391886360558517,0.02297513986933805,-0.03771726284254275,0.06235521156248523,0.027658919430724942,-0.0302424151164174,0.04196859462486589,0.03210768656168969,0.023543840402107257,0.09214707136221914
NDP,0.03869408504139018,0.027914426288757815,0.007585356169705288,0.036881024624715736,0.025236830528413856,-0.008139414496656694,0.07870369307470564,-0.019693013244035208,-0.04292803225646554,0.020861947992632513,-0.005438200255344425,0.04324969014023463,0.09434256932131714,-0.0002771678356001101,0.06363462641875953,-0.02443672925359476,0.053162138283019016,0.09156773543799784
TNFSF18,-0.02044393833301167,0.08547938333199531,-0.03924174734749699,,,-0.014130674832203089,0.09115961592563326,-0.015670681181759107,,,,,0.16459659204040678,,,,,0.15882461639616752
IL36G,,,,,,,,,,,,0.03606597125889913,,,,,,
RTN4,0.0361243704805418,0.019094108591154145,-0.004865199182297254,0.013938869540222335,0.06828883708590634,-0.10970039788883057,-0.1884582165612166,-0.05146693836791245,0.0034993921055708355,0.10341181523203083,-0.00585597196804177,-0.06514318683001259,-0.01171279035522175,0.01951072350579076,-0.044225386862199935,0.02004510030480936,0.002334470753467727,-0.023511070924296766
HEBP1,0.012664349251590483,0.057794361065848,0.036788155821486535,-0.009682263786127476,-0.015802035878994633,0.01776887523275004,0.07818336219515207,-0.010109595209997149,-0.006702001849715677,0.0119726629849867,0.0010639809239880007,-0.006196136809404091,0.0055448767568876765,-0.04278445103484474,0.04282918538566014,0.06530058215793286,0.013983942777454104,0.06519149545167562
WNT7B,0.0809519514652795,-0.0010074625231044968,-0.011421824431164773,0.041691935150847105,-0.055706201205067814,0.02207120964766317,-0.0872538131261441,-0.04491854886040978,0.023894861844950967,,0.05539393482243702,-0.015116032464543346,-0.02204451495769776,-0.047141756203022425,-0.029991950199566537,0.0017495488817193584,-0.056109419793111244,0.06346032055752934
PTMA,0.014958747504581255,0.02881188478521032,0.004978026976819182,-0.01547415174307158,0.001420246368519186,0.12924818092305684,-0.11818310557075012,-0.039631571680264925,-0.045624811839389365,0.01284919072867264,0.05764261656971449,0.039427879685194775,0.019678536848142587,-0.04240331695818631,-0.14882792322048022,-0.061659693525331905,0.00370433332033829,-0.03863855320943229
FASLG,,,,,,,,,,,,,,,,,,0.015721273504721297
CEACAM1,,0.016095545472650803,0.05348491387206165,-0.0063724181053120485,0.03797317339029627,,0.005806375122942298,-0.013474968413567547,,,,,,0.07744636423910171,-0.026897261330481724,0.0146539625995948,0.004252075854527432,0.022885686215197373
PDAP1,-0.01476494950349199,-0.013011070732239786,0.009342887672333548,0.058109488006539464,-0.0439656728184078,0.11279891021671391,0.13910417118018745,0.020340500825279446,0.00889307748148543,0.005641295498406554,-0.02494935245347522,0.02847064463893038,0.006952277697560072,-0.05318111814469688,0.014730522095199906,0.025801999521321246,0.041958073921506564,0.009902847291261245
QDPR,-0.012555635256259606,-0.04830070687418436,-0.02989282089190674,-0.027897207837998622,0.03170789447358755,-0.07530643603566615,-0.16244145724877582,-0.0032887868820361188,-0.09084439184344155,-0.004480754151994174,-0.007672741221614849,0.03188180723877622,0.01989818162809608,0.04539820309063063,-0.13214513870717995,0.02280679676035969,-0.0026738040078799286,0.005650458167359924
