,UKF243,UKF248,UKF255,UKF259,UKF275,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.019852091400214916,
BMP1,0.100899589815006,0.041727091939765114,-0.007102261997490659,-0.03080011652043376,-0.01637746768172713,0.07935271552229688,0.007521314610188984,-0.01849809146466671,0.0648068107244436,-0.0193820591394406,0.08231654105302608
NDP,0.09372733824066058,-0.030487175896821733,-0.027698969571638823,-0.027303594636140186,-0.03137261102761077,-0.02191098933504002,0.044483448699707474,0.08566175850694702,-0.06636500457526416,0.1892539422354445,0.056534219805072276
TNFSF18,-0.025976071244548104,-0.027232124419185082,,,-0.01017685347349392,,,,,0.015192039075259933,0.11678078803691462
RTN4,-0.021787968828873842,0.004150090774270732,0.019028609975106952,-0.07913555358805717,-0.015260909975973921,0.021588223606753942,-0.03411727559070589,-0.016062398809546567,-0.028198111779258926,0.02952881882873189,-0.14121170018912785
HEBP1,0.04772300560564389,0.029833078429242915,0.05897375511457011,-0.06007729178281046,-0.021907468027326633,0.05224068011764408,0.03439334436331649,-0.03624784202146095,-0.04920178301267119,0.0910542690221736,0.055098702398655136
WNT7B,-0.041201124742939334,0.041220025956708685,-0.032077251146830625,0.06033884468888642,-0.00831310870080399,0.04314787648085886,-0.005613119698399677,0.09647431487305796,0.07314647828149873,-0.002271590034939273,0.006512618815312241
PTMA,-0.13735710302967505,-0.09491232643704486,-0.07153975886289964,0.04713241118341576,-0.025641591491993885,0.0006987024725888969,0.01088237931058591,0.008900042855743405,0.02539898182174526,-0.06894002179046879,0.005839380235119623
FASLG,,,,,,,,,,-0.03232015631191696,
CEACAM1,,-0.01733250087745942,,0.05663239107614708,0.0017672702874279508,0.0894713415008433,-0.018489886464457306,-0.01883431604660299,0.019385722871497844,0.005381491497970182,
PDAP1,0.018228749252747038,0.0025097941628281534,0.034207979618253684,-0.0009048195475508627,-0.0230686568590657,-0.02024102892345987,0.012603953604620351,-0.03916903787827491,0.004246450803064406,0.030751218248491814,-0.030197743285919912
QDPR,0.06883944583852673,0.01716292606969802,0.020853107647765597,-0.02670863937245821,0.0029091630605689346,0.10699711112934336,0.014700973421094107,0.0286834662432282,-0.039834228966672526,0.16230572955529168,-0.08291579233615584
POMC,0.02592092915816572,0.061277433769712585,,0.03847739028150559,-0.011808416004026493,-0.004980217247528072,-0.03448951891326953,-0.03484896136018294,0.04160944078202662,0.03761657077179089,0.15486699380493305
CCL18,0.046551479189107486,-0.00542609734398622,,,,-0.04194790888058134,0.00477014775128356,0.018766758512529205,0.050554021021823,,
CCL17,,,,-0.02287303986159428,-0.012692517653958296,,-0.013117679510871571,-0.027188517620970576,,-0.03584867905189904,
VEGFD,-0.02498839058950215,0.01035822199670683,,0.05254495096053349,-0.013522804012379165,0.14664775211640643,,0.06822640547447213,,,
TNFSF13,,-0.01632218673978716,,-0.015777310982779624,,,-0.025170856675671763,-0.02955298910815116,-0.015027973598647213,-0.027513216792651098,0.06063645891243006
WNT5A,0.10529591091221484,-0.011193571669504831,0.010159529787370966,-0.068109982787379,-0.013368866199822579,-0.0064126074114658265,0.0341326367667785,-0.0059063609956294056,0.01045705516966291,0.07175256779574282,0.10702969522339886
CXCL8,-0.04006601452372598,0.049669347450177134,0.0853392861334487,-0.002118927852351603,-0.019648182982865546,-0.03565657962878141,-0.02212366734438413,-0.07845860385819169,-0.0066216231268019675,-0.007018603601448468,0.022800059846507608
GRN,0.05687677445978057,0.04056847274155687,0.05891672084680461,-0.04269286072949329,0.03747036853447061,0.0053454091064266285,0.035158323782129866,-0.015483695984608256,0.06281732173849466,-0.036670598796925406,0.006628549905829255
MIA,0.0009267179514293722,0.0004338805909026095,0.03885159995606934,-0.0218150721673086,0.021267914435640307,0.11146357022298456,0.032466798123935346,0.05376477715577049,0.03841261302195228,0.13264800313481975,-0.04659061365037329
COL4A4,0.1369629265663977,-0.025976641730961356,0.03432998052311109,0.002922511756595261,-0.013251381120366633,,-0.009499676723567878,-0.016550743431289656,-0.014291239290361602,0.10099562086182355,0.11077317667761206
TAC1,-0.04948572291776524,0.01285854405937844,-0.0020178759774783337,0.004099721954238104,0.021526820451424275,,,,-0.0005038862245857348,0.012529575281612762,-0.057848685746371586
RARRES2,-0.020057279090204605,0.020984129719140807,0.06325445695260415,0.008083903164955738,0.03421515082933668,0.09631983964416678,-0.0013868706736147461,-0.04335281540021545,0.013908249983800658,0.06274978120860994,0.0914484297068857
FGF7,0.025619447485015896,,-0.01218990076521344,-0.02422059434900953,0.01587450543493102,0.002648016641097961,-0.030848729992055932,0.06493690727870545,-0.013754502483788119,0.09477929205265277,0.002497002005104508
EFNA2,,,,,,,,-0.01790075695190977,,,
HBEGF,0.06723459331990811,0.05538543804490433,0.021353434011033113,0.04721504003611021,-0.030835883731320065,0.04921465330379506,0.010601533728239425,-0.017148853450476405,0.003918814364530886,-0.08536133696717343,0.09258117559432055
CSF3,-0.03951198733128792,,0.09294053897725957,0.01587244139510781,,,0.05342151783674626,-0.05159535843099022,-0.036125499103694676,0.04068829574725594,0.058220052873006974
PI3,0.04651573773840153,0.007736815232918879,0.06979439968469199,0.04816973216761793,,-0.0150636853432239,-0.01781259213501363,-0.11381930107806781,0.028395739886606097,-0.10519725778543645,0.016764705266936693
PCSK1N,-0.029795893003791495,-0.033378063384606624,-0.11668576522716245,0.006322827157769462,-0.040936407148457525,-0.020692614986018206,0.024384965824899053,0.008356638779537464,0.027944655191583144,0.1436663589424891,-0.1347316207026738
NTS,,,,,-0.01513816255564575,,-0.030602180798750676,-0.02180867543697375,-0.0053432640116165995,0.017392034044430325,
SFRP1,0.1265272974010155,-0.007987727607521006,,0.1431227888061262,0.01014702792764503,0.016730622957572085,-0.02996379155419027,0.02450945670452497,-0.030438312212725093,-0.020723539074918553,0.002219946849860102
