,UKF248,UKF266,UKF275,UKF304,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,,,,,,0.05383113961819609,,
BMP1,-0.047030819889981354,0.03381723442584189,0.011437588246007258,0.005371071545975621,0.025074367414448524,-0.037967992606633465,0.07886201475521826,0.0163523375972403,-0.00825558124586135
NDP,-0.06040216477619188,-0.007920888887345172,0.06348432497790517,-0.08943765649115015,0.0004150617679915109,-0.0252987262347038,0.07371161721269721,-0.017633155958221524,-0.02078726073584172
TNFSF18,-0.01627744064406157,0.04363072301913484,0.009628000129907473,,,,-0.02651349896777863,,
IL36G,,,,,-0.02537454211423102,,,,
RTN4,-0.009416872368308467,-0.04488359260128962,-0.04332116803685943,0.13368736664968617,0.08801809572526324,0.024583522886355055,-0.08849932454959976,0.030038038958227032,0.0560608258846966
HEBP1,-0.037271073699428975,0.06267357437726549,0.03069473430527034,-0.07921926123935166,-0.006731455636734802,0.016520112422810023,0.0038144645258122874,-0.003065122163769995,-0.04274624544587482
WNT7B,0.025014143209699084,0.022018351667815027,-0.010808964854253877,,-0.01507343648277575,0.04374087750427682,-0.01943058423962219,0.02568376862359596,0.02500275301435868
PTMA,-0.012733222248884549,0.07048852718481563,0.0062237314285976675,-0.1185963339019646,-0.010916070924054676,-0.04595129865600828,-0.06029722251427114,-0.029667676073421224,-0.13304202487356623
CEACAM1,-0.018547732711016715,,-0.01943694347449635,,,-0.021798924841110314,0.16807880406866227,-0.01895504364588093,
PDAP1,0.011978241271435337,0.027874621315043337,-0.015975853945305377,-0.0026214058614658074,0.03516636117503628,0.025464549512887104,0.017705656548020067,0.04699157109325667,0.044720937675121024
QDPR,0.03193987757664202,-0.007711848137248331,0.03974486577284991,-0.06815742140199726,0.04898069748697307,0.01793625094417404,-0.10368147694204168,0.008968511893452614,-0.042580050156484674
POMC,-0.01823127844537705,-0.0031351660071703004,-0.014339801906818586,-0.04923023840020375,-0.008428521557317301,0.01413286878271484,0.09953803378749145,-0.031007961363382002,0.0765436626288463
CCL18,-0.023145817958867478,,,-0.04272009252269164,,0.007549011547603396,,0.0003842984900257659,
CCL17,,,-0.01541342960770502,,-0.02318036460435641,-0.015465282077147409,0.012028045768230917,,
VEGFD,-0.023145825308748764,,-0.016421705561196938,-0.020721197311360625,0.04558792407450632,,0.01984318720232736,,
TNFSF13,-0.017466582523159167,-0.01289003804287249,,,,0.10413634727617017,-0.009192484518125252,-0.0038087335634653077,
WNT5A,-0.018145172116613373,0.06148446729488967,0.029191660286251236,-0.05234451853447361,0.07074402365367467,0.0735569557012825,-0.03541852787584137,0.00716054235378689,-0.054730842897502824
CXCL8,-0.047172083235848275,0.021484601871373042,-0.004937992535895478,-0.034902207963691076,0.03007097365825815,-0.019334883882736405,0.008449840866570349,-0.0030360053182156947,0.08121600282154402
GRN,-0.05014939843353572,0.009889472050558132,0.011685834504235498,-0.11391917645188557,0.007589366835204001,-0.010710783104064685,0.06944662655943654,8.008669296168625e-05,-0.0445553088727755
MIA,0.038313585617966106,-0.023307674769881055,-0.030295299781384684,,0.059085781596845195,0.07778724118073557,-0.002131094215285956,-0.013128467755218412,
COL4A4,0.023690852031997722,0.047226297537699545,0.018720844468205558,,-0.03300433283647869,0.013022927039915533,-0.030227924811318935,-0.018182014286959324,
TAC1,0.05886073864968092,-0.04431872064772184,0.025877304581817688,0.09660923506642477,0.09241213117776832,,,-0.0327028502492215,0.15489418709505956
RARRES2,0.025560830315953267,0.0061022239729642295,-0.004230965946375786,-0.07436112177415696,-0.0033377952534986806,0.008723145480964119,0.049041432537199635,-0.012185860804739143,0.02475686730395968
FGF7,,0.040088453914342216,-0.011129187426822878,0.013244995018845029,0.009710567145991266,0.053797366527731934,-0.06394492071442276,0.09457746823091394,0.011682088420629448
HBEGF,-0.011688096262122291,0.09092588682564802,0.004800910676144141,-0.04857162018448298,-0.021527014636402112,0.007324052393654465,0.04685998201078512,-0.008888615661131642,-0.03360883334693246
CSF3,,,,,,0.006776873536437759,,0.04474222007943682,
PI3,-0.024350376361016182,,,,,-0.039498870537545694,0.041782911359802256,-0.05051618362910025,
PCSK1N,0.079006089498958,-0.019608398473586867,-0.003518805535178181,0.11716889481887183,0.03311521998964238,0.012649303620536838,0.03900838425118581,0.035533766626822325,0.17680311354615205
NTS,,-0.0149719258389409,-0.01838335067185626,-0.018655733790284276,,-0.036078893209451346,,0.05105767264128219,
SFRP1,0.0442367323847684,-0.00729843371435696,-0.03413402549957432,-0.043273000058083634,-0.008234715668923824,0.10102779089433049,0.045208706146195425,0.054667181540576246,-0.05095126801969924
CXCL13,,,,,,-0.0347381943723726,,-0.026315855373499487,
MICA,-0.05503044076186544,0.007674144533675684,-0.008769785304724302,0.0055056112849188365,-0.025724788636905797,0.06443028757309675,0.05774238947927248,-0.0254135509736973,0.05393114589171242
TG,-0.016109239982018853,-0.017281549216539394,-0.015528447031742113,,0.015337297129115973,-0.020549493338411044,,-0.022365149840304212,
ADA,-0.011901544512284893,0.16513391238828592,-0.010428773619959251,-0.04388349099015668,-0.010208417794186958,0.04829235794393817,0.010945230807626626,0.04558613037118414,0.01663824734917669
LAMC3,-0.09436555184833478,-0.02768284043263487,0.02764518021959316,0.012695986674513141,0.014047299035074286,0.015418905607058442,0.024910144621030895,0.040461561137371316,-0.028020730916090524
CCL7,-0.014722695528815168,,,,,-0.023178893076507924,,,
NGF,-0.02527813710736878,0.006243944047555562,,0.17921003601196772,,0.04016765467839885,,-0.0026058940252752286,
TNFSF15,,-0.02002397247761485,,,,-0.02259681798438391,,0.07335830341426466,
HMGB1,-0.014034866833468215,0.02559863371422384,-0.018852026731851712,-0.017661020636623267,0.015496835150233349,-0.04159663404576749,0.05037792340467591,0.01920407469213454,-0.02663297745795273
ITGB3BP,0.018277788174131983,-0.00566336774671718,0.06770261245856932,0.003614484813167117,0.0017494937474541819,0.021808199515331084,0.009004657652843069,-0.03200913532719625,0.15237374542153864
AANAT,0.011507471242975744,,-0.013964823164172602,-0.017539144939035158,-0.031094241890920915,-0.020334429498775734,-0.00646671933349452,,
RELN,0.06227872777277347,0.009396386879645858,-0.0033325273202924792,0.030290661499726094,0.03762497180567062,,-0.02394906014902817,-0.020383156214043213,0.01182789678725089
IL15,0.03147471439066217,0.012378330965743563,0.06122557874086203,-0.03594162562399631,0.08147951513891077,-0.012089450230861698,0.029840652179776894,0.015741316992252907,
UTS2,,,,,,0.03196998718762408,,,
BSG,0.07946527162553389,0.018070182668316653,-0.017272510722418383,0.1327005819173117,-0.051491694823914795,-0.021625495560563982,0.08726521238142701,-0.036051877809053265,0.196618249239943
ADAMTS3,0.0007640989515457535,0.024946869618987205,0.008062836113158982,0.028991702831234863,0.08039125494683177,0.020667622319233688,-0.009909169938155467,0.09616151530087161,
CD34,-0.05920611803951033,0.022489858897119918,-0.029003405368667804,0.0297990067614278,0.031677122740058655,-0.008427487301846398,-0.0011521965032967837,-0.02397016838851349,-0.08657606573179746
PLAT,0.010971604200220524,0.015623317838227159,-0.03128232318521135,0.1395423373531126,0.011571289821559307,0.006531866130598739,0.09275580866849964,0.049478809407479146,0.005405474433898399
NTF3,,,,,,0.07095813867889154,,-0.003173662318775096,
LTA,,,-0.013449580069278993,,-0.028838475761181745,,,,
CKLF,0.040717997942808844,0.017142404309779355,0.04662594032013096,-0.04075925004536047,0.00010062274521549257,0.03857838342861682,0.009901941514656048,0.03073483897324035,-0.04949283653445954
CD24,0.03297105787395029,0.07878378914275797,0.012161936473225483,-0.07525099463546493,0.0023594602565417257,0.02325433501243475,-0.029760759323439412,0.03299799883934702,0.35848841372958595
HSP90AA1,-0.04128338339704912,-0.0387878998389748,-0.04621601590193016,0.14005050430391125,0.040557168515935535,-0.030491122293905343,-0.042390586155956304,-0.004920261951818832,0.12065495426233049
BMP4,-0.013547836113970953,0.05344730069869723,0.00022361520731015313,0.049125594531590135,0.030882677238945198,0.032778153958943124,0.07614451518713154,0.03692643450589639,
SCGB3A1,-0.014722694056565287,0.0025467115196844527,,-0.03087380338732829,0.06548400617847924,-0.022732676709634497,,-0.024165008973013512,
IGFBP4,-0.0560721032750334,0.04497552817486133,-0.01588506822306261,0.0230540172855934,-0.02568440017764505,-0.027650677588413303,0.04316170646871809,0.03293912574144166,0.1795828247078798
RSPO4,,,-0.015642680410165033,,-0.012474482608803027,,,0.0715158356675027,
LEFTY2,-0.05077627385620509,-0.030109544393233736,0.04197324545086177,-0.01865574607384719,0.07127767017309965,-0.019676255419594505,0.06338319990123165,0.14876331876317025,
PF4,-0.015272431745599028,,,,,,,,
ANGPTL2,-0.04989403503253363,0.08463239671493963,0.03943017307240325,-0.05634319109177417,-0.03283680161970141,0.021635485766676683,-0.053330013720108246,0.03697234549104679,-0.05834384263244788
LRIG2,0.03773634674177118,0.05961087687649788,0.03791113641902093,0.04900112976360018,-0.011027113312148774,-0.017520833796824575,0.015629304577436554,0.03532964909966069,0.024581151522063697
ICOSLG,-0.049100247902450087,-0.010963548159648829,0.029761955368036153,-0.10500934084847208,-0.00808882635829816,0.0016630136654287437,-0.028276412019224862,-0.016608220496701166,-0.0008264422516142085
WIF1,-0.02748026200724086,-0.037636353137497865,-0.012071085964961573,0.014976841741896112,0.017991374286494336,,,-0.021939098584442443,0.1739109158114425
