,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,-0.03843616277173123,
BMP1,0.1039014485510808,0.06416004593668607,0.1753590654739857,0.03733039821120473
NDP,-0.05226342461252464,0.006575854118736496,-0.17895519406201643,-0.0057490510805416235
TNFSF18,,0.11258610076282093,0.03902997289405149,
RTN4,-0.13042247327583065,-0.07705354429505332,-0.05609228016607663,0.10435922435661865
HEBP1,-0.0503275997296945,0.08003501018232465,-0.017178417601635132,0.1166030676813883
WNT7B,-0.03543512752130769,0.0417987250596217,0.00032032585047751344,0.03463307731330908
PTMA,-0.04593694863925957,0.06728635550858833,0.3363117274838602,-0.06726244416571558
FASLG,,,0.06758470483245531,
CEACAM1,-0.04623726466028602,,-0.008395924186408813,
PDAP1,-0.0503455230097822,-0.03977563424336466,-0.048301748958293755,0.003081156910464604
QDPR,-0.029445444108875268,0.029644772635100496,-0.09105383199671467,0.11017890591371031
POMC,-0.05128982570131567,,0.03412327615729784,0.059714942543852845
CCL18,0.038737309816963064,,,
CCL17,,,-0.020809164733001227,
TNFSF13,0.03455014210546366,,0.030772830041589136,
WNT5A,-0.027562362946819397,0.06716594947660177,0.2065065247093825,-0.01659958188522523
CXCL8,0.12120913684965176,0.04344610168915271,0.06289644218616848,-0.014952074991728381
GRN,0.12561100123407082,0.05675046948585617,0.24778031624167232,0.03458876266365741
MIA,0.08903699015336515,,-0.14526414158482528,
COL4A4,-0.011335854012133386,,0.12064136040049628,
TAC1,-0.04626307189861088,0.011145231955286163,0.0033932783568118236,0.06012720794539166
RARRES2,0.12438255459997535,0.06223885286291688,0.054342556356774444,-0.06477597031770507
FGF7,0.02695181982108486,0.059000416111934885,-0.07042350454711636,0.058067463102704456
HBEGF,0.006040602446906455,-0.002220872049772485,0.14224668491030487,-0.0617403671747185
CSF3,0.02666666910464734,0.02556840697908821,-0.04245564209208336,
PI3,0.09611197503941704,,0.11226556686271345,
PCSK1N,-0.14062296021808324,-0.0483104924788936,-0.18652122820401015,-0.029156266881892656
NTS,-0.10689219667915126,,-0.09285155076711948,
SFRP1,-0.03918210152764579,0.0856158240109262,0.128327711036512,0.15208654129511787
CXCL13,-0.005648381013625505,,,
MICA,-0.03130728843363429,0.044679469361034146,0.02767294229031867,0.05589505181138301
TG,-0.008533823506152238,,-0.0061547097409561805,
ADA,0.06431225622786198,-0.005326051785648407,0.11488798508636126,0.12319754518150479
LAMC3,0.03295938211069446,-0.001070549099559377,0.20559362323840766,0.01875610431758349
CCL7,,,-0.0017308816164350077,
NGF,0.038283729178830654,,0.15012941196672958,
TNFSF15,0.028321030807010546,,0.0635140245744376,
HMGB1,-0.009488853064704377,0.04251451153620173,-0.10336307243698706,0.15810152629844512
ITGB3BP,0.026753665908423974,0.03099715176139343,0.008733180843326024,0.012907940067936594
AANAT,,,-0.034271946852762525,
RELN,0.012302578667616191,-0.05770204701441808,,-0.08475876120150816
IL15,-0.03945575681211693,0.03427999644175522,0.10025728020464136,
BSG,0.15579388918935752,0.031128113384757922,0.0035787134647347575,0.05851484697336198
ADAMTS3,-0.06016614450572604,-0.06665278018673768,-0.11015725997401314,
CD34,0.008088107152957125,0.12631742350554404,0.20599712188095334,0.17131794353413923
PLAT,0.03500050142883134,-0.034190233504927364,0.07780489354979975,-0.09740751457096104
NTF3,-0.07702431543491191,,,
LTA,,,-0.011870530162017957,
CKLF,-0.015108874648727795,0.06835328331893095,-0.1315025156371137,-0.03552681231231134
CD24,-0.23245919177162416,-0.024939510424639818,-0.08030329273708577,0.030683889111829902
HSP90AA1,0.06007342063999671,-0.02323501471901442,0.11294643264074611,0.07766422182194141
BMP4,0.01684857249435327,,0.07162038567581511,
SCGB3A1,-0.02661032183149396,,0.04825770254695685,
IGFBP4,0.1573248883805406,0.07284541790764049,0.3184119969543077,0.012697620050979347
RSPO4,-0.015973417226186063,,-0.05432558355826949,
LEFTY2,0.0023995499139700723,0.04052916600070075,0.0539857224938154,
PF4,,,0.048857321675813956,
ANGPTL2,-0.03065463046419195,0.1134454078178912,0.1382274605304657,0.11920789305187343
LRIG2,-0.05885304040775656,0.0806997202455414,0.018890581203134277,0.01213956603912822
ICOSLG,-0.039427416227485454,0.036415830356117715,0.01376151796984998,0.11367378850268942
WIF1,0.013883399855734382,-0.05351813047019093,,0.04295356300295396
NPPC,0.01313992999518959,0.033780907346617955,,0.06498492007422407
LYZ,0.036950322010563724,0.06452580385740082,0.24601167710621244,0.06668400171940148
EREG,0.03136817907687179,,0.08155044190572946,
SPTAN1,-0.16610850676435307,-0.002875128148707792,-0.08337381903924213,0.0331810144038015
PTH2,-0.025252994838461173,,,
LIPC,,,-0.012556063363200823,
COL8A1,0.03185745877565094,0.12237061030221705,0.011871593435691646,
GSTM2,-0.03217626018176537,0.015930927140961976,-0.03267977815189419,
SPX,-0.0709714545581275,0.021472188445357154,-0.16394128247263398,0.15292780530831449
MFGE8,0.11053741051720468,0.06809308563101005,0.17747436719762952,0.13068875114169418
TGFA,-0.09477779702510328,0.028992168964512517,-0.01117619977731061,0.07148432794779681
SLIT2,-0.015046927001588413,0.04601654569051438,0.04142551973341067,0.0581765627326168
PLTP,0.1275809520679625,0.10684059749716537,0.10250596893097066,0.0841634437818229
APOD,0.0404045478515779,0.01994710964447931,0.1206314304661104,0.1481591419652084
B2M,0.12583461454786027,0.1533887849616851,0.2509036830141868,-0.11442649797080888
OMG,-0.13914326258928833,-0.007926675823348498,-0.1370043043999894,-0.03980658715309928
CXCL3,0.06306396147151215,-0.07842630521542855,-0.0037198806534779316,
CXCL10,-0.022964609360898017,,0.004650694981095628,
RSPO3,-0.047930749346767436,0.05566109256629367,0.008428028272247553,-0.00017592129685598096
CORT,-0.08896047538052267,0.054518739496668356,,0.016196688615691367
NCAN,-0.11957789070039074,0.05046677912508259,-0.20026567993418667,0.023066208836953934
PRG4,0.050300356903770244,,0.07195590139941271,
ZG16B,,,0.03308725198321628,
TGM2,0.09798519352681594,0.030003133572639718,0.24019445225138022,0.01614127811739135
VEGFC,0.00808412007949323,,0.10683111936222842,
WNT6,-0.03182755995858435,,0.042727334379150356,
NRG4,0.03259150342508986,,-0.04434788845589835,
PMCH,0.024339090417859033,,0.023254495809303794,
COL9A1,-0.022161049931264786,,-0.13200282509564912,-0.04336552397616646
GDF11,0.008665157599624223,0.02722369667384545,0.06552358020944611,0.058417062655657735
RAET1E,,,0.041241786590580615,
