,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,0.14303542710633557,
BMP1,-0.013542185544904536,-0.02079378159392178,-0.05742577608463664,-0.014076017498159218,0.004030674735356465,-0.0011776319149655195,0.0312942166408453,0.039593580894517685,0.03161300653513726,-0.05748074676930714,-0.041533601671137815,0.08528849743036271
NDP,0.08158356358385148,-0.007242497839880729,-0.04190463969859772,-0.049342393465518816,-0.001142532018375946,0.02613742848849974,0.015512223714043155,0.00613735752583199,-0.04885463431590588,0.08216303467549545,0.04146030705120927,0.014254640407224947
TNFSF18,-0.029448343766773317,0.04276452181462883,,,-0.016705282338467197,,,,0.005038248196274437,,-0.030676800166390863,0.10723444040795191
IL36G,,,,,,,,-0.016310186105727972,,,,
RTN4,0.08298350814094813,-0.04638514206541936,0.03769194435847532,-0.05862548900747948,-0.010083093415736218,-0.060150326581603145,0.048315268781404866,-0.008869122114412131,-0.0009208901872068972,-0.045424426129259655,0.029042601789492965,-0.09483410469847721
HEBP1,-0.02019116752998209,-0.02863184454743191,0.05635619533848817,-0.03352946548981817,0.05183687891165801,0.01089624089164139,-0.011655583291074125,-0.026391455872343775,-0.04357340892265345,-0.031606911257926834,0.005833377377386435,0.09008841618776889
WNT7B,-0.009391155041208526,-0.021169625056410412,0.045118581523565446,-0.04482017362005436,-0.036134232108081636,-0.014776919391180513,0.06221235894534244,-0.01792677413886773,,-0.011522239078640152,-0.038816825024029125,0.05228866316716609
PTMA,-0.027613137483098793,-0.03993967704035549,0.02752575686930976,-0.027740177267877492,0.006808344732605083,0.03448311510834507,0.0253078428572406,-0.006665931245788736,-0.05129468040135616,0.014738700788370213,-0.021555949942427058,-0.06631594184381392
FASLG,,,,,,,,,,,-0.015772850157037013,
CEACAM1,-0.01874306375516329,0.061855933617371676,-0.017375265323177475,-0.027539948961593477,0.01742705340463147,,,,-0.029689440238242673,-0.016893073170700663,-0.021945604383503133,
PDAP1,-0.0185608108561791,-0.020780531620024238,-0.006216850929864814,-0.012397142841641444,0.044940116939789394,0.03175839188891751,0.002248267293623302,0.01384991580275122,-0.11196928124545935,-0.0078229942393971,0.025891145653593205,0.02961683701289569
QDPR,0.09124831552829743,-0.03224892400399457,-0.033659998076471805,-0.0007991359810098556,0.018309671816707822,-0.02639640995372272,-0.050858698385207776,-0.009580240852507232,-0.07057930252432475,0.012818071688661021,0.039818441200702555,-0.062471168499326726
