,MGH258,UKF248,UKF266,UKF269,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.015367754083099873,,,,,,,,,-0.015863888907413068,,0.003065060643603507,
BMP1,0.014563564234025415,0.20448614833067988,0.08547383264890432,0.10784229205945275,0.1567220270829659,0.10411876214659428,0.20414556368791079,0.10012700087517704,0.12573944952623525,0.15759099377635466,0.05650634934928416,0.05256279434561056,0.06923206433910624,-0.002353746222938038,0.22724200026922264,0.09942729672035397
NDP,-0.025215642363351668,0.015371568383042537,0.029336440480887408,0.06746351493682964,0.06685463285130705,0.026590490840831437,0.00016850094838063065,0.0038235029919928528,0.03086313630481471,0.0651998068105411,0.0065515900169517355,-0.006827035216750426,0.09316793554652233,-0.01115464221376577,-0.064774034566969,-0.05060816177954317
TNFSF18,-0.018712515945872223,0.06983882972568871,0.019328400075497663,0.17948310355057767,,,0.08733926373219947,,-0.05505939310853027,,,,-0.016360148616132043,,0.03510025643240441,-0.025347688640956174
IL36G,,,,,,-0.013752911436744552,,,,,,,,,,
RTN4,0.026142497549877016,-0.011993113746525572,-0.0667161664919075,-0.11286280096417152,-0.11073741862201102,-0.0438351195969249,-0.01802015146671584,-0.021446642405483655,0.10653723958669709,-0.10147047713804572,-0.07572875641860825,-0.032928214556732616,-0.0882777002606294,-0.06923178180454752,-0.04901784217415438,0.08946641945320596
HEBP1,0.07462342691092477,-0.007389544534361297,0.022380022152453268,0.06583604950053926,0.018864821823140317,-0.013475712307034064,0.005076339190341301,0.002604013451759729,0.022972570100881398,0.04338514769143236,-0.007219528694547639,0.045611792001340426,0.032829308152059124,0.011415392925640602,0.06064654137938696,-0.07257428027083376
WNT7B,0.011312726730568415,-0.0004052219889998373,0.04364548238600674,0.0066707770879069215,0.05572717159615439,-0.015116034573743229,0.03949589728275671,-0.07413926364183565,,0.04652652846867779,0.008785272881516829,0.020064141786732062,-0.03421039425791718,-0.02415945712353435,0.15886067257389672,0.004563873537432877
PTMA,-0.013531255447918823,0.11271814978607315,0.0847242087688569,-0.041376096078901435,0.19802001815808515,-0.010066950087064482,0.03181333995527575,-0.04055947988162668,-0.011832967804229285,-0.08670886440131946,-0.07151867642320224,-0.048060331335117085,-0.10783441845599068,-0.002966089479950898,0.1795309567506603,-0.006378712306790213
FASLG,-0.016485145116322965,,,,,,,,,,,,,,0.09884760257010551,
CEACAM1,0.11895299961925702,0.006124082693644296,,0.06045873252430581,,,,-0.034474499065405194,-0.03871609772563042,0.01469465237633406,-0.021561221791309357,-0.01808102156935957,0.06061519277494507,-0.01603498306079712,-0.03159459029093841,
PDAP1,0.03353003581446296,0.017663802182082515,0.04857297193466716,0.08548589692038833,0.10786124610385622,0.030990902581393552,0.09166427112836972,-0.023420051314494164,-0.007571796832439271,-0.02780519043094414,-0.022400376109236377,-0.021215781185771904,-0.0442105149208825,-0.028813057222947722,-0.06645715534966623,-0.018080063508839294
QDPR,-0.033067956509031264,-0.06187284703614026,-0.05273285461894054,-0.1730606053791724,0.08424658585300576,-0.09640341672362836,-0.031264963564801775,0.032398119234698826,-0.004450396030579604,-0.06542236899777507,0.03603196700796145,0.04251337349823008,-0.10744308993771348,0.021075568491784238,-0.0675153877939105,-0.021631836268059874
POMC,-0.004044396899782352,0.0841955070773037,0.012081547120904165,0.04262264320831175,-0.03498879271209438,-0.029465760158764898,0.13130026649016796,0.06435862044911106,0.08561682994392542,-0.0359269565432127,0.05252046738622797,0.049347802704559414,0.06844109018303741,-0.02623112584178775,0.04117959427954858,-0.04172525836458135
CCL18,,0.0009533893421128528,,,0.13358833697031583,,,-0.047870212712543964,,-0.04091072998633431,0.0610296927399247,0.026224813742838103,,-0.055220404122309136,,
CCL17,,,,,,-0.012563675042489455,,,,,-0.015296643268464643,-0.02610108975166886,0.05155538449057531,,0.03707289422807907,
VEGFD,,-0.0001452208378987394,,0.03282317623115597,0.014147737423700608,0.03579673165081753,,0.03737893954342237,-0.012660086436334931,,,-0.01808102156935957,-0.022059524717420974,,,
TNFSF13,,0.13906862421388555,-0.018479343365776116,,,,,,,,0.02982224342120678,-0.028370992192196225,-0.0002532020705865554,-0.018006211272057714,0.013596836683204022,-0.027574669655006847
WNT5A,-0.034035776757350804,0.03789701157148237,0.058476149256458984,0.06263458757787789,0.05952308770763215,0.018002399577244345,0.05366188714329196,-0.0017730755139527298,0.08641693620529994,-0.00375242106684264,-0.0002000851434788982,0.010942758636996487,0.016333751903021186,0.003759020925167368,0.08355944500414611,-0.031083628248641023
CXCL8,,-0.02678825043606782,0.031639585157245805,0.05385159478876802,-0.0051953416075385134,0.04112032988497422,,-0.1402275371471194,-0.002400647151270561,0.00020747179437767698,-0.05721054488198482,-0.12865366269179213,0.0033552704268174395,-0.05429702843425694,-0.03973541823484484,-0.06219565268224077
GRN,-0.05047818120502228,0.15561833571334555,0.04166738930355326,0.13728233550689362,0.014767853108785773,0.11697966860327065,0.08133633636192447,0.12149981159090462,0.029523540407069872,0.1441692659722131,0.04479860906956982,0.03991176280473369,0.09415875502241533,0.03515001906202211,0.126922140773228,-0.0046818364978869495
MIA,-0.021577633078001802,-0.046153462153655574,0.07708230426690998,0.12596948175200656,-0.04599175585678259,-0.01844076978704828,0.06501093821805358,-0.07999830429774711,0.013626880764337108,0.07713804904499312,0.06590611853242924,0.06483468724503962,0.09523516021806773,0.04697674432955835,0.015917919869160295,-0.010248458586511936
COL4A4,-0.01909180674893481,-0.012340048127817789,0.0031116999898896168,-0.015143780974779678,,-0.017888230829369873,,,0.05667084414373611,0.07797083789819914,0.015414843176103686,-0.014879916168785343,-0.03221882366152684,0.002908548864003398,0.03133231749768042,-0.030818868636589055
TAC1,0.09713887164941792,-0.03424208141336935,-0.005784850477746028,-0.06503098690586115,,-0.03170168871892075,,,,,,,,-0.027664913865814572,0.02638767295070362,0.10882794934541007
RARRES2,-0.02422604125383882,-0.08431232637047324,-0.0032144103349653038,0.04916985718422652,-0.12338624811956782,-0.015359627788401093,-0.007789988946536834,-0.10167517130345069,-0.03541002179946846,0.06538617673789261,-0.013239383786418554,-0.0617770935966879,-0.001536219404347793,7.451710649831312e-05,-0.07283462332059171,-0.08805247778788862
FGF7,-0.01973262606390104,,0.018815834045077733,0.056738681421758454,0.025584052867552602,-0.004865443476153996,0.01472764455959261,-0.03917947189828095,0.05841547583727958,0.0616477252267474,0.02436548825890533,0.01410650765941159,0.014173127519771733,0.03526824357552886,-0.019404648006486724,-0.011212913570012409
EFNA2,,,,,,,,,,,,0.030591993687894975,,,,
HBEGF,0.025287933376885587,0.15171413427305339,0.06626579304162347,0.08421726281845231,0.13516422005624296,0.05108398229946771,0.03986860270587647,0.040601019365712816,0.0629397245934394,0.12594309035090834,-0.0378819489214041,-0.016383044549477314,0.0023896303908313454,-8.952236312815676e-05,0.08248778411908939,-0.017578474427038627
CSF3,,,,0.07917452164846517,-0.05094798573620117,,,,,,-0.051753407611954336,-0.06011166342474193,,-0.022988338574946296,-0.028796451539044837,-0.03241792363754434
PI3,,-0.0027181340896018655,,0.02580337522725448,,,,-0.05977178801663462,,,-0.07147069624651477,-0.11541648541862426,0.09485882636200378,0.015092499254736883,-0.06256512251118235,-0.043156635123417664
PCSK1N,0.0711880360293235,-0.08651810314206994,-0.01987359811634864,-0.029031279530913327,0.08679578555239745,-0.0704273345433314,0.05567192805741055,-0.06935931381028382,0.0785279721511445,-0.03565277505311621,-0.06891153574921127,0.07801156238397508,0.004085385313288226,-0.014533106907715558,-0.10273316020014749,0.07638163069461663
NTS,,,0.047388600618424696,-0.019692754870227973,,,,,,,0.015810677176288892,0.017697090734222383,,-0.0004600336450863774,-0.042643618010134256,
SFRP1,-0.023986289505543042,0.01840913933756152,0.03648246143975263,0.044748563526870615,0.10731575957466906,-0.03587485654020446,-0.02019207873629207,0.15794524918318498,0.07583158642744421,-0.015947416835293365,0.05040822000353487,0.05760925530563777,-0.07747952849309649,0.0030042228887480803,-0.04165268836270643,-0.04044396988947345
CXCL13,,,,,0.13027852944107077,,,,,,0.04055236023959992,-0.04415265254882095,,-0.037498763994038946,,-0.006929139629987016
MICA,0.0902179822357639,0.16013869444687098,0.03872196825985108,0.06477173017113766,-0.0021934116872925863,-0.0259650253637116,0.13222808136422867,0.01192580776379809,-0.0027737300193014514,0.07245852667508967,0.04966831833853478,0.0768006055951152,0.044824341302386474,0.059083545957529265,0.055571032663322965,-0.006842464293254713
TG,0.005350051577413065,-0.008565036347651236,0.005856912299835781,-0.01933691390861876,0.07430539925382088,-0.018872412685289667,0.015385896623714812,0.009156209936384005,0.03759385308487579,-0.008714238283215874,0.02221723248028992,0.08803587280218997,,0.01962764308547665,-0.0031984860693276634,0.03981465853283836
