,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.027298053557964226,,,,,,,,,,,-0.004985472132656303,
BMP1,0.01793565870786989,-0.013278396273564483,0.0808419712329783,0.01189838187329634,0.10939085806882036,0.02041801863622705,0.04159845650198066,0.049551719079511995,0.1975730533492368,-0.003560020456674455,0.12897419036333338,0.07101311266736998,0.050727862017479516,0.010889993130036232,-0.02121860795479579,0.12700667354162473,-0.0037057403749283816,0.013138719923673632,0.09421177595616645,0.047523917985878295,0.10342592560246396
NDP,0.021222395137703447,0.08890641314110749,-0.004294211665617571,-0.0008714922763882725,0.06559164567841413,0.007527325625078048,-0.008574217222948724,0.02132813970360172,0.03374657912869871,-0.0017179910273517765,0.06405960022378059,0.017760913637447088,0.03276751261370795,0.03289043259026404,0.009903070287221703,0.031605713195168035,0.04655560717818968,0.12129446092169911,-0.07976342073998173,0.090266848477078,0.05789819141879205
TNFSF18,-0.02788690224109027,0.006788481756243902,-0.00043078646109431974,0.004184160597969888,,,,0.009315824546208697,0.028513431876016272,0.044625526789870924,,,0.019463734265320803,,-0.02101212813106406,,,,,0.010238739852931316,0.003537975235401398
IL36G,,,,,,,,,,,,0.013555685049256817,,,,,,,,,
RTN4,0.025134038041064146,-0.07355687697459455,0.03447704113595779,0.0019496598556268438,-0.012678013948676533,0.035176736061888904,-0.026682064768748036,-0.15427487023891392,-0.227530851307304,-0.017671790994859958,-0.042751394680761244,-0.002533954500893448,-0.05876149852633824,-0.1133682340764759,-0.00015054179695720845,-0.051670076578723786,0.03566519619538626,0.013576311456119402,-0.02147751703104262,0.025237183901021438,-0.1257813743713807
HEBP1,-0.0207944512507461,0.014768987648680962,0.02569144432196406,0.002046252996823051,-0.00856281882807617,-0.03146581368011121,-0.07121253294193582,0.07032636073864347,0.08911693465551516,-0.0066300923343501645,-0.019976458283913756,-0.0006358285637951438,0.08259268892796025,0.06141729102949454,0.020537183671247163,-0.026576385091221105,0.014590836545117662,-0.016548716234067423,0.016143597238997186,0.07040284246301268,0.07136416812934922
WNT7B,-0.024567487432333723,-0.004391334593666577,0.020416622372140876,-0.02601561826306076,-0.05768130750166612,-0.040877989828774886,-0.00933592891838004,0.0160487277729314,-0.041692789105720544,0.015258500590727048,0.04190278621385793,0.014147592010381281,0.08953995602302818,-0.014825568935441721,,-0.04110125296621181,-0.035991007020056906,-0.015824122735289183,-0.031740204687852276,0.050870120321167944,0.0017663978087707486
PTMA,0.03440915085057015,-0.10697560669637768,0.012624467066992153,0.04172217679596084,0.12200797654321945,0.04647999733958596,0.016182951888374226,0.2528174233069408,-0.11240823346066826,-0.013262731811419896,0.1600930993689285,-0.03242843524235012,-0.04390686566362157,0.09878249005600678,0.054875953805140584,-0.11600128313868283,-0.04239156440369288,0.05076887197057844,0.05871526249620615,-0.05078567509956734,-0.03900236806555115
FASLG,-0.024567494377499482,,,,,,,,,,,,,,,,,,,0.005924523098637283,
CEACAM1,-0.020120145430917287,,0.007813059243086517,-0.02697731508838895,,-0.014288815401987492,0.01452083400759559,,0.033097679627294714,0.0012609964630129421,,,,-0.004136598105623314,-0.04405230266931642,0.06193240394848021,-0.015575493147955423,0.016197979773349958,0.01840143953590703,-0.02281048257448023,
PDAP1,0.0069760787996491795,-0.019064432018964465,0.04417100569274557,0.003569784714369186,0.02965347492132855,-0.0034791426102134234,-0.03616731647113887,0.06931827868658476,0.14612149259267412,-0.04179129967485906,0.09607859676669198,0.06979301666140042,0.007262076622037982,-0.03171750570297147,0.06054105753076379,-0.005080003899017518,0.0457562105913598,-0.012808447952297691,0.012737072830217265,0.016095155137340434,0.013398016954446585
QDPR,-0.07514425912467648,0.0684874710368423,-0.002035437834224516,-0.0014019261306279468,0.006225793423729291,0.02947249223031926,-0.04980837734180157,-0.12932824194923867,-0.19769124314846068,-0.003713605414919926,0.05389104086123081,0.003359396727133894,-0.01821093929679363,0.09864249226310674,0.05129118672019522,-0.12817567041195438,0.07937830888803504,0.05044545552672352,-0.10840232706075888,0.01951539640534539,-0.06586910712935191
POMC,0.06123728155842314,0.0004129236274982481,-0.023010494823794504,-0.0071077764541812955,,-0.025452962439869456,0.005748118696304689,-0.038117688180401336,0.013162649185235867,0.0315489665038407,0.03791387871892081,0.014070621351872934,0.014927394657777543,-0.0028819856448083995,0.04222920038333799,0.00124300215002126,-0.051956424988725984,0.07868733078397155,0.02288271951424995,0.024390762243800372,-0.0027456188671611988
CCL18,,-0.04133586927483853,-0.024809231104260733,,,,,,,,0.09801264618285206,,,0.08165484548253804,,-0.026134531794007126,0.05971744523154973,0.0918936864260829,-0.01795055182109698,,
