,UKF251,UKF259,UKF260,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.016451269258963567,
BMP1,0.023278744846701775,-0.01537240272050541,0.02458886098474912,0.03246251359709619,0.0030257318384906452,-0.015147634556979223,0.051067325919009365,-0.0005210428066570612
NDP,-0.028508748657477625,-0.03871206199893926,-0.0584366695242593,0.061905403039812935,0.01802727922598178,-0.035422053615310256,-0.04637144897417194,0.03308102094560171
TNFSF18,-0.02492196259975969,,,,,,0.13231407316102312,0.0757004594865875
RTN4,0.016226496386172573,-0.02767980027817357,-0.047371707966389294,0.0674658213850754,0.012128402079349742,-0.079239237275158,-0.0207929846324494,-0.12564982751875775
HEBP1,-0.025420465668288088,-0.02338026804899288,-0.035170475573215204,0.031151451324616965,0.037775054853744126,0.037308022961629064,0.054701649678857975,0.01358093762326191
WNT7B,0.005187821923316661,-0.02180777550502822,0.015335029100667722,-0.022891016703765532,-0.006851780189199276,0.02325839925740388,0.040950320163867876,-0.006284020028862541
PTMA,0.011473584354934995,0.013643946684172407,0.039943956235820616,-0.02737417125932109,-0.05002127219018663,0.04774996830799919,0.041713829039684784,-0.029199796895918406
FASLG,,,,,,,0.003077542640616157,
CEACAM1,-0.011880544994188062,0.005121399858483484,0.02945861473548595,-0.0393804473876139,0.04215730882820475,-0.019795230629500976,0.005757189731080792,
PDAP1,0.006241368941471658,0.015929034003638987,0.0036579726970866417,0.07518397765825643,0.021928325687200004,0.029603345637630958,0.05335038650308792,0.09122846325145365
QDPR,-0.007435720551146207,-0.007051288550679916,-0.01627405225530088,-0.01800026128351497,0.03433353631092958,0.13186949624832237,0.012085459773770872,-0.026400662366612128
POMC,0.03898502283805651,0.06749685727568205,-0.0015277797255350307,-0.0005041181985939318,0.06398756752355454,-0.007880627896341108,0.08452678234817018,-0.04040816542840579
CCL18,,,,0.011254981156876507,-0.011332652889711347,0.044901198088578675,,
CCL17,,0.0016796387626719117,,-0.027938521354280304,0.005991394099689409,,-0.01717261594783356,
VEGFD,-0.017016497117963103,-0.014859739460475663,-0.020557411844665776,,-0.041349005315604,,,
TNFSF13,,0.008169607248096232,,0.10434015305709382,0.01575586822572614,0.011634231614506819,0.0020019538133946935,-0.021832773135279402
WNT5A,-0.03469529234768852,-0.014903426339467153,-0.07844363258774088,-0.023196352072308992,0.11933664183105076,0.0208794378032552,0.05125270317940205,0.00025995425559766175
CXCL8,-0.015933239301310385,0.06327379693960059,0.10574110957281653,-0.028834628387017988,-0.15837204489599288,-0.019201826293925636,0.01679615139165137,-0.022567430989262595
GRN,0.024766050328919428,-0.04353920253238901,0.07005159917775695,0.10080766630636045,0.11941415487352845,0.06251197967516577,0.04652313243883231,-0.10125141049973888
MIA,0.048407899010580735,-0.024528179362610855,-0.00522257878086103,-0.045892321393942365,-0.09796734365177977,0.0973920228035979,0.0601052454163867,0.06368290212042726
