,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.023678104183100093,,,,,,,,,-0.018439174668191942,,,0.06698150412995456,,
BMP1,0.006340267991090462,0.04939676843132343,-0.00912081119312196,0.005588154382685888,-0.04415467999037305,-0.052985006438638425,-0.016463234875270155,-0.032073293609585656,-0.0064936599359385885,-0.04387934228963555,-0.012554614432619024,-0.12273543361174484,0.10785041499638182,0.09644292417578419,-0.04730032165746734,-0.11004041296448208,0.005396455204970698,-0.14412522400853744,0.10745501673898192,0.3397686163341941,0.07160119021595075,-0.003821696579064558
NDP,0.01417146437204132,-0.015938090091241402,0.05842666639898098,0.07159747173393957,-0.021259833778145224,0.030021464509363178,0.008235711655200617,0.05802199197184821,0.02540917718947133,0.016186144004065345,-0.0004541791399332444,-0.03737011282912773,0.10614091517949352,0.15346164561096473,0.06678157274684958,0.11290873692099454,0.05210947094116634,-0.014791135513453775,-0.02744269914239183,-0.063008986736765,0.03671909924048647,-0.06894174144821467
TNFSF18,0.0213079341447684,0.022272826216140094,0.051866885510220825,,,,-0.005526891721751718,-0.024235782318419958,-0.01714530829486812,,,,0.07767157966910972,,,,0.11169924827134896,,0.03673565523636887,0.05805730563453706,0.011239651372060866,
IL36G,,,,,,,,,,,,-0.024685019334706487,,,,,,,,,,
RTN4,0.160415160122805,-0.01602528602667707,0.023444840739739937,-0.0140101660710728,0.0345595005149561,0.04690112498685625,0.08086173534682527,0.06182186429325952,0.15522789119349706,0.08748153361942286,0.130887890945281,0.17579532133365894,-0.038768802537413126,-0.035797511710505915,0.14250254913646446,0.06421786914412574,-0.06560359149834895,0.37191899619056246,-0.003945650360694381,-0.06918491397492445,0.04594753681762289,0.02653832735191254
HEBP1,-0.052952771439743605,-0.03573644643100145,-0.01432966724601827,-0.05527189333227081,-0.024920873960132345,0.03454120183949827,-0.01627091836554083,-0.004415212612585807,0.006023993953173486,-0.019971725275702436,-0.11330883931193529,-0.02045259663361966,0.03100117378231153,0.14148750926803408,0.14633038168585116,0.10495845456747474,-0.04860955327441509,0.06379071519475843,0.09711094809371475,0.05822894276510467,0.0034099169513022772,0.018890560038653973
WNT7B,0.23641227709365747,0.00897914819815925,0.03661814948027013,0.08000328556780037,0.046339962244968204,-0.0060342546360625,0.07556366513399843,0.07228385834616426,0.005592649088039196,0.04475098154458251,,-0.001494569820250783,0.07262191529168738,-0.029797670471708643,-0.022230942462219485,0.042437901071702505,-0.039763984661710064,0.041083163645441796,-0.031128566426217037,0.06605871147459963,0.00862791672053014,-0.047394784722791586
PTMA,-0.04940804464761509,0.03647398868073395,0.03314968552533858,0.08839284425914475,-0.05191501194600388,-0.029622623343248826,-0.03591611648630537,-0.02202319555797546,0.054899325023380074,-0.08306563324067824,-0.21518154442354964,-0.16328804297494345,0.03659084458018063,0.14675850343172503,-0.03472106967055106,-0.01842948865677099,-0.05267858387747249,0.08111364208951843,0.022796034584899958,0.2580223314438813,-0.008493789310837786,-0.15388467737490955
FASLG,,,,,,,,,,,,,,,,,,,,0.04909804200450877,,
CEACAM1,,0.09683338200697728,0.03644162425006776,,0.012471472168133726,-0.015633601827122843,,-0.012556964858631767,-0.03235365392756324,,,,,0.07121688150494757,0.13214032644952753,0.03338835412921032,-0.027324000042373415,-0.045350970330721684,,0.04659827733606062,,
