,UKF259,UKF269,UKF275,UKF313,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,0.041834628002812006,,,0.03470111684722574,0.050258656537103576,
BMP1,0.02083743693203165,0.09741744487386611,-0.04043076318034033,0.12783502689571927,-0.011993361807623152,0.021709774860864377,0.0009454180221123513
NDP,0.03623412975232067,0.014163893314352171,-0.02038467031956022,0.13264770224577055,-0.02425396516643236,0.04780886943023924,-0.06495537701761377
TNFSF18,,-0.020756768615840655,-0.015987501173052903,,0.031604630147244094,0.01629866991012836,-0.005544424418547158
RTN4,-0.014520683943574936,-0.10192275881597043,-0.022838583046536805,-0.03981935519693224,0.003081085642600326,0.04561318967404705,-0.006984705482021321
HEBP1,0.03813642750802247,0.05648630895042932,0.006031943434832407,0.05502444886802661,0.0688116471656418,0.04601134355708538,-0.034538301454636135
WNT7B,-0.018411192565860605,-0.057854115192769104,0.045728636737000734,0.06704225068174992,-0.006070241960923493,0.03622027412717619,0.032458411441048315
PTMA,-0.017795108513680827,-0.09827844335328247,-0.06527732855560213,0.08697096504049498,-0.04523589371282837,-0.07981803048941843,0.01593806491668931
FASLG,,,,,,-0.0198520072703557,
CEACAM1,0.048266149627046985,-0.02731472528130351,0.009607879140800753,,-0.028594739107955524,-0.012443262849010733,
PDAP1,-0.011880854920457087,0.060582441572378805,0.023780364237744815,0.0802420148835151,-0.02525130390177585,0.01797998773345164,0.03747555303183424
QDPR,2.598521107962497e-05,-0.11144908407648423,0.045425779862417866,0.10738562650607664,-0.03847925450947428,0.056508417568156936,0.06855346863433895
POMC,0.008100054061317355,-0.0014160888866863808,-0.018550632099398376,-0.028851599461572383,0.08357518143212218,-0.009928146785142254,0.029389013485938146
CCL18,,,,0.06552572240731068,,,
CCL17,-0.01932048442868689,,-0.019939526633666445,,0.07691200619540049,-0.017993614820686007,
VEGFD,0.05886258766609489,-0.023416739592643333,-0.021243879119805385,0.07968126337053519,-0.026833037071013508,,
TNFSF13,-0.013326837753698462,,,,-0.027282827443557582,-0.029319093484302634,-0.05967793224601955
WNT5A,0.006376062808703833,0.07247688551171394,-0.04289624959433699,0.012298675003629803,0.04264006652321163,-0.012415881705174858,-0.011473592271947311
CXCL8,-0.018820561088414844,-0.03702377636226089,0.003974653630073091,-0.020167216240297027,-0.021008534103730214,0.02440238546658702,-0.011705352767965204
GRN,0.0402079537005803,0.10338608629189548,0.0035730589298366686,0.03420016369280896,0.008458384342991308,0.03702520814340442,0.025839835917639106
MIA,-0.018434345787424925,0.07456288758982348,-0.010297679828316893,-0.026436426155394842,0.04298982522849941,0.05445030689436677,-0.033207373490055786
COL4A4,0.06989703626107031,-0.013774187413285515,-0.007265326348439817,,-0.0391907305696145,0.021903570436571575,-0.033035649746052685
TAC1,0.018046673958417185,-0.04913846870198198,-0.025088083168834898,,,0.04773433872798532,-0.0420263989880386
RARRES2,0.03771199675414931,0.06052585455067037,0.028213515322201742,-0.08197970537415049,0.032360242358039,-0.0008151526760202326,-0.010337846943169731
FGF7,0.010487692393304894,0.002924873998250018,-0.04166548375476422,0.08699739051753613,-0.033182328429546736,0.03457144829059688,0.09640913403388111
HBEGF,-0.05169736365362307,0.03167897569915398,-0.015332760813580017,0.09806096326181746,0.012243438064217585,0.000661489189078088,0.007071517941689134
CSF3,-0.023028332827274303,-0.014572825163070255,,-0.0030192605947545327,,-0.01894450056346691,-0.006787881766590771
PI3,-0.016992898104831056,0.07796126560642418,,,-0.021616789923019852,-0.02067499658653981,0.027745863545461717
PCSK1N,-0.04077326639518637,-0.038938943155867864,0.007034974930892802,0.06653091722914074,-0.031929855510723894,0.031171141117865647,-0.0497630576384852
NTS,,-0.01791175511044114,0.024458700209170244,,,0.017274004468632052,
SFRP1,-0.016857869470122466,-0.0369344546229161,0.0002919156504442533,0.015491942806951538,-0.029985570010917777,-0.012601980640579644,0.008484948037908382
CXCL13,,,,-0.038865804759857146,,,0.06468792064202518
MICA,-0.0179925971249178,0.10398389076946159,0.0058100479537295645,-0.0032535550296056096,-0.0211716044079858,0.045169049165101484,-0.013201751937896316
TG,-0.018192312022059582,0.004206383839417313,-0.020088318502075594,-0.02281194710267551,,0.02976882407764233,-0.054802214557955094
ADA,-0.03430147425992445,0.09651031568522238,0.021105315679413175,0.05178737889724183,0.02169273404787696,-0.0012879562868417167,-0.028398478435956043
LAMC3,0.002390259139826572,0.0812130819765085,0.044987152662537284,0.0292184488119959,-0.035798586527052936,-0.04289598539449632,-0.015501417646818876
CCL7,-0.013153012525559015,,,,,-0.019852000211218874,0.03338771287241846
NGF,-0.030136911133185174,,,0.06993109176359397,,0.019657615499034383,-0.0028349995266439094
TNFSF15,-0.014646522752811952,,,-0.01864945874461497,,0.01637871266012816,-0.018513604955080264
HMGB1,0.03865952975965348,0.018336805262137258,0.0650632605801173,0.07797210424245173,0.02467381691221223,-0.06637978325311003,0.023660893057518687
ITGB3BP,0.0006156944164845504,0.05119652450557493,0.024045133405196865,0.019516835532907395,0.017628080797323933,0.023935618557181453,-0.032588575327131775
AANAT,-0.01332683917604649,-0.01314508266572634,0.013278442229365793,,0.07932197262448547,-0.02100424409511993,-0.030809187176100344
RELN,-0.01008177383113133,-0.03857179694298554,0.04759782689168554,,0.042153820706955954,,0.03634233812668317
IL15,-0.026006528476808694,0.10794673744677041,0.025788767448499002,-0.025389923724702574,-0.039190725603114894,0.050053035673746325,-0.007033704130069522
UTS2,,0.007842299806581621,,,,,
BSG,-0.06999255972787465,-0.016785153140863655,0.009761855961041885,-0.05253961588216914,0.024111605766934555,0.008355337198934793,-0.017575913329443204
ADAMTS3,0.03825065424157146,0.11982965896045626,0.031081448268597572,0.07973964072834774,-0.025274676027592338,0.04137365754208045,-0.05898187027291018
CD34,-0.044183620974348706,0.0932760512575642,-0.03434751587222644,0.03241871305347802,0.01679360219107153,-0.017748097759046157,0.030696924926117843
CCL23,,-0.01495701742906455,,,,,
PLAT,0.07745621734186295,0.041803047039993234,0.05054171852652992,-0.012171353258969828,-0.06786334871470989,0.051192870472827216,-0.0303454707292909
NTF3,,,,-0.01088389714559172,,,
LTA,-0.016857868681484832,,-0.0173989998870179,,,0.030301697083247432,
CKLF,0.03288862187680422,0.05202450539089652,0.05283127154501541,0.06788906683502388,-0.014459981559594257,0.009012525463385674,0.07203706171071166
APELA,,,,-0.034379277691077716,,,
CD24,-0.0052750091325397585,-0.03189866894311996,-0.020569839285851613,0.17664111952865136,0.0310394448969243,0.06313048464692987,0.006425016132126573
