,MGH258,UKF248,UKF251,UKF259,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.021195201710829614,
BMP1,0.010895659193624493,0.028029368451507195,0.025325703414759353,-0.016992661081823936,0.05391820207714073,0.0183908205619559,0.024600905883520735,0.10118130142412723,0.06388769289927272
NDP,-0.043998492864783086,-0.01182090538231963,-0.027859650549924828,0.04776388243818634,-0.03780776338147643,-0.0031390209535047645,0.017011462937581948,0.004240056218364267,-0.004407355182999929
TNFSF18,0.1032812240714361,-0.04415233771252239,-0.028809867118285724,,-0.020702783159334187,,,0.07979723179414468,0.11030780927539514
RTN4,0.15744907997264104,-0.04985340887097363,0.03460624214108649,0.01592151029506449,-0.021835288806778683,0.0601353377406804,-0.0402895191728974,-0.024322075523305533,-0.005112526500565429
HEBP1,-0.020105699063197712,-0.024858681405324067,0.0639091454058584,-0.04068940913914283,-0.013950824516686035,0.013985379373075806,-0.013819108786552408,0.07820040827761156,0.017066763261091755
WNT7B,-0.02217336003538754,0.03837996385439248,-0.023299347926191163,-0.031624636094912784,0.026466650151295634,-0.022337113160184788,-0.005621032818374742,-0.02389362512582166,-0.027822068147896867
PTMA,0.06798416170973282,-0.03422656024518439,-0.012648951382557696,-0.04443518099412374,-0.01843291392614752,-0.06569794293246024,-0.012665232698861432,0.016081015262477426,0.039180836099780576
FASLG,0.06240467467161695,,,,,,,-0.027922873219006085,
CEACAM1,-0.03078791316710869,-0.0032970716879114135,0.054263027747238325,0.012147941276247052,0.08118633967590354,-0.019823719700785305,-0.015175142219476858,0.048901350038893496,
PDAP1,-0.0472940704484763,-0.01797304464979982,-0.009787197898113715,-0.030702234536202258,0.02418165108452431,0.05379195901742355,0.029912058574964432,-0.004376313248221343,-0.05348848636258722
QDPR,0.09884961416922129,-0.055914782630286944,0.005919134566202255,-0.006412301193583427,-0.06294209037260373,-0.02927433343338416,0.050518470139531924,0.001625838471254773,0.008861142788828063
POMC,0.030622074792378835,-0.04201158202240221,0.0004463548776024307,-0.01671231986634892,-0.012609796156495172,0.046785088587597154,0.01043216439139315,-0.0008223098135708293,0.04242776732925279
CCL18,,0.01523056815019615,,,,0.03917094799802899,-0.03705669240770037,,
CCL17,,,,0.17234947943061205,-0.02582040130776347,-0.014063969632702927,-0.021906270480652627,0.09515444330557805,
VEGFD,,-0.03506834362373036,-0.025610727583065464,-0.023581183115660657,-0.007350298097289866,,0.011181359173932879,,
TNFSF13,,-0.02646369743501279,,0.005695788771376415,,0.007127245119922133,0.0099670042533129,0.03542184132267291,0.06468384884444173
WNT5A,-0.01937616637249333,0.03560934491545103,-0.003415008395202676,-0.0709449183178198,0.001646796987848315,0.0010348015396343731,0.031170151243710004,0.018185301795585338,0.07299040947859418
CXCL8,,0.02552842759697525,0.030774723164098745,0.012202566362134843,0.00790963494570655,0.0283472714983711,-0.06277794477469584,-0.011728641275147113,0.006677339208743282
GRN,0.053744295808178355,0.055142579666415864,0.04623328302945846,-0.01588575695079597,0.022961704097434275,0.086638129449024,0.048036173089923646,0.08682702532845264,0.10002064555545456
MIA,0.033997561208188636,0.037055986579201505,0.07495913441424065,0.0143309366292803,0.05024938521866475,-0.09216973610138054,0.025951177918843313,0.015703573365532103,0.08835542304335035
COL4A4,-0.025679459990023065,0.023273788029075617,-0.02982450894323608,0.01266852248433862,-0.00580833172210839,-0.03716098563181588,0.00888445837944764,0.08213081869469106,0.06146985393521478
TAC1,-0.022173354240123358,-0.06529660104856486,-0.05848811714104723,-0.017995674586939594,-0.07613598189860747,,,-0.03327118604485132,-0.03317764405233428
RARRES2,-0.013855114289707777,-0.06827079657289599,0.0777726766859485,0.026419460371274715,-0.046361814867589175,0.04921588826775255,-0.03365769707293022,0.03417927376505532,-0.07509715267704725
FGF7,0.06290358011068789,,-0.028906441704167177,-0.02105624179966467,-0.01788587062144647,0.05140225889009221,0.03553967937560143,0.034049636670321966,-0.014690229210790318
EFNA2,,,,,,,0.09774537501306087,,
