,MGH258,UKF296,ZH1019T1,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.022974090337091514,-0.019802430070788565,
BMP1,0.03657074886098034,0.059012115016292596,-0.09021539458927166,0.008535818895582779,0.003379131818889426,0.022970533607320088
NDP,0.02829998913761713,-0.00987455567566984,0.11751762642128843,-0.05391520224156782,0.09156968139187907,-0.033502098254355475
TNFSF18,-0.019279987219288242,,-0.04394748280138296,-0.002228090186343187,-0.02045607556593392,-0.024308718998958673
RTN4,0.015922068324982767,-0.03916065422529547,-0.03751062507261854,0.010771087091113647,-0.0548111600814754,0.014667618746684074
HEBP1,0.006030065181023142,0.003471201338020416,-0.025070903809944544,-0.03829674092987162,0.14973559016282825,0.009766644752290745
WNT7B,0.009994466745144657,-0.020844827064145706,,0.004860825460605798,0.0743217250150426,0.07209283798763465
PTMA,-0.0042468590360806085,0.04243404981252448,-0.014076407756144764,0.03914704929618636,-0.058565624739243156,-0.02760678036146135
FASLG,-0.0169850696758353,,,,-0.017174640844698285,
CEACAM1,-0.02358391789291431,,0.08184371817941873,0.04566174863480598,-0.0238959902398075,
PDAP1,0.07708091536391909,0.027280733268972027,-0.15338322523555525,0.025621636808246927,0.014646499717975285,-0.09484240652381871
QDPR,-0.057837360152676716,0.007523365917445948,0.03050592594516312,0.014073305015782439,-0.015753258308379918,-0.04791600968158758
POMC,0.005169741416436248,0.0358078925646759,0.06494546476678177,0.0933468583430828,-0.017202597134180535,0.06746984440104772
CCL17,,0.02286511247764255,,-0.03029001101068804,-0.015566882876604198,
VEGFD,,0.024582761549562626,0.09134319879755351,-0.03194661262501089,,
TNFSF13,,,,-0.032482119610526425,-0.025364936332506638,0.012089033234089018
WNT5A,0.08435813212873558,0.052810418894145734,-0.07518979724477269,-0.021914201955873996,-0.07679655121017913,-0.021153667111155725
CXCL8,,0.02475418544351154,-0.048565524389980026,-0.0430052128787146,0.02914376081263633,-0.058866739932364465
GRN,-0.07238702513668696,-0.04469335639057994,-0.12869935206687338,-0.008245779564144252,-0.0849254552796945,-0.05756658446186873
MIA,0.06319275076366658,-0.02303564542830598,-0.03819497347936169,0.0037358418104712684,0.022006149922818245,0.02379176558825441
COL4A4,-0.019670780304333193,-0.01641939075350094,-0.015809183891126788,-0.01190944941600869,-0.025902599242185246,0.0060575022356372
TAC1,-0.016985060434957754,-0.025767518979781488,,,-0.02046425044857181,0.001989592881826866
RARRES2,0.1246264437854477,0.005386711597893671,0.11988987001069583,-0.01001519039641649,0.08268142889954634,0.11033858542719951
FGF7,0.05629731754522813,0.05415268237392187,0.02246751258712022,0.023323614350323044,0.0550535505354073,0.006578018157307311
HBEGF,-0.033575880599505656,0.022280435473775107,-0.03185619303711885,-0.0691761810182843,-0.07519618813393442,0.04502696618572954
CSF3,,,,,-0.016389526193937295,0.0011730792443411138
PI3,,,,-0.025736304542766774,-0.012322766230508653,-0.08057024589789437
PCSK1N,0.06250359132838226,0.00789147628655563,0.045357500355018905,0.0005597988852013269,0.07928070457491135,-0.06102654727806684
NTS,,0.025996842517510194,,,0.09706840688672744,
SFRP1,-0.02471369197187137,0.05503921523020955,0.03677283778991363,0.09725722427952005,-0.023706664900807705,0.040441273957151636
CXCL13,,,,,,-0.025217527028211315
MICA,-0.01869544571556964,-0.001361689315219904,0.025446855660218422,0.03569178206107072,0.0366063716589038,0.03061664551643018
TG,0.00414881261859531,-0.019408620800119566,-0.03105429034605553,,-0.004971105480826129,0.11802252558497833
ADA,0.07210048401128984,0.03375140246555948,0.07024937702788452,-0.03494936591292084,-0.00210224514435906,0.02486677465759675
LAMC3,0.011901245038667217,-0.009283592399164676,-0.11179027198212431,0.009685747855925542,-0.05823293618265574,-0.08510434164957505
CCL7,,,,,-0.017174634737601002,0.009318568079781339
NGF,,,0.02307372299323461,,-0.03412796190033802,-0.020389519117750683
TNFSF15,,,-0.07606269067684131,,0.006952285340129708,-0.03440779312889604
HMGB1,0.009833372630882402,0.014511757695363977,-0.1410870690799502,0.011304295075442491,0.01518197284811603,-0.024687850780079134
ITGB3BP,-0.006184297229346761,0.05998582775273388,0.012995579046185195,-0.04716451222874194,0.06958319985590336,0.05759693638615183
AANAT,,-0.03333822068151524,,0.015328689548017985,0.0709013380536387,-0.018982999154301128
RELN,-0.01630759471203579,0.030455169033091468,0.001515147001277353,-0.046855758991764564,,-0.01972225441259514
IL15,0.019691357028275566,0.0022340881486482282,0.06471938969591241,0.0012510330645509613,-0.05687517467609779,0.013735390449356408
BSG,0.10289079246817989,0.031565138474092154,0.05772503903481211,0.04363871551933173,0.012243894441757932,-0.04073862333575467
ADAMTS3,0.016726865837830215,0.04778506893503191,,0.07485282873614087,0.009025926591392676,0.009294188840300166
CD34,-0.028172870924747618,0.010898726103948072,-0.04797163272034612,-0.03397689888168072,-0.03175187753351579,0.06833471220078426
PLAT,0.11611309676958145,0.032480566157359836,-0.04953617074387856,-0.015417247676262324,-0.07947612315359753,-0.08158403861818542
NTF3,,-0.015320291749701677,,,,
LTA,,,,,0.01111403033450965,
CKLF,-0.02337058856711974,0.006437733087691048,-0.08181890515102286,0.04368348004224213,0.06830691948775637,0.025889534501364466
CD24,0.08739512971460911,0.09712594839046922,0.10890374505246224,0.05760850279851373,0.013368236452206006,0.02508506253130893
HSP90AA1,-0.010888112542946199,0.021386067146350836,-0.03692044245669638,0.0804464794377615,-0.07075216037707033,-0.03485866446792801
BMP4,-0.020244084084183545,0.05668086554967876,0.0002085760622605086,0.0177244522719458,0.016993540239187258,0.023046880433104957
SCGB3A1,,-0.01134013054536678,-0.016765065973045744,,-0.036010617276459,0.015243683992072982
IGFBP4,0.10422602060132409,0.003320827148117031,-0.02876893384835041,-0.034207909529411266,-0.06345168141494505,-0.05482101627591077
RSPO4,,0.049870581231461784,-0.019227519849547917,,0.12664656349546263,-0.003524616951347495
LEFTY2,-0.019476285434884603,-0.007926027389230157,,-0.03263183695403658,0.0028407268730312307,-0.044567030898282164
PF4,,,,,-0.02445606760615014,0.14121164345567264
ANGPTL2,-0.01944688537115044,0.01957266746031459,-0.02211258982721231,-0.02548460138662826,-0.040135505419244065,-0.057683564070840576
LRIG2,-0.00969448831777208,0.002374232937797027,0.04871138255190356,0.05195650976802929,-0.003953053642526631,0.034043133631249584
ICOSLG,-0.028748094654796566,0.05672110601901273,0.07212944797154851,0.05717673892385895,-7.739683093022899e-05,0.05098342011340072
WIF1,,0.011523570874301762,,,,0.1423423486689597
NPPC,0.02091904107659963,0.018717856488187905,0.08025135147466715,-0.03554598844133142,,-0.03166997527036177
LYZ,-0.06561468885855494,-0.018008019658122685,-0.07963658575873062,-0.025235018631845,-0.031563705415035136,-0.060240002155076
