,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.17411074174477872,,,,,,,,,,,-0.020322177691276273,,0.047350533281431496,
BMP1,0.06830850711493028,0.016448169358146563,0.10672753470574851,-0.01111486026044403,0.015545249309280293,0.11993129979856301,0.024808187855854816,0.010408945674775578,-0.013614098037423394,-0.06347654733600559,0.0873781585342013,-0.06709159135321537,0.1368262410465557,0.04250331467639653,0.07756070089529597,0.047213583198798384,-0.004630294226455663,0.04714389427837215,0.03453913456773048,0.13216435772988222,0.004566489454171481
NDP,0.03790196588571243,-0.0545315267606492,0.010907393304792722,-0.015345194199989871,0.008703423388422286,0.002300779744504305,-0.005714787297758077,0.00636845146598485,0.013652594420758968,0.13324867289965273,-0.0004439700500223908,0.012670215279598728,0.11703566386938949,-0.047466283773843154,-0.011292154063106505,0.006193770021785956,0.08253593717441203,0.037411571263812914,-0.010977492943123864,0.01646854831486347,-0.004516157567715877
TNFSF18,-0.022251809701991178,0.09854858263810001,,,,-0.01966659871982842,0.05201395705606079,-0.030290193059778342,,,,0.04843074902325154,,0.01979439732172939,,,,-0.02095790314551186,,-0.011438479536707569,-0.031189200371489166
IL36G,,,,,,,,,,,-0.014527085739888812,,,,,,,,,,
RTN4,0.07122434705896362,-0.010694257163126187,0.013400468253988062,0.03378733163233175,0.06593561452687433,-0.18052319539693273,-0.05615004986477759,-0.015586381209493613,-6.224523176230546e-05,-0.020818853819477307,-0.06380978172252531,-0.01514200440605521,-0.028138260894668927,-0.07001285962019999,-0.0014119374986613217,0.015647001992853578,0.04899654288750542,-0.003964856470141109,0.09290929354607078,0.011851770366609874,-0.10045749459993943
HEBP1,0.04898484651804709,-0.05526985853813635,-0.010946070363410864,-0.012959752344728017,-0.019185159374605597,0.07805692367210522,0.025773721900923807,0.05884335830141694,-0.03361740472940317,-0.012354139339331037,-0.03040153638445968,0.050599984046724486,0.04962311829923772,0.03942982403569656,0.001239149129986322,0.019114234949244874,0.035348181150691826,0.07356409996600542,0.004080348280945093,0.016517582563813513,0.008790307127990003
WNT7B,-0.0007742516820221472,-0.015480748887723881,-0.03251966765519811,0.036252651448585915,0.008152194871372103,0.0017373585217617148,-0.015157281033555162,-0.03259094335874461,-0.014901627898653711,-0.01977683611391449,-0.01596694134982891,-0.03891972051522106,-0.030502839688059738,,-0.036933229709766466,-0.030755636409377177,-0.007978789935900447,0.0691281113598098,0.016423170801769808,-0.0026775216315528465,0.05760907393527441
PTMA,0.01068747559446027,0.034958194613699214,0.12366517265006972,0.04720897853713589,0.009214723667865472,0.21189747606906156,-0.019125613069328185,-0.04690742707466653,0.03661579224230228,-0.0010715142850379455,0.0427781569396978,-0.04394090265029017,-0.03860527677833286,0.09532479385791694,-0.1058992012984901,-0.06657534472454907,-0.04591647264978079,-0.014236229224577244,0.09139921540074634,0.021873949465279974,0.060638410118747016
FASLG,,,,,,,,,,,,,,,,,,,,0.05537729247313021,
CEACAM1,0.01540947669632825,-0.01188054366698,,0.005543387089894698,0.02552390918696547,,-0.02836178983813323,0.11698913701961786,,,,,0.006608720806790529,0.011227829704361043,0.010511747279744073,0.007294086731871337,0.0018536743624024323,-0.030114318785397207,0.028801621158352,0.006028102528026511,
PDAP1,-0.027581547322166475,-0.013147736745686754,0.02656598073535057,0.013333579109059863,0.038736761446670535,0.04532248404844648,0.05860556923344867,0.04808463848173831,-0.005624000738006508,0.04147315307571746,-0.002712039229928797,0.02476929379275999,0.11790080585207666,-0.07001432306662538,-0.0030221947488975284,0.06893964077165536,0.07867760816409894,0.04296796669462958,-0.011782712048376049,-0.09172525637237666,-0.024701352215215525
QDPR,-0.06323123275038688,-7.424173322943772e-05,0.12634425072825337,-0.01906422278601446,0.06920619529916723,-0.0848316753081399,0.0005175147929966688,0.004842679113362601,0.04306493965607895,-0.022089740702977857,-0.035544944200898924,0.020373716141540828,0.050277738424745796,0.07539936820994643,-0.025133666856781374,-0.0037093176250631134,-0.03125953089794287,0.005178146880952755,-0.019151308446859156,0.05339230844926777,-0.060997034557823966
POMC,-0.02041066513425089,-0.021109830643426232,,-2.5525535595856603e-05,0.03448877736597635,-0.0077588252972903985,-0.0365599194717333,-0.03514634473452237,0.05081292898386524,-0.009137076360610239,-0.03112443690095494,0.04269800670225894,0.04992485043113317,-0.03469386733635857,-0.06811861212557797,-0.04380930259528418,0.054334532302412156,0.02684011122706527,0.0005315855593820373,0.11605358732808228,-0.030206813699734828
CCL18,-0.055357727694980444,,,,,,,,,-0.00539311854393108,,,-0.011566672627836366,,-0.02348426377411781,-0.005744148006554453,-0.008040759358362312,,0.04161270716550655,,
CCL17,,,,-0.0034611214061617975,,,,-0.037777768064990044,-0.01844403799561347,,0.012317006100714433,,,,,0.09729790915979862,0.09924603997479253,0.04890632787805686,,-0.03180474592971086,
VEGFD,0.019820970059047843,0.09961631350376643,,0.030375930460798038,-0.024056405359440022,,-0.02431438135222386,0.10680339552866647,-0.013528924921382694,0.026999438539819173,0.07910801223343025,,-0.062406983543616186,0.05919547367197089,,,-0.026673869491061382,-0.0101664295481823,,,
TNFSF13,-0.009145242961466866,,,0.0476070999070247,,0.05880923079559608,,,,,,,,,,-0.00588913613090464,0.05886443730302984,0.04331385784050876,-0.051313285052108505,0.0055175102808596044,-0.004947943670536567
WNT5A,0.11557994741365789,0.020799743534592734,0.10154342051238106,0.025569828742906447,0.07867592572924158,0.10805721778392109,0.08712552867423733,0.04710312998188853,0.037734480918265145,0.020905313820453734,-0.014690965261077327,0.003392702264390375,0.04575003365752575,-0.06948773020051749,-0.0356404171021281,0.07066737958812208,0.05067728651258493,0.051597469889585655,0.03687645704453134,0.09206368840973209,0.06993433247672112
