,MGH258,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1007inf,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,-0.025539744207603226,,,,,,0.003467380754575714
BMP1,-0.017335475747101044,-0.01041858591142591,-0.02851451964997108,0.15025153115082293,0.010669418525402947,-0.001381993385413952,0.06968691197256106,0.1308535095331542,0.04929846986147758,0.03699844002417477
NDP,-0.007379477761501949,-0.023126371961821334,0.027145599911849845,0.04351358591616799,0.01688679213480383,0.013094504857068355,0.07554097374977016,-0.1019894013737777,0.00732863028808765,0.11768186860517373
TNFSF18,-0.01871251888680054,,,0.004894540291064234,-0.019334380873161038,,-0.02773833228209194,0.10638279913817804,,0.03838993697382761
RTN4,-0.03898579898566265,-0.017393432855791067,0.051224481379778475,-0.12951274131723134,-0.004564102085804014,-0.05088182207327845,0.0765879478023116,0.00825767413528499,-0.0408395406338543,-0.0814003319120477
HEBP1,-0.022887347247105717,0.009167484597830879,-0.0297664151264299,0.08415478514048083,0.0011333915568531787,-0.012264853017922735,-0.0006276374761134991,-0.04778287010765537,-0.047486394408744734,0.07556632975060106
WNT7B,-0.016485143046881725,0.025253803838536076,-0.009066953377768189,-0.10168787371429198,-0.023128746477964358,0.03434494036005869,0.11546287759594248,,0.13255780996227975,0.002811678453219685
PTMA,-0.04142395505390168,0.009600430917253627,0.01654320712051249,-0.12451943811096516,-0.0059052230301614335,0.058968772242628524,0.11648561579520222,-0.04477482554102864,-0.10360651409122823,-0.10456771795035262
FASLG,-0.016485147707189434,,,,,,,,,0.01147136457891226
CEACAM1,-0.022889771864288835,-0.008554837131856733,-0.014777320781550952,0.07361142676310671,0.026518742058428833,,,-0.04828382785242736,-0.007925291005251134,0.02966079222663066
PDAP1,0.0014263607718350438,0.015729153603944637,-0.044104925192220375,0.14639047797689506,0.02755919343657261,-0.07059711207092505,-0.014806917336049014,-0.09529545967874897,-0.009394453020075843,0.02024773197434426
QDPR,-0.02873192347793188,-0.003649538204204564,0.023762625999595045,-0.09453053750694146,0.005369131406809205,-0.026229865836695763,0.0545003141272181,0.009014502586409203,-0.12346988867763019,0.05665329030133769
POMC,-0.03334173109593114,0.0026387572813844845,-0.0032192370887701373,0.056727215797679476,-0.01028389536002372,-0.040632080786622754,0.016523809601386785,0.005427362820739465,0.10453662465841573,0.05623388617616149
CCL18,,,,,,,,,-0.021922622055537293,
CCL17,,-0.013360013597964656,,,0.023565603781570885,-0.02597073785610569,,,,-0.02157064474461873
VEGFD,,-0.028191214419297735,0.1643949404083862,0.03589856632557746,-0.015049761936130846,-0.01904985029263809,,-0.04153210870017137,,
TNFSF13,,-0.0009039572874225997,,,,,,,,0.040643234125779734
WNT5A,0.046946324406698846,0.005171763325859092,0.051396450899317825,0.10910832456012555,0.06001720654025089,-0.0027223555134265782,-0.016294159674789033,-0.026030244315025992,0.053065663932022805,0.025089841910274975
CXCL8,,0.0289812260737824,-0.050253147312374354,0.05313938874980703,-0.026075424354014585,-0.01774004890753287,,0.13867607193221734,0.01852462304676139,-0.0211733715974289
GRN,-0.026475582038328723,0.019352509899383946,0.07514561793411584,0.09116425725376316,0.0005552429837853019,-0.00720103600146505,0.02096361373889861,0.06906201143287166,0.08650038136289459,0.046181950205153754
MIA,0.0002554881991770264,0.028164458762704306,-0.04289989224020809,0.13271711841304848,-0.02962376817429586,-0.021665192846759725,0.09006230298767064,0.04549930340995734,0.1332826895723593,0.06760802568008327
COL4A4,-0.019091809749473877,-0.03381822858404266,-0.03950858506045797,-0.02516752222481068,-0.0030334052325810806,0.034797582425833855,,0.015765636859237788,0.022407963159289637,0.0018003911399070984
TAC1,0.011804839988190822,-0.011146365625384217,-0.0013299388739390018,-0.10041259113380457,-0.020703656806201794,-0.0011286426536323494,,,,0.0013379772253576073
RARRES2,0.031117745504900755,0.00951309028372732,-0.027916289048521968,0.15259682276593442,0.05821338283046169,-0.0038035018580220266,0.0038591808141991675,0.028820955892424543,0.05870554106963233,0.049459704320072156
FGF7,0.02026459189732903,0.009991909038507964,-0.02707035713408205,0.060879068057560985,-0.017751835219675667,-0.019237936435550506,-0.008667801821172471,-0.009844153956100242,0.012702713914953562,0.05809979877318859
