,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.058132030868113506,,,,,,,,,,-0.02111010433410293,,-0.03479293765059876,
BMP1,0.09266562861284505,0.10010057274300979,-0.03275270816889932,0.03404741929785572,0.057656821584286554,0.15700756157703433,0.021339071165972417,-0.01152592422514352,-0.05383244538623366,0.11197654389904944,0.06191781139644985,0.040847357439417496,-0.09204329138336231,0.05387090483972716,0.021914861473679905,0.05900465017241284,0.06774592966456686,0.06519856948884348,0.08931657198314304
NDP,0.140950887162234,-0.04510506492832255,-0.04092320274062246,0.006207087415442977,-0.014060884233255804,-0.012643427022050896,0.04632807783258982,-0.03467383690175306,-0.0009592968605133032,0.05379150933350546,0.049511668234429554,0.09056874721976368,0.08968769178597139,0.10580194334930824,0.11234251839360951,0.0171155095265751,0.022074177951885383,0.06404856427819931,0.015984574528237976
TNFSF18,-0.03492908232145815,-0.020088815387218687,,,-0.017240375772740693,0.024475621050805578,0.007918757883795495,,,,-0.03507500166096992,,-0.06626593626932335,,,-0.021770477984537014,,0.0073657375792071465,-0.02395307388230241
IL36G,,,,,,,,,,0.005797079253431726,,,,,,,,,
RTN4,-0.11110532499638072,-0.040627400708615626,-0.03526304139216333,0.04290106952291635,-0.13551000652663786,-0.17032299388355604,-0.03361905556248291,-0.03172897786733722,-0.03892243018912085,-0.06549700943417927,0.06465229711723221,-0.05812344798296047,-0.005637085669463682,-0.10502345016437438,-0.08342303031462259,0.010340415248474889,0.02516688580748756,-0.016739343082500364,-0.14867911380744553
HEBP1,0.02099084262645702,-0.003396935801478208,-0.04443696952074732,0.04841691539132257,0.1299427371652329,0.041238635641169245,0.04894280803083898,0.032444723991048786,-0.09416274410102676,0.08451578353849014,0.018546927886300482,-0.0119718441402764,-0.03159806216954176,0.10328626565641189,0.022924905189263604,0.005951507481438594,-0.0590174968809596,0.04478274837103461,-0.03249476638397602
WNT7B,-0.016848688906195265,-0.08151254388418118,0.04195547872559334,0.046291240942631595,-0.027859569115510865,-0.019101700816906854,0.013822895505556404,-0.01598316566201685,0.03232143662849502,-0.029126894183300306,0.041693255934107304,-0.08127422959124442,,-0.027021103335079417,0.013922750698239174,-0.04552383065150919,0.04049229094053688,-0.0363132798716277,-0.023809823164765494
PTMA,-0.15008337040403202,-0.012327064427620566,0.018712438668215373,0.003613007988735487,0.1859046280466056,-0.0058782311245373425,-0.015043275327792116,0.010904793377041895,-0.023187093504821343,0.12779261782729415,0.045194260389709376,-0.0010914161977338668,-0.02895048621139253,-0.07792888840409865,-0.06719576708131594,0.022335713380876802,-0.009548377393826257,-0.06801800078575511,-0.0064824058116941
FASLG,,,,,,,,,,,,,,,,,,-0.015158354103744602,
CEACAM1,,0.0010255694322018156,-0.0014126114736831988,0.017627156716767022,,0.0015841817794935242,-0.01796160770495222,,,,,0.01319134857042548,-0.005966782110402049,0.06199978049745936,0.00746136666732653,-0.014644509373428342,-0.024063076349140414,-0.021299138114708464,
PDAP1,0.06280513541703563,0.012302930751759731,0.021606039868557334,0.00636688796002256,0.036693878683851294,0.10958583584133838,0.03434339593748701,-0.019110242805019,0.06993266885829372,0.01926784602319821,0.019157951926202767,0.07060155765804928,-0.050873435951723965,0.01502057108943966,-0.017093193956528453,-0.033668283214972505,0.07365314034299099,0.06049430094808899,-0.03483435377750001
QDPR,0.019072786660293325,0.008296142306990774,0.05065212570043609,0.03474310439793905,-0.057851122104504805,-0.11498245678000975,0.050982081567510905,0.043775407660336045,0.025714432880486214,0.026190860734240283,-0.07141608033141748,-0.016168346384110393,-0.013449263606503878,0.032897586091461234,0.10913847567130941,-0.033819016145841554,-0.023114512809252225,0.04173088944958497,-0.021880193050260146
POMC,0.02421699303087047,0.0871955630083764,-0.03259844744757558,-0.005289361596000267,-0.045483588506984585,-0.03491892251423452,-0.022009632461896033,0.016349364592681364,0.029244931823390097,-0.0651308842769031,0.07787693596075786,-0.008001601969762163,-0.026130924278353024,0.06735955140328045,0.1042556125100453,0.03768136666712589,0.009871285981500041,0.09653211804080696,-0.022026818733480343
CCL18,0.0151767626891191,0.01795044592921447,,,,,,,0.01135521002059385,,,0.05103649412482244,,0.03212474052529298,-0.003384608341389061,,-0.015628162330416927,,
CCL17,,,-0.007189396056643133,,,,-0.010580872708846297,-0.019782678561384322,,-0.03192302723299332,,,,0.1366811669622044,-0.05511969457688599,0.06683249882501943,,-0.0273510666824082,
VEGFD,-0.031038393607847166,-0.0006673478567092206,0.054449846796025526,-0.03433258349703648,,0.172911124793691,-0.02270854951901863,-0.014510833965125626,0.046520103998016066,0.017230391371197643,,0.02919095024527505,0.02797267080343854,,-0.02267138932797866,-0.029354647593874114,,,
TNFSF13,,0.014224173540334027,0.05865033026701594,,-0.016719567954291116,,,,,,,,,0.013278010307352506,0.10430501139838146,0.006344343817424207,0.0019129147308928757,-0.044566280258207074,0.10647407304334759
WNT5A,0.05407146858581737,-0.0791634311932948,0.02851215318963134,0.06265375473306035,0.10415309183247012,0.03502612923483018,0.017362412895140737,0.0018069660848065814,0.010122310725354819,0.016034660273561745,0.12542190825232025,0.11147372341167906,-0.018575464279714057,0.056492202296812,0.025138685073742804,-0.03722048509970821,0.06224923259773819,0.10158600818889718,0.04075651460335202
CXCL8,-0.07036558577029588,-0.03405991820407591,0.04309667151028909,0.0026049955825287663,-0.023782500997919707,0.10026897598282906,-0.012991410214054993,-0.01351311954036196,0.025484330797146553,-0.017583317446728274,,-0.2091684303972773,0.03583368725270189,-0.04511432706031584,-0.20118115973128184,0.026966657507307958,0.0060241596251693515,0.03972098055272077,0.009441472677518367
GRN,0.05052021187308945,-0.0169476641830303,-0.011002519744885749,0.027599768574461198,0.12036935543398908,0.07308999906633451,-0.01895845237566436,0.008868120117016843,0.04706998299643097,0.021020804847080993,-0.03437924548011572,0.14633154134464058,-0.12008947461652421,0.06452046030303867,0.0018655588805724333,0.03068316157789019,0.02638347737476569,0.09917261501637252,-0.004038448266709817
MIA,-8.653360086816731e-05,-0.04107764947592734,0.008693499855863665,0.003218577248383433,-0.030232203417508395,-0.05059188845046635,-0.0151271762013119,-0.016503017682152153,0.08684467819435195,-0.017924499658953336,-0.03937825922053724,-0.0833339344774976,0.011842240458803971,0.14996507894751943,0.1798141908122574,-0.0030864311115952965,0.05982430668277888,0.026731502345773747,0.08073051686936285
COL4A4,0.0048484382999807295,0.014849287038435851,0.033462209908940825,0.05577424485068154,0.008045130583031591,-0.019752045249664184,-0.000804842925262403,-0.005426125620037739,,0.03972729866846799,,,0.009669059123428624,0.04169629340495308,0.033543564948409724,0.023008312226501883,-0.03157916452257095,0.002338174578414875,-0.029123232807444777
TAC1,-0.0665416595627127,-0.009779832521331121,-0.003945333429560205,-0.029430498735303862,-0.1482662183052902,-0.06859174016290835,0.01650709012735232,0.004678877706015029,,-0.0752446183261208,,,,,,,-0.023920588615322314,0.010920131990351047,-0.09121525655654684
RARRES2,-0.007785230974050522,0.07666056122362012,-0.02945233931440636,0.011352853623039194,0.09571441463797407,0.08116025994250253,0.05159114159726462,-0.01030812986064397,0.11135487215760267,0.05238060848115066,-0.015370199120928884,0.08536520141819894,0.10083229822506765,0.0119062151780813,-0.053382321555324914,-0.029015778312169883,0.029296148112098134,0.03082662829351844,-0.03825242703748976
FGF7,0.041548040686975055,,-0.03817937958842278,0.009974613487084292,0.02453884041751124,-0.004596503297959086,0.03846470770380487,-6.3040357977689e-05,0.09869763400880556,0.01479632183364802,-0.015268437908561324,0.04136462392877668,0.0007700310952159262,-0.029450167304177342,0.0686865142021301,0.08596749572217649,0.02035355130154011,0.09487037846920959,0.022454871074807717
EFNA2,,,,,,,,,,,,,,,-0.04111892520297419,,,,
HBEGF,0.04319687946365713,0.05442638879366633,0.052721800934734664,0.024848056189039684,0.05523499675028043,0.05413267459691082,-0.05175219748109611,-0.021767003016102873,0.07552349940639076,0.008838922849318625,0.04193562083182706,-0.03471861371612597,-0.07260060129065254,0.09245891742348095,-0.022834697483820884,-0.002137244094132961,0.03689401684839362,0.006722584045923817,0.13457001212109035
CSF3,-0.05313033850215622,,0.029417681091859618,-0.030646403107284517,,-0.020897283694483293,,,0.04723248651623357,,,,,0.08970087665072234,-0.10210766840250751,,-0.01187251253220884,-0.013581138342572801,0.0033382827872950956
PI3,0.020109859869411852,-0.048351306044941866,0.0453781072608812,-0.019131559970727175,,-0.006894127987781044,,,,,,-0.03272778357780915,,-0.049654886800263205,-0.18566968568501868,0.018560125564321944,0.03128840666513937,-0.030383419722843245,-0.05416676680378389
PCSK1N,0.05354640965084964,0.028339135011710665,-0.06602171022690045,-0.051857800807454946,-0.017422421556056472,-0.04815872398606895,-0.043661273659931214,-0.01397822821760514,-0.038744142858605016,-0.01843560468473036,-0.06952579235612069,-0.04921821693730858,-0.02942690496591366,0.0008305130192151509,-0.015337119514976374,0.011978486609481108,0.040023173086688534,0.03752936078521635,-0.11988317229449566
NTS,,,,0.0209603997575589,-0.0194199684002636,0.05381805065768541,-0.0019904272642570302,0.04558358654562077,,,,,,-0.048129782668764394,0.011777263171004028,,0.004244759551999604,-0.0426436213827783,
SFRP1,0.09460992102328909,-0.003824735041526558,0.014826857911478144,-0.013404295262807757,0.04783347331795652,-0.04358075787841994,0.034588773523109975,-0.005425941684216598,-0.04727921475125957,0.028148525358913636,-0.020123121347239963,0.05216486145556722,0.05033529653767585,0.10662520270912429,0.027563299437443844,0.02156690192183864,0.037142214653996516,-0.02197495614691716,-0.03821876671196272
CXCL13,,,,-0.055893813531736475,,,,,0.022682104762863076,,,,,0.19570061172124184,-0.011977787096702181,,-0.018065333096487887,,0.08121668699379028
MICA,0.017855164167755518,0.0151550142039678,-0.027595924139755236,-0.015737127083091842,0.004437617342657946,0.03968739003520487,0.019682379304407156,-0.05345504281437124,-0.002497226253678698,0.1238156165364424,0.06075179247815219,-0.09651860104742746,-0.07348792806115967,0.08008264157381921,0.10634585150527302,-0.024110876763739197,0.05392918977517599,0.106201520413187,0.08251745289641356
TG,0.010584391877702529,0.012794050810155255,-0.016576660562874348,0.056898244586556526,0.04391764104728221,-0.009965133815834321,0.003337223728075769,-0.014316638566195933,-0.04741536928463909,-0.0265118459615045,-0.04495025242722768,0.09493173793160468,-0.017944360983580206,-0.005326247676877196,0.04923077789738362,,0.03680226935285136,-0.0005861414031515336,-0.009248495857589778
