,ZH8812bulk,ZH916bulk
IGFL3,-0.01611380433815359,
BMP1,0.04513476584222751,-0.014623364392024217
NDP,0.02413276643579678,0.0041436609273182495
TNFSF18,-0.01661788198858834,-0.007933013344253512
RTN4,-0.049864621545772585,0.0641579587264343
HEBP1,0.003911651978316703,0.09498157906168588
WNT7B,-0.03474933558981061,-0.009097516927315696
PTMA,-0.06725180695682126,-0.025557226999133213
CEACAM1,-0.02387816148723964,
PDAP1,0.05524912999529882,0.024932640631805145
QDPR,-0.06036342187857186,0.08110115514075841
POMC,-0.011038151679079069,0.0006970120506071564
CCL17,-0.02124512020564015,
VEGFD,0.24939466023498494,
TNFSF13,0.06936599384859017,0.025134164969566174
WNT5A,0.05743813701399896,-0.06577483063255814
CXCL8,0.052722740216027866,-0.06394748179366762
GRN,0.0661043219526408,0.02203910474943469
MIA,-0.023022746056887547,0.026404619685728516
COL4A4,0.08076847298033571,-0.03282390003562106
TAC1,,-0.013316946850250474
RARRES2,0.022151735630256526,-0.07911698152626404
FGF7,-0.04414752155049516,0.05547227371076084
HBEGF,-0.04101545294149627,-0.026927548890168684
CSF3,,-0.034526987261882885
PI3,-0.018051194615515683,-0.01020201815800853
PCSK1N,0.02869766693913101,0.040307931144549704
SFRP1,0.03534278265209674,0.04141713820952684
CXCL13,,-0.02800607677813985
MICA,0.047897214181181175,0.022639862934547422
TG,,-0.030862841539249914
ADA,0.03966795729695792,-0.021959310951505013
LAMC3,0.09071484721759707,0.025885954651117597
CCL7,,-0.05846543900907156
NGF,,0.014916218917737492
TNFSF15,,0.030674335378451635
HMGB1,0.017773395000337786,0.09325904184282313
ITGB3BP,0.09118491170037919,-0.0711433895332328
AANAT,0.04923378417510118,-0.021082135896988093
RELN,-0.03286417531361375,-0.03394548396550083
IL15,-0.032726386179649354,-0.013798473525862538
BSG,0.07828575457746735,-0.006443485919744563
ADAMTS3,0.09965821204927838,-0.05421091987863422
CD34,0.06345839445674539,0.003617652466175348
PLAT,0.037532290913421765,0.04892642493906242
CKLF,-0.04821263297090275,0.06151916694384678
CD24,0.00025931917326210935,0.012585626750442612
HSP90AA1,0.03271060570377766,0.0673106530224527
BMP4,0.11305910669268658,0.02738813935532507
SCGB3A1,,0.0943558356830084
IGFBP4,0.06209893743197051,-0.04476880878413923
RSPO4,,-0.026583738283665215
LEFTY2,0.1341426084575345,0.0858198065733913
PF4,,-0.02082454643015682
ANGPTL2,-0.018247538468396718,-0.03294923523766537
