,UKF243,UKF275,UKF296,ZH8811Abulk,ZH916T1
IGFL3,,,,,-0.015714768871123504
BMP1,0.1305557176598892,-0.05149850003332405,0.0005703691197639616,0.035891396387403414,0.05717493860816964
NDP,0.03661617757035386,0.036011016871531375,0.009147037520113328,-0.017426433591051685,0.014988971892101058
TNFSF18,-0.020724172509924633,-0.01109893366385747,,,0.039471863331317525
RTN4,0.00037648225274527233,0.09937262040212817,-0.01394723658093416,-0.021022574322695053,0.025509738651402235
HEBP1,0.02819149790972335,-0.0022544176561347727,0.03511252221015606,0.0358236967443318,0.015626790741954805
WNT7B,-0.048370449011544386,-0.022963119559963354,-0.013470643374317751,0.01740115090720713,-0.019956507195929517
PTMA,-0.03443948763440882,0.026067365389822354,0.0038786829127606553,-0.025078673936095114,-0.0500781670148351
FASLG,,,,,-0.013629413680754545
CEACAM1,,-0.017455978509470012,,-0.018763787371557396,0.07061667275560096
PDAP1,-0.09803342990099903,0.04038151292919836,0.03384545880087626,0.02753846257615274,-0.012771245865661817
QDPR,0.03314335684023753,0.0031892071750669595,0.046846226536625526,-0.017241751875742912,0.01770534728699708
POMC,-0.03913069628721724,0.15870292852318482,-0.01958205144912228,-0.01490778398528406,0.017357268130142937
CCL18,-0.027792819364864805,,,0.018117334294734763,
CCL17,,-0.013842531174840456,0.05150590723975631,-0.013311998947282532,-0.012353532651053243
VEGFD,-0.031314384006834894,-0.014748046149397245,-0.012229759331886877,,
TNFSF13,,,,-0.025543726486917263,-0.020129050347416872
WNT5A,-0.00487605778397078,-0.02563318373019195,-0.023890469466015973,-0.03609080030445874,0.05008194717237255
CXCL8,-0.04987611231784454,0.007699713835656544,-0.01138888365746757,-0.0270793982643381,-0.026902940461951085
GRN,0.01077805003839615,-0.02865768647776915,-0.013804582698186168,0.004000719762762644,0.03899192079118014
MIA,-0.027608967429953425,0.052839933479357164,-0.013908775676687798,0.03427538111701894,0.006709438346207961
COL4A4,0.09528362368840886,-0.01445203081605815,-0.023365637008599425,0.01743123766125118,0.02498155707489744
TAC1,-0.03948059153638724,0.04643243139255709,0.026959441084972433,,0.08399260666352018
RARRES2,-0.013889111979441206,0.06999081309642155,-0.002024718296424139,0.03551991156478745,0.004404999993882198
FGF7,-0.039111326676405364,-0.02345145861681423,-0.03137268705269028,0.05268386874358932,0.01349522890462475
HBEGF,0.023999253320494778,-0.0465466397007913,-0.03140719458549646,-0.0076312185456099664,0.051913222599810585
CSF3,0.13748182111639667,,,-0.007040957138572596,-0.013006364124213403
PI3,-0.005441782845867618,,,-0.0008559687589283026,-0.028258508301035268
PCSK1N,0.00740659205884271,-0.05803435850959641,0.019026596104311008,0.002094568920044374,0.044063422671440144
NTS,,-0.01650976526638734,0.05076882274623801,-0.031055507815989595,-0.019260651704313007
SFRP1,0.0009217457112483145,-0.02071156318712781,-0.016672880467364797,0.08312276809584553,-0.018813082954446395
CXCL13,,,,-0.029901478977796738,
MICA,-0.0013023347770463381,0.006833679858212642,0.02314575813442719,-0.047353609085497135,0.06487876957499569
TG,-0.025129155447932976,0.06690716265283587,-0.012066091068713463,0.14991026710294153,-0.025364890907057784
ADA,0.024528178020242614,-0.01782326460210761,-0.019596302251280267,0.007020128492407334,0.021896690696392128
LAMC3,0.011702519529856984,-0.024760675993841103,-0.03387032309179326,0.04154168511833446,0.02797153455231336
CCL7,,,,-0.019951617997940953,-0.013629408834297724
NGF,-0.01816150815153843,,,-0.023042521539834115,-0.02025183171748705
TNFSF15,0.08154807845921003,,,-0.019450587174517166,0.036825141509665954
HMGB1,0.019322419923836154,0.005600962979712428,-0.04573802744194244,-0.017282790467750473,-0.05032360286521067
ITGB3BP,0.05277410683676441,-0.031449107657453915,0.0031015239100976684,0.0037795590216294617,0.004271995925046457
AANAT,-0.03255163167058983,-0.01254156309927029,-0.013908776450329416,0.03337824093236447,-0.01442048292272291
RELN,0.04587917847292427,0.05946238788663043,-0.009774055300906654,,
IL15,0.11927968270401026,-0.03557332144630745,9.585772452156733e-05,0.09196454832680276,0.004874135702042913
UTS2,,,,-0.014905254651221476,
BSG,-0.008487246681804807,-0.028527145032719647,-0.019114720372494873,0.08019846252801789,-0.016230393063504926
ADAMTS3,0.017466758157218945,-0.007159031957958443,-0.012015430632062809,0.002283642768024119,0.08035662500510403
CD34,-0.046739692350367554,-0.014762926622889375,0.00885948500844797,0.015938644686826976,0.027330114943919674
PLAT,0.04043178084175924,-0.06935782416424467,-0.04477704628548369,0.01232532841549901,0.06152133204468539
NTF3,,,0.031112816472051517,0.0718542232275192,
LTA,,-0.012078832299882158,,,0.08738238462716713
CKLF,0.07707237594876587,0.05202070613674017,-0.036406978141150854,0.05341156853437551,0.001863756141761525
CD24,-0.0025747456393588946,-0.04569987781120922,0.0014103903471118077,0.04059962090514549,0.03552885571213023
HSP90AA1,0.002457685413834635,-0.033940813868319326,-0.04204090776852016,-0.10245640976700042,-0.039751797103027856
BMP4,-0.03930594617907258,0.023642777362194424,-0.01703227952983962,0.03554433706518421,0.08730461368521068
SCGB3A1,,,-0.011732188973276174,-0.030367206045216293,0.016517484280854845
IGFBP4,-0.00875996016826932,-0.01464780516362921,-0.051668330563109065,0.011649146561522269,0.01684316624613733
RSPO4,0.08124597666564548,-0.014048417305356383,-0.011732187257178136,,0.025796542032906572
LEFTY2,0.07628915424805048,-0.0032226571451143067,0.0744702811237877,-0.016936664337933473,-0.015317660378636912
PF4,,,,,-0.019407792303943017
ANGPTL2,0.02364815565211255,0.030370211899598907,0.07308169552098756,0.021037504026264094,0.03257533806752219
LRIG2,-0.008361442822625551,-0.03497435182222748,0.009770652883949186,0.049718573296526535,0.06417650084011331
ICOSLG,0.01551080003508485,0.007028401749530419,0.0035775035669242707,0.1339986487745595,0.036454453712261525
WIF1,-0.040791816055541046,-0.010840830888190572,-0.022077547324217038,,
NPPC,-0.0020649042280983594,-0.021147016532440027,-0.01630486917208207,-0.0001623539039425779,
LYZ,-0.044396369018401494,-0.0009326460306983978,-0.039762466122590906,0.022976746431731265,0.04218573720296518
EREG,,,,0.0040574759669733396,-0.015161088919219528
SPTAN1,0.05362655626062013,0.030652607854405666,-0.016880889619387766,-0.004825691928985633,0.014447355892263133
LIPC,-0.018904946303184778,-0.026264946810893013,,,-0.02453879527738198
COL8A1,0.09974093169894992,-0.06351082277390868,0.02545228348952685,-0.012088890227019419,0.03884647054221481
GSTM2,0.044351382982179416,-0.03340071516072886,0.009318956968701515,0.015852672001112032,8.153101776455364e-05
SPX,0.035982250686421496,0.04833498025167817,-0.0001917921846639251,-0.020116140324922687,0.027408275703245544
MFGE8,-0.022670181846385272,-0.029581971665588628,-0.026642472634232275,0.013164752091999113,0.037771027924778044
TGFA,0.01931286894182034,-0.08924196323002077,-0.007689528408325334,0.021899871924210692,0.04384750672509357
SLIT2,-0.0449617198948194,0.0840729232734263,-0.001362313472308539,0.0756082588187437,0.029449936229380913
PLTP,0.06530165068887944,-0.08045503104964709,0.007344579484867814,0.011936787311731355,0.016377029135212173
APOD,0.038022701737765376,0.05104962655923887,-0.06543067506800467,0.06032409059612394,-0.06091928721742635
B2M,0.022734440762016313,0.015908191511602447,-0.008682441092079845,0.05475945149394783,0.022432908978360526
