,UKF243,UKF248,UKF251,UKF259,UKF275,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.01441228701942625,,-0.022546136005040338,
BMP1,0.05578008973562962,0.018440490105501407,0.062103332542288725,-0.022947315308911767,0.026371235715971175,0.052222523018159626,0.03195581614533133,0.022485272494652906,0.012267243134850652,0.07612162243749013,0.032687991833332174,0.05642267429821451,0.1103135515511337
NDP,0.0728384272489177,0.02672916822409353,0.023967370270878915,0.003437864094112916,0.0026476300726747315,-0.012621879129474904,-0.009753880302228238,-0.005060853758434852,0.06638787390318135,0.045462753279603946,-0.027972047367262498,0.045954553142793085,0.02532698095883227
TNFSF18,0.032907576193577884,0.05911256818851818,0.0017789392198193465,,0.04122107319502211,,,,,-0.017122448670747123,,-0.03803130060514129,-0.03256831915867749
RTN4,-0.0173925282610397,0.01880438384996222,-0.0390003922440743,-0.010693615367703158,-0.001850570786094702,0.004195950228899089,0.04459275044286228,-0.014765011603191,-0.04747278669805968,-0.0973525916176056,0.06420813710653611,0.07546562724229905,-0.05634333332514567
HEBP1,0.08631080917218958,0.026689007614598963,-0.020673159008848824,0.06891243724573085,0.024223740088581677,-0.008098331125164308,0.01404496459570185,-0.024293534901644504,0.0225588750155026,0.10926367443028384,0.03842720456345678,-0.028592285379654397,-0.010746298280317788
WNT7B,-0.049654908586367,0.0229244970712504,0.09430454859054639,0.01084910873177601,0.0001893209274423763,0.00407635699350771,0.09728828182671306,0.13000752993596748,-0.01569354256407263,-0.008220420849133445,-0.03104438829260545,-0.021010137199813577,0.03368243375578882
PTMA,-0.08331661680853247,0.04797566333227302,0.027452547055187886,0.015998530938308244,0.06308515386018759,0.028558072496713598,-0.06302847796914776,-0.025589392144109144,-0.0358512533878689,-0.09564470022939785,-0.0035542393745639283,-0.042517398821318754,0.042837789096980584
FASLG,,,,,,,,,,,,0.0014264601361705048,
CEACAM1,,-0.018151164020013433,-0.01726897271451184,0.027556632535908624,0.08365863494066146,,-0.044493219311622464,-0.020585074098892032,-0.02144293163035951,0.07645919696837006,-0.020604612010086124,-0.02720687531761913,
PDAP1,-0.01626072973830791,-0.03992787627414299,0.05098708935229494,-0.009629661119199362,-0.0027836252672179262,-0.0022325391484894225,-0.07268756287783332,0.023883958651477376,0.04349985367200339,0.008104323337721393,-0.011893347945441024,-0.08396688606474649,-0.03204237148352405
QDPR,-0.021702943555641514,0.03340934563012899,0.011446659926167738,-0.010556448543601616,-0.01485792295317231,0.03342836585182784,-0.03671527347430957,-0.01788301832729862,0.08117293006730274,-0.09699376708111405,-0.05719480301149491,0.05077303006639764,-0.07847256044271943
POMC,0.12842087829726248,0.020096994702717072,0.024184661454198127,0.014032951225510154,-0.012354528249030876,0.07118797373316706,-0.020447286000724083,-0.01908665977213736,-0.05023313297124821,0.04601673343418612,-0.010589153117046531,0.0714160014060711,-0.04129310141290857
CCL18,-0.008914250026362073,0.08710314813553964,,,,0.015344241496162316,0.2076446532792943,-0.012814793077575654,0.02399670045483785,,-0.03911430181687475,,
CCL17,,,,-0.02728634463988227,-0.013279517579130084,,,-0.014604113727570943,-0.030954217983532706,0.04558460920530615,,-0.017723736796737263,
VEGFD,0.0033025769520529107,-0.02265094489463599,-0.02473433875048902,-0.020803751747743467,-0.014148202783512946,-0.01837868104613955,-0.042980926083860525,,-0.02144293163035951,-0.023087386828666782,,,
TNFSF13,,-0.01709312988205033,,-0.018821509846165138,,,,0.08778987919134146,-0.009461160018025366,0.01861162387335043,-0.02313759831399193,-0.02887934977008155,-0.03542968570981648
WNT5A,0.06747961144180632,0.016869466082954566,0.033926392768117763,0.055816914363766436,0.012144935784994254,0.0219027746293282,0.062005562234541275,0.03280934101710183,0.03214037343743146,0.06434439194911216,-0.00032123454660370587,0.049054670569572044,0.052960200316484886
CXCL8,-0.023397742128064357,-0.05023972370457116,0.07228233139358332,0.0015425255211874841,0.015287738417565649,-0.006838189865988197,-0.02873252849868629,0.014274771795377058,-0.06073088852580551,-0.014771211032766724,0.009511784404139967,-0.005144759349386097,-0.0012861786622013292
GRN,0.016004913441923844,0.010276932670285661,-0.027001729435978797,0.03405968000345023,-0.024874600874663092,0.01457401572133755,0.18225106021073034,0.026938379014268023,0.027807829482051467,0.09085343879572155,-0.0506103417414999,0.019208875642241652,-0.006158739692432318
MIA,0.0047422390277956465,-0.0451284971364492,-0.021996991142539262,-0.034703726707170236,0.04269513456407022,-0.02492479328226768,-0.03879668972980077,-0.06095361873387806,0.08273544664229013,0.09665455653124047,-0.06559118951162116,0.009153433021740655,0.12100687821064993
COL4A4,0.09629163458725427,-0.027203592146416107,0.10130320371332946,-0.03551810431814025,0.0062620048559172865,,,-0.0385881991051603,0.015501917115748378,-0.03372005764253099,-0.03214390870462624,0.0002207236729140533,0.011459945187708783
TAC1,-0.010409437923337993,-0.029536326554303736,-0.004376524267988458,0.07778858898188414,0.014068974389198604,,,,,,-0.0020972909900202606,0.04673030450635133,-0.07751149387566492
RARRES2,0.020857885305814564,-0.06514256548847783,0.0555046419755694,0.061375853832462725,0.014278429693090917,-0.06609656750460659,0.04802009210625,0.027506335159025994,-0.004018519772678775,-0.0886619916125963,-0.07829369905873929,0.0051853598029237054,-0.040797891628082374
FGF7,-0.06571917222507812,,-0.027917274855357888,0.08804724572689297,0.023373798174786235,-0.019575862021719577,-0.04669285250423278,0.013490013047520549,-0.03085817622997973,-0.00036956143874811626,0.047001083681029565,0.03369892829217714,0.05612592453945151
EFNA2,,,,,,,,,-4.163858734461559e-05,,,,
HBEGF,0.07575535302310865,0.039728840865435516,0.02147963908997978,0.00578173559444446,-0.062037231058026256,-0.015974436757022738,-0.106900118800296,0.0012807069954717278,0.050163735168698015,-0.06836218725278316,0.07805257534731051,0.015575499207116131,0.07620413033746735
CSF3,-0.03236045905345001,,,-0.022947974409423973,,-0.027610774778355492,,0.054494867661061916,-0.017449624616713025,,-0.029539525878970154,0.0037174166699122527,0.06046577809864648
PI3,0.0384327333074774,-0.023829741465669123,,-0.05612478172568171,,,-0.02486779350814499,0.07386852160584563,-0.05030869394113346,-0.018599280790541347,-0.05234916763184164,-0.040542764368964763,-0.03178204654389615
PCSK1N,0.00043161990288347214,0.0063187803546519115,-0.06117338680572815,-0.011040012586506276,0.03512417368544818,0.0654607897248075,0.0651581028442747,0.034096021800863026,-0.03063527420424812,-0.007444286136629518,0.06299699203271086,-0.019414273052200802,-0.09386318422765304
NTS,,,,,-0.015838267966539643,,,-0.034069877094210874,-0.024829249715604837,,0.0703841664978928,-0.012237943799139077,
SFRP1,0.023591697386495802,-0.02771759611284364,-0.034558016863897756,0.0013752472304852969,-0.029408340856306232,-0.005492210581353613,0.03201694451300712,0.055454642861464905,0.01998736874298249,-0.06238131747075241,0.0635691055313757,-0.026991318195234114,-0.04197810505127272
CXCL13,,,0.023769058171390904,,,0.02696298004468651,,-0.032803833694973264,0.029496908462892456,,-0.006245252282800988,,-0.033785921367660066
MICA,-0.011723651079395835,0.03717504755411369,-0.03302478868614719,-0.058897010748724735,-0.03558920699280937,-0.022950959352609934,0.042598360755655075,-0.02949880486477651,0.06552981939675326,0.1134888596205632,0.026112634996735228,0.06828683397634791,0.10740626611819516
TG,-0.025796450976130366,-0.03566973176107308,0.005497677381623375,-0.014480514725400226,-0.013378611417638507,0.011835919940689934,-0.03936435368737648,-0.019405215906250804,0.02613759049676196,,0.007725547688712567,0.010801872793005955,0.07589146574752177
ADA,-0.038148736728005755,0.03038631257721225,0.01097324232021434,-0.007850086006019674,-0.04332104898490076,0.010529080736139071,-0.10971058867822622,0.045057228688130946,0.028477469416763868,0.058965546221513634,0.03240712153762445,-0.015918925238251225,0.016771338635166368
LAMC3,0.05137675845774163,0.015045061248747944,-0.0075341479235975905,0.024396122016113762,-0.01560138188218607,0.010840539277739574,0.02440425628653391,0.06542600517030762,0.054759693365765555,0.018227194589657908,0.05711054484309154,0.019016775346154903,0.08110731818545046
CCL7,,-0.014407909879007192,,-0.018576016256207497,,,,-0.021888200220332908,,,,-0.01955424911218599,-0.0017203234934491177
NGF,-0.018643780355232363,-0.0106573198907877,,-0.020272519709496752,,-0.021515827170589974,,-0.02527911897156781,0.1225864320234993,,-0.034879842845890976,0.003559807741954814,-0.004701847029066703
TNFSF15,-0.023064683106717415,,,0.06375216042952334,,-0.017583084086456577,,-0.02133853738192101,,,-0.018343538439753757,0.03329445132636513,-0.0007058738179491794
HMGB1,0.03276599366697482,-0.006108199542967018,0.009541052841645949,-0.026944244311512537,0.042065198948247694,0.046635005920493244,0.015782726743204228,0.001817468420728984,-0.011297163349034169,-0.06883719345523855,-0.004730662113547114,0.018440134185818798,0.01455297391535105
ITGB3BP,-0.0004512741621235961,0.007769036627010196,-0.03848462995916259,-0.06694108705666389,-0.018147831869924767,-0.012276666300169266,-0.005906916089693139,0.016233582759356633,0.030604391347397265,0.058830586435815686,-0.010108166141940902,0.04180331478706939,0.03560698948035163
AANAT,-0.03341602833900631,-0.020903685223992746,,-0.018821511854949062,-0.012031463432730795,,-0.009516583067212994,-0.0192021276756544,-0.027426056369040077,0.047809057163291355,,-0.020689211015473743,-0.025433029814227077
RELN,-0.013455850419903336,-0.02073798534654971,-0.04210283479891646,0.021996918856088406,0.020146078551679568,,,,,-0.017501800097948727,-0.02215700650325871,,-0.01817883788600921
IL15,0.16729867097634055,0.038203158635209344,0.09202945678263932,0.007108546655398804,-0.024918562774246977,-0.04134459898233526,-0.04085043787019722,-0.00975506759553258,0.09473477471232912,-0.004654022578333679,-0.03565141992308433,0.0776384294551676,0.0383425264475124
UTS2,,,,,,,0.039917519075503845,-0.016352017073234543,,,,,
BSG,0.032566407124090986,-0.06602936952897233,0.03228005311775446,-0.005374705016718635,0.01811409808800271,-0.029296146426227753,-0.0004043407316852761,-0.010454494100295699,-0.020996976775431563,0.15154475131657683,-0.07257066113101296,-0.03206615113505589,0.11130035264780755
ADAMTS3,0.06770995942750538,0.02517390841447016,-0.007422436553975491,0.05120377988230709,-0.01183153556483124,-0.012423233902407065,-0.0780906682387817,0.04033483605229712,0.001243206082740555,0.10260767937244523,0.04606379510751965,0.010635026086068509,0.05160646192337877
CD34,0.03167166638913581,0.030672750517756777,0.00183095595392082,-0.0036165832459710404,0.013772643550091683,0.04814114789268078,0.06519729679491307,-0.009270328480075753,0.03560101597565495,0.10515397345102831,0.004049966983192539,0.06970744674805554,0.020196581143616603
PLAT,-0.025470489415530824,-0.012327273759911715,-0.02572982751504684,0.043398897808040515,-0.03913345080347876,-0.024260972095885514,0.010303459367435774,-0.04967538908574833,0.02268423839950329,0.11161459731822607,0.058642123353335865,0.028957659223298772,0.08260088947363944
NTF3,,,,,,0.02527161073116419,,-0.017636108143569494,0.04816787515386528,,0.016618003315982954,,
LTA,,,-0.01726897448661776,0.01317714982773334,-0.011587553160305459,,,,,,,-0.02784456008789684,
CKLF,-0.006542103099908812,-0.029966273904819627,0.020734034476262736,0.003188648176460497,0.005283221185070531,-0.033833970827863664,0.0521211328991295,-0.02695434231653292,0.053981210801242276,0.00022625843034658694,0.01662639542667521,0.015351158978432276,0.06275237571777241
APELA,,,,,,-0.03241347316036224,,,,,,,
CD24,-0.06600097124124693,0.016385342800365937,0.041423962113965325,-0.0009658284560676991,0.04462875762141144,0.050867517529829515,-0.018874374995269,-0.00867194470458667,-0.027114446712936165,0.015679302704220282,0.04743117200221594,0.030786651466489658,-0.02448225877348442
HSP90AA1,-0.005161211260680803,-0.021432333269415346,-0.017387272736934776,-0.011069621476577746,-0.062346651547244177,0.0044468099395916375,0.05704817701439934,0.03107130622799373,-0.06279408348776279,-0.07172224776707012,-0.036564101736116225,-0.04413441138869299,-0.07978730496459067
