,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.02627442137780244,,,,,,,,,
BMP1,0.08360134674623806,0.027125726959050404,-0.03457765223729488,0.055551848975488816,-0.03654005630363951,-0.16399833541782763,0.024477816718256575,0.008465574558039615,-0.044766271500048645,0.022940468526420437,0.09435917124235142,-0.019884981630698545,-0.056344540721823,0.012478511967814337,-0.021304194023061575
NDP,0.07179181121960439,0.03166446448956219,0.041546883173465325,0.08520499556204103,0.025987984065906376,-0.03023522263180976,0.05993777339015814,-0.01966869694255086,-0.07242661591715568,0.007307448492736001,-0.021674155030351205,0.002209161223324298,0.04882447096736815,0.008456866778103627,0.08175361997033545
TNFSF18,-0.02551761919886893,-0.020992691542022327,,,-0.03066377917423261,-0.0390167269662919,-0.01700442493221989,,,,,,,,0.009958495932017603
IL36G,,,,,,,,,,-0.03726194725425383,,,,,
RTN4,-0.002578254827993664,0.008583755681273807,-0.021768307160011494,0.00019237836862247938,0.12730817724636842,0.25703824000402936,0.029655901226010133,0.04151245532694584,0.2083168631150729,0.03909185587557563,0.031269281343161086,0.0044924952294664805,-0.033034950762433436,0.07219908763314208,0.03527157741034163
HEBP1,-0.05110425943792789,-0.01464227346305544,-0.026720720658415097,0.0011637617939501792,0.03674802701656778,-0.09622835629889176,-0.006701254650903661,-0.01754059645249616,-0.11020451361310842,0.002562224719488037,-0.05076318750185808,0.030651783130838314,0.04737776540223942,0.020485791837043077,-0.045458973270335545
WNT7B,0.08314697078886886,0.030135282494634277,0.03894952839827519,0.12230760796257564,-0.000896282012674205,0.15403178559888808,0.04120228178854189,-0.01967124825322282,,0.03724569783512327,-0.02084021956680835,-0.03673613870127498,0.015170534088059733,0.017926062880791932,0.0384903777546717
PTMA,-0.08742949084295912,0.0378832378765107,-0.03628349656163169,0.018849306666095803,-0.09118123614890368,-0.05524831304241015,0.07488274838121384,-0.00143063529847324,-0.25822686364393005,-0.03513741406629306,-0.09342525883208179,-0.06700663257647049,-0.011947902130161442,-0.032844831058739504,-0.10465368534972642
CEACAM1,,-0.02028971213788039,0.01535485630699193,0.025704185475778296,,-0.05134379046103404,-0.026743909385576282,,,,0.10265629276132326,-0.020585070409266576,0.022653900685009103,0.028127822528899164,
PDAP1,-0.04062338453796143,0.025157825855007105,0.03620663889265318,-0.037618488815148995,-0.036680291529779335,-0.15500899013872338,-6.693682165853328e-05,-0.015970923142421774,0.006240811553540989,0.026463456207777486,-0.017812931388166964,0.04572483180825365,-0.09070356462266271,0.034273521138263985,0.014935605835571018
QDPR,0.17842227759420892,0.019035188284167368,0.005897835093872023,0.10681156626287752,0.11039894531510082,0.025392112777109017,0.060459112730999166,-0.027908899326400567,-0.23509744914819486,0.04109220988103493,-0.024026328484693386,0.029526025925176436,0.09550494913261477,0.008944912659300388,0.060302121837136964
