,MGH258,UKF260,UKF266,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,0.007068532271659103,-0.04313602086187628,0.029797873987655044,-0.017356722328935793,0.027836426479540894,0.03092447655594115,0.008549899691409882,-0.000750614062372502,0.04515471316667564,-0.024528507567259196,0.08122788539579084
NDP,0.014514574738437046,-0.003363237092280576,0.038571301676805045,-0.014944533569609966,-0.03567479470054636,0.11951785415066156,0.003324127133502012,0.08546075973612234,0.06151043960371452,0.031000926213688735,0.009062833120374725
TNFSF18,-0.01871251853388907,,-0.014130674154727652,,,0.10714315173591973,0.060388612598462565,,,,0.013896863458782532
RTN4,-0.01867232012688489,-0.029440938468578735,0.017288333669734646,-0.014473893995286051,0.05367651876000473,-0.03147123080591816,0.04304205252886652,-0.01621487122383501,-0.02497758749237313,-0.0573119542599835,-0.13369199024133416
HEBP1,0.06880805796916765,-0.04528772575538553,0.0862331283544152,0.0697669088311797,-0.039977429243191594,-0.04969790924938049,-0.06408578382507867,0.039937261373757804,-0.01576534778018739,0.016683145221525357,-0.007740012270647861
WNT7B,-0.01648514273597777,-0.004215270550707788,-0.04644194782631314,-0.011246854499443792,0.002570574801372936,-0.030537196431291908,,-0.034052741083909904,0.028269132772053097,0.020051337524163645,-0.02828013121665083
PTMA,-0.0011592988650745747,0.06197353499150274,-0.04028289405199927,-0.0018588340484693548,0.03466919123908217,-0.09710783894792575,0.009346892716094632,-0.045551311669159766,-0.07922456361855873,-0.04989973035443612,-0.05651920362884703
FASLG,-0.016485147396285392,,,,,,,,,,
CEACAM1,-0.02288977143259585,-0.014777317706463807,,,,,-0.04431306607614003,-0.006140538376409281,0.022322560616418546,-0.019560872966092168,
PDAP1,0.023506888731884338,0.0016635424980077002,0.05792373659300695,-0.03183826491533434,-0.0017764772367286784,0.00852064337192394,0.05371231994061933,0.08370231659143317,0.01308902696628064,-0.014596847760439218,-0.06777837454583188
QDPR,0.01801535672434228,-0.002562802395317256,0.08878972422907651,-0.020671547618262384,0.049939684442973954,0.04017779338143041,-0.01347368859301984,-0.08711360305414703,-0.003716582569857758,0.03354789573422827,-0.021406353937170927
POMC,-0.035874662320295514,-0.0297354576492683,0.004607681952570966,-0.03024957607725938,-0.02259547831592465,0.038767957238667806,0.014490151839477544,-0.04938690418006135,-0.04821464103729,0.008008746236929874,-0.011807786517897868
CCL18,,,,,0.009705411066144998,,,-0.021652684049854657,0.05019630048651004,0.039572116221629684,
CCL17,,,,-0.013920453062555573,,,,,0.04644934250663797,-0.02823734814708531,
VEGFD,,-0.01413810091702787,,0.017572695888672562,-0.015266418537494468,,0.07947841425618817,,,0.0012300652489984447,
TNFSF13,,,-0.013703806105170307,,,,,,-0.02733620028000028,-0.03069303203166302,0.13302124734958537
WNT5A,0.05916925781586244,0.015176708539452216,-0.0195276511948914,-0.004193570121151922,-0.045421581378594596,-0.05278262088715727,0.0046287486577023095,0.004050114044956425,0.04965615591163185,0.0175633911665034,0.056288861518728965
CXCL8,,-0.05844275488514271,-0.01949277536731236,-0.009508760186676561,-0.015589598022921066,,0.042628335374024044,-0.038122959338353905,0.014527942579929242,-0.0710334957540922,0.009478896708195034
GRN,0.012608900872520675,0.017689903575061148,0.025930812400928385,0.041849659942703496,-0.0048440630291810526,0.11241098191501475,-0.009849833291627853,0.016464318286785965,0.02648989117202578,0.04241234818376771,-0.015359395386062987
MIA,0.06890965018477797,-0.01469816815347848,0.03507878685679676,-0.0116126581302976,-0.020704006193499706,-0.007657660605213957,-0.006377271476050436,0.022913116363657504,0.009559795984800154,0.06051928206842328,0.030484644654878233
COL4A4,-0.01909180938940911,-0.05359293685656303,-0.013038566069217012,-0.019508342134834846,,,-0.04717117532338088,-0.002241743617605305,0.02389393426255297,-0.018378415322678473,-0.03081886746617733
TAC1,-0.016485138427394994,0.010730093356069635,0.042544003565355565,0.012051224958253672,,,,,,,-0.09009126506549842
RARRES2,0.006209131159596833,0.07277069515715683,-0.024889621579640468,-0.04269741346431082,-0.016710852541162575,0.04076852774523934,-0.06958764064713256,-0.022984629244542764,0.03720472326995375,-0.024712874412334534,-0.04035179051706123
FGF7,0.02134850548546814,0.045060034677087864,-0.027668477515418385,0.006912493962438149,0.012239355198635846,0.008564488383088141,-0.04997080428258238,-0.04773998575541659,-0.024069414472160353,0.05397263800687433,-0.015625443696539114
EFNA2,,,,,,,,,,-0.01859130068045944,
HBEGF,0.003382326404751519,-0.024714808815117173,-0.015032326021845076,-0.026222366513855382,0.0031118287756673976,0.05605492424896967,-0.0324600770027349,-0.0058594589994572415,0.007128603496943233,-0.004350037550044893,0.052111247765565395
