,UKF313,ZH916T1
TGM2,-0.05641979390310706,0.09108334522072002
VEGFC,0.013270688059277188,0.03791756648407895
WNT6,-0.009193439013821442,-0.0083100125067238
NRG4,,-0.01690841860227615
PMCH,,-0.024307714186871766
COL9A1,,0.022324888264786787
GDF11,0.054581526683068246,0.006852071706816552
RAET1E,,-0.01854841506914211
IL24,0.013409962783511822,
SORBS1,-0.02413464817238031,-0.0243462496479698
DLL1,0.024383225087882612,0.05684834734119087
TLN1,0.08207113962178984,0.06879235939329753
COL2A1,,-0.0073193048048561
SHH,,-0.023845328089182705
PON2,0.037650338136515284,-0.09063431197658475
ICAM5,-0.013196849809924265,0.014765146775840537
HPX,-0.026203808696557074,0.0456486584575981
SFRP2,-0.013758515146608903,0.018972167623599313
CD70,-0.0018072154870091314,0.04201130637572052
HP,,-0.02529314488275712
CXCL2,-0.027852472059963336,-0.0099547500773734
NPPB,,0.03227448864157802
CCK,,-0.0222503949244832
SEMA6A,-0.005601739598275869,-0.058735891545147856
IRAK4,-0.06303148123603931,0.06335176041940556
GSTP1,-0.013349975722168311,-0.017268420904729326
VCAM1,-0.004804099993933005,0.09232504862098595
NXPH3,0.03203701928750782,0.02970442536021024
MTMR4,0.07591167376155461,0.027058488489526744
LAMC2,0.05597459302132632,0.04463745297980446
IL10,-0.020783804665287044,-0.030198918930751172
SEMA4D,-0.038869687822162324,0.01115723158823601
TRH,,0.002438940411517262
SEMA6D,-0.01878590922156978,-0.04468875215873194
CEL,,0.014218567100862186
PDCD1LG2,-0.02964657121946558,0.027070429119849082
SPINT1,-0.012843684226781088,0.007901186819561416
CTHRC1,-0.03105952896046731,0.12267825639364509
PODXL,0.04715034320882938,0.06800899622945286
JAM3,0.023826903013741733,0.011011084388688627
TGFB2,0.023583345288364498,-0.07582124621014916
COL18A1,0.06070769210815728,0.07836146568665613
NODAL,,-0.026292086357109636
INHBB,0.10055408501193813,-0.031465631910246886
LCN1,,0.27888982315527566
ARF4,0.022854979244202888,0.11347831527050077
CXCL14,-0.023519748214325377,-0.0712793694003777
LIF,-0.008950971752744315,0.02337655217125644
IL17B,0.016971215349878926,0.01859434034100949
MMP1,-0.038132394304207305,0.0869617081352018
MATN1,-0.0139409813011113,-0.023364757410749924
ADAM28,-0.03879198420262655,-0.002510785664756953
TCN2,-0.02991674064238791,-0.005693354429694236
THPO,,-0.025293152582538895
CUBN,0.0031474228350802705,0.01940286011903123
TIMP3,0.03427204787523734,0.022500628961996845
PIGF,0.037645654188832825,-0.01982182413130302
CRH,,-0.028808158294028424
BDNF,-0.021503937232122575,-0.01681520556048717
CCL5,-0.031887294030373436,0.09962882304957084
GAD1,-0.02088516786709839,0.06426614050206977
COL14A1,-0.006851306562324513,0.04722915508186557
HLA-A,-0.010384615317557359,0.10531011677788674
FGF18,-0.014475354390935285,0.0030705217164157367
ADM,0.01824082565841401,0.0014171540733977092
CCL15,,0.20648978089366984
GNAI2,0.009090308406884842,0.0201318029535114
HDC,,0.008871877074173407
COL11A1,-0.06901847332990409,0.018914102862123642
NUCB2,0.061325038686927555,0.050756292856851556
CXCL1,-0.029284305537739103,0.04389943514010439
VCAN,0.07660344974379463,-0.009401016161340238
MMP7,-0.014068096955269055,-0.002936208107825951
PTPN6,-0.02902611320026437,-0.04697982161201511
PTGS2,0.005530384923314657,0.052544337252240815
XCL1,0.0332720294954378,
CD58,0.040143783726674306,0.026536151787548506
TNFSF14,,0.027808970905056934
CNTN4,,0.0018286539645847313
INSL3,,-0.022813721265963552
BTLA,,0.015135708805971582
