,UKF243,UKF248,UKF251,UKF260,UKF266,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,-0.025545694849990405,,0.06891045376747873,
BMP1,-0.05328739842396155,0.06387843850616959,0.03486495844025897,0.04233038949980301,0.026448080626737213,-0.0027091375499469278,0.0875176000569319,0.051620033721486484,0.018451947281580353,-0.042818694156774806,0.1131599738357251,0.12054022715893986,0.032096304009744725,-0.06537018067691344,0.035211100869154896,-0.04670681503178482,0.19868553005273765,0.13249588022088948
NDP,0.01904816664036874,0.01916887854360111,-0.0035936752770084064,0.010275091502408388,-0.03602772039696887,0.027840833418116856,0.03544505155592717,0.00041712340955947253,0.07595005347462518,0.008147253564659685,0.03658682867804452,-0.054334256700421885,0.05455714041257537,0.03260397418915991,0.06793195412595919,0.07179382506814735,0.03659333808696474,-0.01734420044649758
TNFSF18,-0.024096580370468912,-0.04313283232253791,0.041462457107044756,,-0.01346332045744179,-0.01433915972666538,,,,-0.03562835515064107,,-0.030022400380837814,,,0.011998611259361542,,0.07983897829150256,0.02790063924451923
IL36G,,,,,,,,,-0.013752911436744552,,,,,,,,,
RTN4,0.07101515687836446,0.008563988322809347,0.025046005987577554,0.021552452953129905,-0.08401589301967051,0.02711806443406906,-0.007592957991522772,-0.003344852509225883,-0.027389252017519974,-0.018836620514732297,-0.09912236682771836,0.013961852769063629,-0.001749072543815113,-0.020593488937886695,-0.029429906851351804,0.05521948408143209,-0.031728108322060286,-0.0953962135662251
HEBP1,-0.019975825691476393,0.05008367350924661,0.034076738394738,0.0005622944185628629,-0.018006223700543653,0.07000531645453266,0.02894723028753648,0.07290992683181484,0.015277865659066352,0.02265235461376982,-0.008725679530856538,0.02431582057956886,-0.04084698385814349,0.018645336895273024,0.02093931910231884,-0.03029881412108818,0.009689837060868577,-0.01696290310239494
WNT7B,0.10039735735999623,-0.01276479462190879,0.0005010641449931738,0.026266664240787933,-0.022571538277155166,0.022005532261017674,,0.033220885461377504,-0.015116034573743229,0.03735116856179409,-0.04466713975723661,,-0.007240956901040279,-0.047862561045952844,-0.036426561645271006,0.056304303952435485,0.04129974984364615,-0.08292492955325609
PTMA,0.10700685776976385,0.015341442616577213,-0.011788195226052182,0.013062812069839554,0.10838735862767492,0.010009281972979785,0.08727578163422425,0.04788049474481515,-0.010994224814076253,0.05371038446018602,-0.11237710692288883,-0.0020321712030517284,-0.09579316730793358,-0.04171667521066638,0.019770278775983887,-0.01961899088181249,0.13455616448473043,0.03368084905783987
FASLG,,,,,,,,,,,,,,,,,0.03538560657641509,
