,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.02989287310201563,,,,,,,,,,,,-0.029125885204371094,
BMP1,-0.02343241599044603,-0.009021846578428574,0.09465224789805506,-0.04667291683032636,0.07947115294639512,-0.0056613616557034075,-0.010524941870183512,0.019416347131899592,0.19042169979441753,0.008375262094774957,0.002168092740242166,-0.0009389066988439318,0.08764101741581369,0.0241266608246566,0.13714550650721188,0.046821820054570744,-0.03102691396106047,-0.012273460152725993,-0.0432203626812455,-0.017451353853351143,-0.003178038678216286,0.09865980015811768
NDP,0.04627959987311564,-0.04122774100493148,0.02990449400516152,-0.0019407943383163498,0.08317060098662911,-0.04080577623588064,0.05753792926323502,0.007856251456685278,0.02744882395740376,-0.004937616180046234,0.05407147581311708,0.01378457787794671,0.006087740117487749,-0.01834008941974895,0.050304387902708886,-0.0034359415590557597,-0.11677246257033617,0.049718659185719556,0.029819516872251383,0.007590146849449908,0.08873018350170618,0.009431295096628246
TNFSF18,0.014437507703159158,-0.02505186751596632,0.006476399377453762,0.02805084092485625,,,,-0.023967937601877917,0.037590724131488264,0.009646065118633033,,,,,0.18992987336351988,,-0.05505930154779216,,,,0.02254260448042067,-0.008558729097377829
IL36G,,,,,,,,,,,,,,-0.002302367071201003,,,,,,,,
RTN4,-0.023454611469629034,-0.04798513551969334,-0.006946983274814001,-0.03229332809560224,0.04920663557235005,-0.0026596452153750468,0.044874924852077364,0.011834115256323064,-0.217659413770111,-0.0214300682793636,-0.027150343354118145,0.12411616199909688,-0.014365351466048473,-0.0538790242218771,-0.07296141217241438,-0.030406172633206264,0.027816148441403257,0.0213862787057128,-0.05616247328541136,0.06438688875259796,0.03261080890135026,0.012567361839411149
HEBP1,-0.014699277500739048,0.018587406205500933,0.022327681945149266,0.00556433134570655,0.0733368722767089,0.036559136078002666,-0.03054703764588202,-0.05704640372949346,0.09602708575288525,0.012771271067844456,0.0005976980253992834,0.050780764239255254,0.06205106147138766,0.051691041432126925,0.003068528455492722,0.02774132947653394,-0.006213618554538439,0.10105616750414104,0.09923287430656194,0.05137463657688655,0.027496607081068523,0.030566187542975565
WNT7B,0.0058539963347065205,-0.046389419664269356,0.046392566188278556,0.03696389814885477,0.05891872462514175,-0.03495370225913403,-0.017717118915102324,0.035647957729384644,-0.011977242029576965,0.014554965387717358,0.005456284376349884,,0.05424030072381109,0.030491990837585164,-0.03982483349523389,-0.007807609527251507,,0.09390607348105433,0.0007235107330977843,0.029763980402499245,0.021068238726266418,0.021584573189009224
PTMA,-0.023917282566304578,0.050373338112171324,-0.019602725094493328,0.004451346195578915,-0.08034278426695006,-0.020662480133352718,-0.009985474040326608,0.012613728064126332,-0.1473634016893392,-0.05682886453682195,-0.016878016828743583,-0.09232157802675241,0.1435041893317312,0.03982934191255524,0.12353341427167047,-0.12778561357648838,-0.056245591672834355,-0.12792164585476343,-0.00018635623381183452,-0.015915691046509927,-0.036799115234734545,0.003956599087122433
FASLG,0.005877585402386597,,,,,,,,,,,,,,,,,,,,0.01682626629738708,
CEACAM1,0.014860175697173076,,-0.027282563042139153,-0.009014042485148015,,-0.004662810747849031,0.03042478094328259,,0.02209677201983522,-0.01964764158282836,,,,,,-0.00014333266410138904,0.011977155030647611,0.017572928182241647,0.03459573336631499,-0.036335755446380985,-0.03890161011646435,
PDAP1,0.0470580460490517,-0.008001104277331885,-0.001364887426748748,0.05363778893609626,-0.023278424691869776,-0.006172159915102634,0.00023514028056946575,0.0075645463594838916,0.1715232452563738,-0.02659768527837988,-0.02112363655224956,0.11705672942603255,0.03362327519573564,0.0762690943861628,0.03755736424442249,-0.05476907844159132,0.09790804509197713,-0.03612582621138156,0.016535903468432322,0.0038674531095497346,0.029135253092887455,0.03253958710794977
QDPR,-0.0434395723200665,0.033311683221856084,-0.027887284577793752,-0.03118532571369014,-0.002735088733152767,0.03877949885788881,0.02487648568782338,-0.037519916393804975,-0.16518174324087684,-0.02813667014443504,-0.035522967920624794,-0.06356722660084073,0.0821144388657,-0.03464940869669863,-0.11483279375172728,-0.03639753154737254,0.07776618004599031,0.015875296660615882,0.0372585663745921,0.014707440111836624,0.022940257762726887,0.001954992917418121
POMC,-0.004064519116413514,7.930618407696797e-05,-0.024777256032924456,0.009329139807008327,,-0.013255010099097688,0.005510174199171317,-0.04295630900151383,-0.03278506264762117,0.029784415644302238,0.024843368942248784,0.01657516490766784,0.04515926213072581,-0.004132735152662275,0.06730939817352484,0.04146803209094456,0.1892582036023532,-0.00403568431385517,0.11149382194422153,-0.012510708616606954,0.025763898213845362,0.019127178828045776
