,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.022546135726457646,
BMP1,0.003920301371927817,0.003588699279740091,0.08407607890808176,0.0824060523887802,0.09080754998447375
NDP,0.010390439068798859,0.06356196114921424,-0.01797017335421457,0.02684444011328799,-0.020440266616326353
TNFSF18,,,,0.01992180311604218,-0.027630993595759847
RTN4,0.01467728437115049,-0.028013235261173736,0.05078547641354631,-0.01929849320395515,-0.03155243712344248
HEBP1,-0.13047398423020104,0.030074336832626686,-0.03349957744496289,0.02241131589090922,-0.0017808547023839523
WNT7B,0.06773559334729584,0.02796856226329249,0.14372580081023537,0.08713589414071786,0.03576539220442581
PTMA,-0.022148060286533294,-0.04111154337366754,-0.025634608504147213,-0.03545408083256832,0.11437750639616924
FASLG,,,,-0.019554255823831364,
CEACAM1,-0.02602543061132089,-0.02008049349368081,-0.01636489287696654,0.03500684265955978,
PDAP1,0.01778391250113897,0.007905572313901776,0.013277105644043316,-0.013621963554526191,-0.015318004570978714
QDPR,-0.08683226341291035,0.04415504460956175,-0.036110598564449745,-0.004133213541135753,-0.06093665120151691
POMC,0.04351413512200299,-0.029412723564384253,-0.026770814962229578,-0.007507292167810954,0.08726597698858694
CCL18,-0.01845245820255249,0.07163713922203314,0.020624385325048736,,
CCL17,,-0.014246138210561369,,0.030806980845331976,
TNFSF13,,-0.027336199423279382,0.023071319737668707,0.09124514780232452,-0.012869379201226421
WNT5A,-0.026192019411808855,0.0296638251424113,0.08153614932033121,0.00227669428093098,0.05212169290344667
CXCL8,-0.010062793453058532,-0.008500816828301476,-0.07518519104781994,-0.032292908217955434,0.049454022211525034
GRN,0.03792505524074388,-0.044733562772324126,0.06492023719450077,0.05261189587654851,0.0917235634710214
MIA,-0.017658987901086207,0.0846667466581066,0.011124616681250843,0.020098600291615015,-0.0061611732885312655
COL4A4,-0.0233296726989586,0.14398866418499684,0.038504293771073346,-0.028568695507029375,0.042992292104583385
TAC1,,,-0.014956019179388146,-0.02329965395683119,-0.013649021216778653
RARRES2,-0.0009331178069890506,0.0029021197343035874,0.020161362512305415,-0.008129576420027325,0.020754317100094823
FGF7,-0.02438154068751893,-0.0561876607104568,-0.05290982132381566,0.05106123392152381,0.08020471883777894
HBEGF,-0.03326004689964372,0.050394913526567456,-0.009612757854932936,0.025331762910232897,0.04770531843060253
CSF3,,0.0032544555290744868,-0.02346130936166591,0.004405762189333886,-0.03533811122208222
PI3,,0.012097979125923508,-0.07382688369356154,-0.04054276386801362,0.029613560849937035
