,MGH258,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.0027104847781771533,,,,,,,,,0.019641516087323122,,0.09864375251228276,
BMP1,0.013568531468203405,0.12062825345766078,-0.003679954273909556,-0.03378083630792886,0.018121710962633385,0.3142139935354549,0.10776110423259666,0.10315667711673622,0.1993165275663654,0.0714838367384853,-0.04438774523803731,0.035769684596076635,-0.0679164585472395,-0.009569383153383423,0.1265790089314638,-0.0010898813595390322,0.09918232876661602,0.14682820216557482
NDP,-0.026462959058182592,0.16132555135484472,0.09003069495866212,-0.056695777518914574,0.048906934655865576,0.06629442320778897,-0.0027102956366458143,-0.031052175897014363,0.07445817919656075,0.15046273192651002,0.052485259654698774,-0.026384886746010246,0.05876548625158434,0.10667416861619017,0.06037198736640955,0.08214899891415904,0.1544687203394612,0.06588275584787473
TNFSF18,0.05570023454244925,0.06412343576109597,0.008764236691587712,0.0695087244597465,,0.07801311491654507,0.09036553895901199,,,0.07731465086702183,,,,,0.003419034355892904,,0.12200312093912621,0.10792338225748106
IL36G,,,,,,,,,0.04307367517598487,,,,,,,,,
RTN4,0.017717288783646565,-0.17446981342337003,0.06427928256657872,0.021889739285461486,-0.019774143261780522,-0.358906133502003,-0.10939536904157296,-0.011402193009311185,-0.12180840547241543,-0.028497930827147296,-0.10559246235738907,-0.03196246400271985,-0.05292709315304352,-0.12003519151811907,-0.12030811667156702,-0.04587570325483287,0.02637483717634412,-0.3204329583224107
HEBP1,0.019201989332556093,-0.02431317170420429,0.0033262086364828445,-0.01759897751573392,0.006077848865264945,0.13747933459489,-0.006890231620508845,0.03504305736335959,0.021706880542901465,0.11109691260825999,-0.04863316293904769,0.03973157853523124,0.02117030318441913,0.04015996750651494,-0.026649929950326865,0.048725971549896684,0.17283337561400675,0.02849455500785785
WNT7B,0.06600896616780286,-0.051035302553382164,-0.00601075005060325,0.038621471881070915,-0.007350632910746687,-0.11602612726122138,0.01972737946811035,0.0865333089352317,-0.05233246202211654,0.020477994333313484,0.08650935488683104,0.04958567577346567,-0.021601318508287382,0.06475507487655856,-0.016016061545341565,0.06273564533820991,0.02560949716227788,-0.0598458969862554
PTMA,0.05346887457829906,-0.19866566895441357,0.054221767895895584,-0.01704073182218732,-0.0658602531877043,-0.14864572836831205,-0.13106294611465008,0.1914338688316115,0.1768749266062495,-0.02011357211384772,-0.0035640723514211914,-0.08035542110583127,-0.07176604490361162,-0.07230241540324615,-0.15847193400454299,-0.07456258138732444,-0.08125815000985898,-0.008845251139081451
FASLG,-0.03762208265518532,,,,,,,,,,,,,,,,-0.03279626826040343,
