,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.03727414474951977,,,,,,,,,,,-0.026265632640040486,,,0.1141859462831196,
BMP1,0.07471326726080921,-0.0005138155638656913,0.09262681058421575,-0.00021380198276624884,-0.02114184856971864,0.053114658357080013,0.006506845013555838,0.5514130666524399,0.04811677227983606,0.006111857490525634,-0.03961488017305084,0.0011321251979448076,0.03600628201939942,0.20801767869134133,0.16213772673673205,0.011182085907751308,-0.03728812419260897,-0.017245426751041095,0.16835855103102307,-0.044450159184728937,0.06264207438574403,0.10656648035313179,0.08307625362652599
NDP,0.008337818585523038,0.1228799590707465,0.0076535492968323685,0.020679592595993307,0.01122192388081671,0.05890603025955663,0.013378125713238424,0.11743230889943793,-0.011725408048503947,0.05613248545625996,-0.005286988973266703,0.011243773550874466,0.015968247131378698,0.0656154107611154,0.26417228668708065,-0.01146463816246478,0.05178234227568412,0.09130887903830683,0.09825837212700819,0.00010305652505408952,-0.12221133142068247,0.12277675729440916,0.049580975083622046
TNFSF18,-0.053035160303253434,-0.0336303109769225,0.07157773590884715,-0.054406261686909395,,,0.012852025604031037,0.0968751760487426,0.02079799059386743,,,,,0.12077852059874888,,,,,0.010893515791737902,,-0.0345814937746413,0.07207494755921352,0.0019433137907614972
IL36G,,,,,,,,,,,,,-0.019402806370123024,,,,,,,,,,
RTN4,-0.10944201297210378,0.05456788541928953,-0.02733459221553926,-0.016057492862010313,0.004094466484753516,0.023438814019299557,0.021975367497628837,-0.6601401049954725,-0.018552193955874877,0.015237327114121704,0.05068704920359209,-0.015327668036337224,0.032555333385697445,0.05436452032318569,0.03515298971442043,0.060125989891536544,0.03767051735897544,-0.009885896733682748,-0.15031848742376216,0.2403929081708417,0.09285501221230992,-0.02320670665821179,-0.0015632169642846828
HEBP1,0.03828246835968667,0.07910522271065532,0.05434512683303164,-0.001781011524337508,-0.012502876145795011,0.03332746586969147,0.012482083914981418,0.21728198180000008,0.018386365373935,-0.0042195246476065375,0.08443909942823408,-0.056492221445427364,0.05673118377343609,0.1332262833561643,-0.10117289166063698,-0.015349116850859141,0.06682219634071941,0.018900777660813675,-0.022010184283457856,0.07792490490484533,0.005744194795967829,0.08365692736133253,-0.0035807403411689674
WNT7B,-0.021099922224136446,-0.08563395687246225,-0.003538826170381597,0.016206541629471945,0.019347238426062015,0.07107607306397158,-0.007244328088649429,-0.26727333291909117,-0.022811584278515436,0.00441228113794425,,-0.023761687921201577,0.016930555186570478,0.08426056131920957,-0.1400906113422953,-0.03230494509265045,0.04540144055868982,-0.0059619445160043645,-0.030681263841675684,0.036556162952979004,-0.03458145791623001,0.031121025681562355,0.10252284606044762
PTMA,-0.10336685432861259,-0.08680419899818755,0.03281990392828308,0.045886481081378765,0.004150323830106808,-0.02264215010419785,-0.019799832050222736,-0.387984060872906,-0.05296201978183427,-0.01171746081897364,-0.07300500461669934,0.0803908435078112,-0.012493514074836152,0.10639241870898163,0.05182932823989849,-0.028617801472027974,-0.07212572179424392,-0.0038257083074392344,-0.09634808317292431,-0.026777158926348875,0.007547094046467266,-0.0936895631144498,-0.0065475611328240195
FASLG,-0.0037906533078885247,,,,,,,,,,,,,,,,,,,,,-0.047179944576406285,
CEACAM1,-0.004678886174627977,,0.0018762490189899077,-0.031205625582669597,-0.0007482485924548161,0.028294377032393764,,0.19753711546910271,-0.029613851388801928,,,,,,0.02987580103357147,-0.02897159219864404,0.0616159727697955,0.02589496810194201,0.04162953787200748,0.03382503938509837,,0.0632214683306789,
PDAP1,0.10545701856087854,0.016385878773548492,0.05433103355375854,-0.013187899557400963,0.048621596626516064,-0.010069578058058143,0.02335995329237274,0.47026744890447125,0.030045561050987726,0.015962583943426756,-0.009904910123386504,0.08228739458134857,-0.04693684998369764,0.04713094954243154,0.20116637566521767,-0.0816629558994726,-0.05284351391208113,-0.06580401277617143,-0.0074751125353039495,0.025445512097038738,0.09567130327106312,0.03708647394465928,0.06026682790797787
QDPR,-0.19726332343103525,0.012595263482977284,-0.03650696893931293,-0.015680269638375887,0.024690083031491686,0.053823439336708946,0.034511825628385985,-0.522399218505193,-0.05513343062274708,-0.02835034153588509,-0.0379082109350121,0.046443577693137415,0.005320541677635006,0.014434789311968153,0.21152860290884906,-0.001720432806697889,0.10901512857467036,0.07004529538124696,-0.0905127333012535,0.01963451534963253,0.09280184608348659,0.22714082863311086,-0.014795113858583056
POMC,0.0024428861910941544,-0.008621316676397331,-0.006324991941605726,0.03704898095899496,0.003486181519301653,0.011434283126333484,-0.0022397989642729244,0.055433131865846946,0.017745517021188234,-0.010211924001734974,-0.0250329582412518,0.10949735744116797,0.059105499245509376,0.14140369034123318,-0.09967546364896028,-0.011229917307461389,0.03635707579084665,0.06755482463613145,0.0131049442780292,0.059768557500267334,,0.11935724955181029,0.047167339130267834
