,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.017553681354183268,,,,,,,,0.005151764572946418,,-0.01097660184199666,
BMP1,0.023070350008624948,0.05411283755344045,0.07429425592251583,0.035123365147311895,-0.033700803984101246,-0.014016763243820582,-0.056455623675132995,0.031390408343796423,-0.0022836856935441376,0.007439710438518896,-0.0007083895510535614,0.00825915019662954,-0.0023222788303708065,0.04608833015884636,0.06362075300827558,0.037121432933509904,0.02728580809138936,-0.05790023696833594
NDP,0.06122867390388892,0.03858394554068784,0.023505586079678654,0.017169301909366663,0.08574997305362834,0.0686091594235783,-0.005240139132214312,0.007958011295676458,0.006614126334829629,-0.0470961801950633,0.0032390929097979772,-0.02205414800835186,0.026021290259030456,0.0646723012471092,0.037145724367033645,-0.05334841333083878,0.0518758504550941,0.04985459938252188
TNFSF18,0.046645264279782196,-0.028201997404065038,0.04586487662368624,,,-0.01523253689829851,0.0032775959660156073,-0.014222979517390067,,,,,,,0.018573515684068353,,0.0632669088154386,0.09089513878500584
IL36G,,,,,,,,,,,0.03402285543570625,,,,,,,
RTN4,-0.0799249135296519,-0.035983243467919805,-0.047605368770804825,-0.013514015552472074,0.04004020646042805,0.05145634526754776,0.06036935312643874,0.0009476111132484991,0.018158141950112994,0.02316779468268278,0.03734975900502164,-0.07712693560792427,-0.06739417542929498,-0.020456517352801046,-0.07026815995857476,-0.03721423827108629,-0.04828732542867785,-0.06158534778389291
HEBP1,-0.03239603744337581,0.06638352784194679,0.023291684725217355,0.03467307389131119,-0.027600616557947977,-0.046383629685162686,0.00020761328235193485,-0.009202370033177528,-0.07086724429183479,0.032003617053926806,0.02889375352137366,0.012221357787930993,0.01686907312706844,0.06851606423928461,0.033152170041702574,0.02787665928378512,0.09449496608740043,0.03217054604162142
WNT7B,-0.008563544638550578,-0.025498469519739244,-0.007534711921224268,-0.023658612332042462,-0.030259620502465494,0.0755481013032066,0.005453635495341393,-0.013252723686243983,-0.01743575207341972,,-0.01218328129430048,0.06786965054430752,-0.04458045018938312,-0.03355203977067393,0.06389909542564078,-0.00644204877992773,-0.01589718132914752,-0.03279106688981251
PTMA,0.022761199859626848,-0.026500876111611435,0.05612327550705378,-0.016535677343994155,-0.11398570307410559,-0.049566851453250856,-0.025899446630145945,0.01015881021077595,-0.027632269278754614,-0.026614536067410145,-0.053580322412676795,-0.043854005075285994,-0.11678318887530045,-0.029861456212953004,-0.06524217154150933,-0.05224153512267667,-0.04793429773298023,0.026045961682670447
FASLG,,,,,,,,,,,,,,,,,0.08667922135830682,
