,MGH258,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH916bulk
IGFL3,,,,,,0.0174578035398091,,,,,,0.06506805329383437,
BMP1,-0.028123053208992728,-0.0685139649187938,0.018927086115896757,-0.043332083482339814,0.02154364166802506,0.01563201559041804,-0.020446176969340098,-0.05529888306040336,0.02585386863508095,0.12586152222469496,-0.048991075886666305,-0.00838006748832265,-0.029907126537178388
NDP,0.033187206220101136,-0.024724289003805217,-0.06883869355750816,0.09583435271733726,0.04113225188216529,0.030249338336409116,-0.02783159868479848,0.07283598862434824,0.06507882259010374,0.049855232606528535,-0.011567881680310808,-0.06532221215487097,0.006907504283686038
TNFSF18,0.05004718947226582,0.019006235591672443,0.03486175755805943,,0.011198685163706878,-0.04872006940565554,-0.010647509216605143,,,0.006484917124071082,,-0.02941006323994156,-0.022478020941713084
IL36G,,,,,,,,,0.03153384410014375,,,,
RTN4,0.06626886362879733,-0.026487016665165338,-0.06298209924710454,0.0758508524886094,-0.18567840826132734,-0.021886931289662594,0.04652716642269277,0.01675384525807304,0.04305338349847859,0.04874388749712625,0.09943909718930051,0.09874064771830524,0.012874954125936465
HEBP1,0.054269820711438044,0.004821704263283274,0.02126979217997621,0.050129638703003764,0.1480577120628203,0.02871020000424217,-0.02651767712600354,0.10576899700250438,0.010369760682269887,0.004936424277144998,0.09168598725569413,0.004768004545174718,-0.02824389255633368
WNT7B,-0.02197964299100807,-0.008643202108249584,-0.021169620514317776,0.002317528963195062,-0.06163788741297445,-0.10785307923515204,-0.030520094017639478,,0.011775737903183401,-0.004617358459611764,-0.12472107570315515,0.10820643226375236,0.013378817549619613
PTMA,0.09090532840375387,0.04311611424008269,0.027926818843120583,-0.09082960246941142,0.21133682070523724,0.172034500590604,0.07356022634878574,0.08799782233023985,0.04255744404774649,0.12208306463079933,0.15529553152089146,0.028503700119253874,0.011840907820981229
FASLG,0.04267121048238278,,,,,,,,,,,,
CEACAM1,0.10426086060661521,-0.026441403883422147,-0.016246410477802585,-0.020874927559407935,,0.01195776232160183,-0.00023221865881993556,,,,0.048018761038731574,0.04117951729278311,
PDAP1,-0.005874716820631106,-0.012376273174770452,0.002624093045457012,-0.01324348004908374,0.1386755192652526,-0.041544630756325085,-0.01398350466629831,-0.031322201218236444,0.029522381101119894,-0.00680558400433408,0.003633766706633006,0.04282398416629518,-0.06358374501895313
