,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.06736874900202716,,,,,,,,,0.03993541694621852,,,0.02613607806862262,,
BMP1,0.058013551927992575,-0.03568749656726179,0.024255675947390358,-0.03129543508237813,0.09600654333242044,0.03232248797150112,0.04546998227890799,-0.07108931873752301,-0.021249584368662294,0.164579965401828,-0.029342312597914352,-0.024289661551363445,-0.006860263961322086,0.05362745776873123,0.0005979282700326872,0.004485785292443373,0.049654504548761406,0.0884743511416488,-0.003767371993082974
NDP,0.00073834325163506,-0.06177725001496778,0.06770441566994151,-0.0616880518277743,0.016768664885769398,-0.016453461136057872,0.012548363644035741,0.008699644656542547,0.04648968581364155,-0.0865855414811176,0.008017023979391073,-0.0026733959449916217,0.08287804140122038,0.039584823872226796,-0.0014583696892567118,0.058463750421473094,0.037408814681643025,-0.03307845941346407,-0.0392284644230102
TNFSF18,0.013504407688156559,,,-0.01954562548472034,0.16036163877025084,-0.017492662321512885,,,,0.05710647433319865,,,,-0.03180169064043326,,-0.0450724573443802,0.02590656240560407,0.10668613960534876,
IL36G,,,,,,,,,0.015012358766182801,,,,,,,,,,
RTN4,-0.009390402671598805,0.027155521943360798,0.029831122460460442,0.041965553204845206,-0.11645427839750691,0.007514538209808202,-0.0008872409802422653,0.14720038978276298,0.014870487620563689,-0.04563118629667623,-0.011516299753487719,0.06399461934900934,-0.05819780188858502,-0.10578636692435599,0.12420263019634377,0.019595674609859844,0.006515974467665157,-0.03691598914751376,0.03854419783748795
HEBP1,0.04043038858754287,-0.04352787271050529,-0.00662759590467065,-0.04054753717063878,0.08000477938690843,0.02571110944005289,0.030141095020026813,0.04730064643919403,0.006272400357418933,0.05829985823118502,-0.08599156654252367,0.04916497707592783,0.01809797381173392,0.005689470942485008,-0.010096748910920928,-0.013870505597551033,0.07926911110769372,-0.02138699673735631,-0.07609318346491489
WNT7B,0.038528179188563445,-0.014383749615208885,0.03230305206789834,-0.020841249864842017,-0.004204419839393633,-0.037833561767121056,-0.015748785646430955,,0.08946203187135927,,-0.03230493121444986,0.02881283013414912,0.046496092927917426,-0.02555446103504503,0.01168626362026754,0.04107869829028524,-0.05657278311307931,0.11095379587745319,-0.05704082913167972
PTMA,0.028342551887812567,-0.0671166442401282,-0.03139471541390932,-0.019300329656609466,-0.05961932671501886,0.0057590895464921825,-0.07477902884695209,-0.1250342298592791,-0.035542237785053214,0.06994797139977296,-0.01220724487723836,-0.00992297469927403,-0.011459489647358696,-0.0966684805671422,0.0014464344591111967,-0.055378369392324905,-0.056264252728621095,-0.013117105072495609,-0.019933077619141173
FASLG,,,,,,,,,,,,,,,,,-0.025987031743504353,,
