,MGH258,UKF248,UKF255,UKF259,UKF260,UKF266,UKF296,UKF304,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,-0.02183268731803349,,,-0.001872109883174239,,
BMP1,-0.04048578130583199,-0.039964043599762224,0.06312286318983022,-0.015703897592751162,-0.023076384928585766,0.08152596330241266,0.04564527795684875,0.03975378953797624,0.04645621578278061,0.01715062309128727,-0.06294528624379933,0.06351766057087539,-0.019285645287702925,-0.0858418267804036,0.08652252453513802,-0.05276385766341164,0.03850239365317344,-0.005718966468131349,0.010018311770737337,0.0365878717378491
NDP,0.03597528485015055,0.050591712435368405,-0.0065624340909530106,0.011091623551098233,0.04900224110205602,0.10851511701959196,0.046264751978449065,0.05114271532865866,-0.02974204237124924,-0.05498841682364351,-0.019043332293974344,0.06246568978165089,0.07654912752588666,0.0629301610273016,-0.018394050786736064,0.005487336389653004,0.07227180593083023,0.030419973989346597,-0.030237699002520633,0.08345161208226683
TNFSF18,-0.02728104363569635,0.025859077643826545,,,,-0.025842363747512663,,,,-0.024124878788281814,-0.004492603291025355,,,,0.003873557427792823,,-0.04401168055993347,0.04948763897276026,-0.017102796875275963,
RTN4,-0.01638171571146621,0.03953409272566021,0.030606743406783748,0.01777272006944828,-0.03457903515834605,-0.15872485343154377,-0.02657091424508997,0.002083172791607227,0.03322226736347722,-0.08254688799014384,-0.01055229340134625,-0.12214655257860665,0.005877396582684935,0.07853749017838974,-0.013221463486703933,0.004502343335560555,-0.045383530524970836,-0.017226076120786086,0.087030883924076,0.08877183346239637
HEBP1,-0.052015110047597964,-0.001009579588537713,-0.014080283230360965,-0.034603460972058575,0.056438959856469455,0.0418779402283842,0.04357558011708939,-0.014899788773293518,0.0057749875100627825,0.021835653823567946,-0.013207398791439763,0.03295231181557738,0.07839202886831645,0.035981518027149814,0.04887077702965347,-0.013699443441051734,-0.021616681797617065,0.010946142213054084,-0.057800569237362334,0.03476458702151888
WNT7B,0.015406149877876833,-0.01927337308174564,0.011418923457650222,0.005414604960841522,-0.02358439124709728,0.012249068524776533,-0.019213864611565493,,-0.0503108061850661,0.05969790650605294,,0.010218205945804386,0.04333155416145732,-0.03237015366221805,0.04929872775346231,0.003185015578837529,-0.009823427466948427,0.0012037033282348475,0.017334858876886277,0.01650320632371779
PTMA,0.014307888791305541,0.06589313191690825,0.06664959425254117,-0.0360660942708865,-0.013637638617239321,0.1368808493796314,0.01459475093123008,-0.049614258897018426,0.06942480375416221,0.11108870355675661,0.005052096370302404,-0.137046469096829,-0.026641992651840245,-0.005854030598359017,0.029677132559151047,0.10538776974045394,0.06169561398737825,0.086446808827751,0.01456433741733709,0.020272576853017716
FASLG,0.01659291644814564,,,,,,,,,,,,,,,,,-0.012034987214898926,,
CEACAM1,0.02245881699936686,-0.011417009867421297,,-0.012330426377652704,-0.018932382046846573,,,,,,-0.052715200788521994,0.01750418684321665,0.034774709232855916,0.050266793431535436,0.009472512379399028,0.017656411122248753,,0.14425462139277923,,
PDAP1,-0.04090195913209428,-0.014665494972353924,0.0979637450733417,0.003206292570064382,0.00018509088564109765,0.083350190208703,-0.01746590073047589,0.02698293003189724,-0.028424129785320267,0.006306199021775278,-0.05024335415491881,0.03604229337813376,-0.03615085905571604,-0.10809931651962355,0.0156602278854787,0.07184843928712294,-0.07934147407703113,-0.004895649488134246,-0.001801521732292445,0.08075439883893096
QDPR,0.017191730924169337,0.019379500869544763,0.04147602260996638,0.03811807802131396,-0.055438055124573664,-0.06461496571323128,-0.0036575001513967104,0.044528364518972276,0.002779158463794773,-0.009301930537090478,-0.015745647556067638,-0.13169690605035006,0.07007252565275372,0.1513221564982409,-0.012254060682997735,-0.053971742937152505,0.007729353951886807,0.05994013632129245,0.027035366201794905,0.052482751764717055
POMC,-0.03999272234165051,0.02937501617840596,,-0.01629262942939276,0.010238009878925045,0.00031444029296366735,-0.010385722804520138,0.015438032370260138,0.019401142935291892,0.0144948507508255,0.03515840551894887,0.05501525080952504,-0.020890340234136287,0.07469460477781416,0.02307666465318294,0.04504625433784607,,-0.006317468317938071,-0.024152650425529255,0.06736481273142905
CCL18,,-0.05530349383836004,,,,,,-0.03196844270046876,0.022479499166678713,,,-0.03243065923893463,0.00011135428474960843,-0.10682215025483295,,0.0024180629778820096,,,,
CCL17,,,,-0.02236594738430271,,,-0.008055991825365968,,,,,,-0.05450958606117291,-0.011805849526401681,-0.03251499381803372,,,0.021048169563041196,,
VEGFD,,0.042647762688844154,,-0.0014054119819094874,0.10260097762821654,,-0.04764964132753282,-0.0223641687359866,-0.0237719921027081,,0.08297746571046637,,,-0.020855125509515342,0.0031470910171391554,,,,,
TNFSF13,,0.08259657217719286,,0.05556816862614475,,0.04862743539159323,,,,,,,0.09002645274794105,0.024994047444317834,0.01637710043780981,0.06608380415022296,,0.09424786630072171,-0.0354296873786657,
WNT5A,-0.03960419338850656,0.010337505044558772,0.031128137077748683,0.009348537710641997,-0.0405740213514132,0.09691027597352844,0.044850580037344455,0.016311254639759194,0.014059110266195666,0.029504565525806988,0.029446280005441527,0.11215807037121536,0.02631592925231189,0.02812871199124402,0.01209950870763163,0.004638986234167681,0.15049124979268239,0.017786474145691233,-0.02687843896709447,0.05466090965604249
CXCL8,,-0.007196775231175938,-0.04689208119746297,-0.01236777039008498,0.033308897229238875,0.04182232873953217,0.023894079147208064,-0.04347349614217255,-0.02779453317397339,,0.00462080589653447,0.06411405486876402,-0.2138569889579416,-0.27859965553925004,0.051925112275014035,-0.0005773619434295248,0.14967389777905116,-0.09746677544263245,-0.014609373280714428,-0.06652206818274027
GRN,0.0009267326257982413,0.021228875438961927,0.04387191326759879,0.012589536409184672,-0.026201980602868876,0.05343955847796308,-0.020831115605343443,-0.09006156281263103,-0.04525660899296758,-0.013101564248681167,0.06597099773948605,0.051439447327267435,0.010779328393713985,0.027941139620674148,-1.1972591072371959e-05,-0.05027526914255023,0.00821960875427846,-0.0338182090085281,0.03942395360374549,0.08263797151478602
MIA,-0.031458108105760316,0.03520018271696461,0.025441223586694088,-0.011503105067635053,-0.03381404526515293,0.04555648242881891,-0.010950197567400493,,0.01660219453165239,0.08306057352937274,0.007920867512321782,-0.0069850746344368,0.14593992151524254,0.12767583476760577,0.03541924238048793,-0.048416031340808637,,0.02610170208643104,-0.032050799229984335,
COL4A4,0.04315079759366696,-0.005702416475024349,-0.015021067430421017,0.02076866706498394,-0.02566387861595734,0.08348064767631666,-0.032467444695328425,,,,-0.05611523188961877,0.11411682056238472,0.03247132180660737,0.0610704546621689,0.02722595726294657,0.07080599679261954,,0.005884811989180435,0.016672562772068262,
TAC1,-0.024033738695503577,0.07121474371909142,0.010259080698533688,0.006316808413541557,0.0531091036510991,-0.09017762814800433,0.028632779930616185,-0.054830248813636746,,,,,,,,0.058138923430109665,0.03590972447492593,-0.03210982885945584,0.013899396780515074,0.033661998207065405
RARRES2,-0.05115758784013751,0.030331968651481363,0.05151995715299186,0.06426488105039792,-0.09204095579219909,0.12648172480591915,0.029129849255533566,0.011803894396927663,-0.026619029078401465,-0.03668129074393427,-0.04751215725123919,0.03355180083480586,-0.09384758501354626,-0.09445680228131774,-0.06660192650857248,0.041085971854513535,0.056626463862105035,-0.05649561385609781,-0.0759603057325226,-0.006525484797593851
FGF7,-0.014693015515669858,,0.03642744404522006,-0.04593913722133051,-0.013575698226860491,0.03302052609996439,-0.02868157551421167,0.02848094988320556,-0.01358400347712508,0.01273862895338614,-0.02919605501765761,0.02390809728160553,0.04512013204827394,0.04199202111110162,0.05068589776264321,-0.022842735488689137,-0.0015445984878771951,0.0015800538068471807,0.09172754958063344,-0.016214913372431253
EFNA2,,,,,,,,,,,,,,0.020978515939658302,,,,,,
HBEGF,0.0002649331183747887,-0.05230061062260849,0.043552743609846734,-0.046920108190334,-0.0076793136238497844,0.036787048259183136,0.010512740165291891,-0.03034106936783184,-0.041814331733800024,0.09831388293344606,-0.030797194684386724,0.03561051215879644,0.013893175697780421,0.00010261710962423263,0.019687651181938708,0.00684893194046152,0.08111894917439903,-0.027361808003783575,0.0448847106318934,0.02931468719536446
CSF3,,,-0.05083005939881316,0.0077170095942064205,0.019581604198429668,,,,-0.0009840658798245582,,,,-0.1309831679732117,-0.19068983214241164,,-0.07003549177572013,-0.05560716992064091,0.003638038605136395,0.07784275601586353,
PI3,,-0.027963750482604292,-0.05254233500644021,-0.046468058466609966,0.045173593447903775,,,,,,,,-0.20110366556107417,-0.27325098502254785,-0.001489083070261013,0.01209524997034233,,-0.0748582569452122,-0.016828806492804462,
