,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,-0.024380924544086763,
BMP1,-0.23838946122001922,-0.15028981722493576,0.021889161354737226,-0.10880813206192212,-0.0863766565354446,-0.015078485737382344,-0.007465303155776485,-0.08362905870778,0.19169260864534943,-0.16913521358025613,-0.07256551024377128,0.0821990981040071,-0.07590311938709575,0.031598021876409844,-0.02560442867265303
NDP,-0.12435391750273249,-0.09015829725352305,-0.0007572848811845395,-0.06570325008070461,-0.08710824042925573,-0.0066048519570598724,0.025104323241052922,-0.09130016754591268,0.058279918161692985,-0.24683780615655337,0.17467668086334273,0.0682158365263561,0.024158419575962056,0.0009168937625066279,-0.09276251358821046
TNFSF18,-0.07260494839962359,-0.03882163780812027,-0.015859934551327292,,,,-0.016604480461687346,,,,-0.03648125854557843,,,0.03928105312755808,-0.0185856873292392
IL36G,,,,,,,,,-0.002594061447340276,,,,,,
RTN4,-0.16234110530460327,0.004778747948573955,0.03282979556511409,-0.1791090003121431,-0.035110779921848814,-0.024158537050686657,0.06708733695654182,0.0690991011362316,-0.39568661270872907,0.07168121282617951,0.021821990413667922,-0.17085086598911198,-0.012479276692337359,0.03839125763620218,-0.03334026960048458
HEBP1,0.09738805594111656,0.017523718702055588,-0.007353328873003513,0.06466173129411884,-0.016318371138960546,0.021107973718486297,0.03459302473086356,0.03482173135279751,0.07393310841785,0.06956753897902529,-0.11993432151222488,-0.09182138798074789,-0.02393339143122037,0.0049367208686297405,0.031454453114712115
WNT7B,-0.1817352170380726,-0.0022259977146501645,0.053441895383848914,0.051886314788223,0.04857383060534651,-0.0407968402233707,-0.04759519757113057,0.018485982393826334,-0.04971526642881248,0.24268421524857403,,0.0037910944505743682,-0.018408304415757557,0.021491614539605606,0.12237326909075806
PTMA,0.3235269938438689,-0.23661870363741858,0.03232773554617322,-0.16646013327281492,0.0962145929104715,0.025875692513153404,0.04112869806323441,-0.16545363750495504,0.40102413559079914,-0.05966309962882522,-0.039058319070059,-0.08501495468804544,0.017233475474719213,-0.05994621959103068,0.08580745167549116
FASLG,,,,,,,,,,,,,,-0.021145567539413854,
