,UKF296,ZH1007inf,ZH1007nec,ZH8811Bbulk
BMP1,-0.00960226843424718,0.024661176095891767,-0.0007476718984055483,0.03671458278843249
NDP,-0.030420904993270933,0.15338538739322027,-0.01586215311302882,-0.01661945948053648
TNFSF18,,0.01812592236503277,,
RTN4,-0.029029320338550418,-0.0036009304326069824,-0.02307872605725165,-0.09107188462322018
HEBP1,-0.0073032006121910445,0.08066642214137534,-0.01143826027277486,-0.01034906444254188
WNT7B,-0.011246853377780103,0.09391214116057016,0.020214190541811058,-0.03444589388678378
PTMA,0.045724380881810335,-0.05285351215460005,0.10244683670758352,0.06882873100398196
CEACAM1,,,-0.04892179861399644,-0.016687431916601842
PDAP1,-0.016885166772003354,0.00925879895957913,-0.018368501956757478,0.01186111231276828
QDPR,0.07829861980512819,-0.018569476869755835,0.05730916674453913,0.03424239396977202
POMC,-0.030249573060429108,-0.033373746804461486,0.01963803853774297,0.04386475618296972
CCL18,,,-0.041947884686166864,0.053250555371873814
CCL17,-0.013920451674250359,,,0.011304279105020413
VEGFD,-0.010210819649008487,,-0.0472589810908204,-0.016687431916601842
TNFSF13,,,,-0.026184305947403744
WNT5A,0.05072223399977168,-0.02134241577116026,-0.03908341824054098,0.04250893609429032
CXCL8,-0.009508759238355318,,0.029088779470272257,0.00111289688973695
GRN,-0.011507954764099545,0.029230901391801314,-0.0721637142398581,0.025905321829376056
MIA,-0.011612656972151832,0.13402555087958387,-0.028673948773078956,0.021582827969689185
COL4A4,-0.01950834018924206,,,-0.02671918772718935
TAC1,-0.007403382379824849,,,
RARRES2,0.04927178329836486,0.010851787055366501,-0.035196670773228377,0.06503439555733617
FGF7,0.024300447832182995,0.04060663209919033,0.05985776874890961,0.06504114188699049
EFNA2,,,,-0.015860287262436
HBEGF,0.021111868193133522,0.08810425187518493,-0.03247171153873414,-0.012796580935294977
CSF3,,,,0.010091134950396702
PI3,,,0.01630478420448681,0.030016528527627866
PCSK1N,-0.029289208075525156,0.061701174615770835,0.08065487552796193,0.0016961505779773912
NTS,0.011911332243235286,,,0.022406806542684527
SFRP1,-0.013920451814440741,0.06242991144581521,0.13834407165081974,-0.04716619207188323
CXCL13,,,,-0.008006359086509113
MICA,0.02135231123182716,0.06747520535312168,0.05415606807384081,-0.02855447120489702
TG,-0.010074170425407423,-0.04009158103960146,0.04013633863390638,-0.023798079321541495
ADA,0.000824859825498435,-0.010899173408884242,-0.02800123057248956,-0.056876004677895574
LAMC3,0.006010125947325608,-0.04391331802015889,0.0013745876944615697,-0.015923762595988922
NGF,,,,-0.015647098318511826
TNFSF15,,-0.03695428882642163,,
HMGB1,-0.004722455518477021,0.003634458936931227,0.04013347502192199,-0.022456472877056245
ITGB3BP,0.0433933011024973,0.10365678243405335,-0.04293305271344237,-0.038130639461255764
AANAT,-0.011612657618077463,,0.04497618675965799,-0.021343650965675694
RELN,-0.012567435150536077,,,
IL15,-0.024959406916694158,-0.06308053109525953,0.042253760830405794,-0.017146840991456417
UTS2,,0.03309984202796279,-0.004367202977361808,
BSG,0.028236124354372994,0.04469132175115419,-0.08801447302602636,-0.019574911919188493
ADAMTS3,-0.0013836590949605578,-0.0047262330542318645,-0.03460513158510822,0.011305534228810284
CD34,-0.0217269670954691,0.016090212198231733,0.032161144479170276,0.021535120508278695
CCL23,,-0.013182772684529932,,
PLAT,0.01752353901355568,0.061532781725508676,-0.053128453284172275,-0.0738761558090218
NTF3,-0.018745599647572248,,,-0.011092879713928598
CKLF,0.0758787498001075,0.06057318050922802,0.00922136628874164,0.05651832704522847
CD24,0.0071209175534824145,-0.011730852267132512,0.09569945162521812,0.022087696869916257
HSP90AA1,-0.014450602741293145,-0.04260467566499715,-0.019867460152108895,-0.005966402502952593
BMP4,-0.029521397830617663,-0.004315639618885746,0.008541135880444308,-0.05252877393264193
SCGB3A1,-0.009795390280646379,0.08643461219276972,-0.00022548309190496092,0.05285157830949172
IGFBP4,-0.03544647092767914,-0.06446254986272061,0.05399901408837453,-0.02115946336644667
RSPO4,-0.009795388847848963,,,
LEFTY2,-0.010740763671904208,-0.009874766212018006,0.007706084975353824,0.09428677203612151
PF4,,,,-0.01453705133486337
ANGPTL2,0.015505698830805235,0.028395070214505564,0.012118779614100622,-0.02954063486482023
LRIG2,0.006014544745440417,-0.008802891546282755,-0.013484395780074583,-0.017584000553192713
ICOSLG,-0.01858981882367285,0.03279601900619455,0.057508602873170354,0.03143483905853831
WIF1,0.12036395457144451,,,
NPPC,-0.013613193358819917,-0.030809211527571958,0.020767192882384825,-0.027505075689563983
LYZ,-0.0008051375467269425,0.08791325695622244,-0.048777523606929225,0.03087642208387267
EREG,,,,0.05288145454536935
SPTAN1,-0.006002368492338366,-0.05460027482807724,-0.07332730585998946,-0.04512913290736554
LIPC,,0.013841024231401043,0.05744127078707492,
COL8A1,-0.03328095999754653,0.07933372673336692,-0.1066695777649682,0.03462400860335332
GSTM2,0.0224340943331042,0.022779485144754582,-0.11275022195117093,-0.02407496979057254
IL4,,,-0.04068858114290859,
SPX,0.016621823609755084,-0.04084351992873267,,0.0700894328518887
MFGE8,0.0009845206639944226,0.01913713763656073,0.021832965909182725,0.03175504864000135
TGFA,0.013996317981240148,0.010895698402462578,-0.01968013730164448,-0.023025636084464406
SLIT2,-0.011126190988597894,0.08541573352395998,0.09031696948691076,-0.04309428755441881
PLTP,0.04169548439677185,-0.02793578256848535,-0.04111944451211538,0.03831221509555862
APOD,-0.03461737716206686,-0.10333673017753084,0.04124042386342917,-0.026202283039167513
B2M,0.006206564703112557,0.0469230172483086,0.004634977157420365,0.04465572947902332
OMG,-0.0310062176791825,-0.06421081442229955,-0.07296573257161507,0.0018498169319783335
CXCL3,-0.010478995550347248,-0.03175198210939673,-0.06960836990099,0.002572802480835515
CXCL10,-0.015918361216483826,0.09199012224058314,-0.03809499097035813,-0.01949840008018738
RSPO3,-0.025446182513351682,,,-0.021435947357757026
CORT,-0.016634156809252076,,,-0.015212285360252282
NCAN,0.021649318746276455,-0.010484676170891995,0.049005973821587,-0.06967942669329744
PRG4,,,,-0.02244665795033811
TGM2,-0.010937415285442165,0.009074977939300092,0.005475948249415233,0.011606618457315978
VEGFC,-0.04434703192933737,0.03358083485704265,-0.023053219198993495,-0.003494905843696365
WNT6,,,-0.05159588745155019,-0.0133974262711922
NRG4,-0.017237283568033678,,,
PMCH,,,,0.11491780859987008
COL9A1,-0.020749704023107836,-0.047158548202645686,-0.029735355565549997,0.020998897004121494
GDF11,-0.018675596685863882,0.007131362051594753,0.00667287424874638,-0.055328740777318565
IL24,,,,-0.014305265442237626
SORBS1,0.02246479800984306,0.011916305548368266,-0.04128825952657989,-0.012659298982367477
DLL1,-0.030779008920189976,0.09826775197311774,0.010488019567890127,-0.05904319272103994
TLN1,-0.00710693739495838,0.02438992727500192,0.01916727355470399,0.06717975078066213
COL2A1,,,,0.05705339917506907
SHH,-0.011246854975750098,0.1335843784734775,0.003182606180267987,0.02927330341973128
PON2,-0.053804084305747374,0.011915734710385182,-0.011914386472164461,-0.006646807035926903
ICAM5,-0.034964990881918054,,,0.030219286450451473
HPX,-0.009795389282029932,-0.031751965497442095,-0.08026267598914893,-0.05351830216446901
SFRP2,0.029662596369865325,0.14407340268357613,0.012423563245056097,0.00843147099001568
CD70,,,,0.04835782611640133
HP,-0.03025566327649262,0.05731781493091567,0.03654016270873733,-0.028789075015888534
CXCL2,-0.013613192293409371,0.13321604836208353,0.06003396121337302,-0.022900566737242643
NPPB,,,,-0.020292455333829947
CCK,-0.037493427896350795,0.012785750462894534,,-0.002204539099022313
SEMA6A,-0.01900538988657227,0.0529956484796857,-0.09248005821834701,-0.045772103236364534
IRAK4,-0.040852472902137,-0.05195592402401456,-0.0037848849446316564,0.005315803633744511
GSTP1,0.04086860694578967,-0.05931574167655991,0.0042094898974939,0.020105923206084154
VCAM1,-0.015386656125286413,-0.015361727641964768,-0.036586374390064826,-0.041564335680591036
NXPH3,0.008902435490170986,-0.02019490070729732,-0.07341265748191765,-0.026709913529078363
MTMR4,0.008983271214787281,0.001451727724046436,-0.06673562053865156,-0.0017576256910173378
LAMC2,,,,-0.018786827506116134
IL10,,0.09148804972173,0.1527782588070162,0.05473570263844496
SEMA4D,0.0008350510465079834,-0.04062921646856589,0.02537834456125402,-0.05517832726615145
TRH,,0.043321706649686854,0.008659715193008915,-0.0145244966985315
SEMA6D,0.002253853286280028,0.011016417821629125,0.06004004654491545,0.031977600794277534
CEL,,,-0.052117592528480174,-0.02335524275923221
PDCD1LG2,0.003669603209773641,-0.049200974392850746,0.032442915051132996,-0.03262467612586142
SPINT1,-0.01600782112382252,-0.03136212589554037,-0.010026089226034573,-0.015851653084592885
CTHRC1,-0.014004171486012946,0.10748289982189389,-0.015375916239186512,0.0009385168077811561
PODXL,-0.009873807833555603,0.09479523174815718,-0.006963549979917284,-0.024169999290919723
JAM3,-0.012015843576702663,-0.06642879132898974,-0.040364960814,0.043220447034049356
TGFB2,0.03028863007110044,0.02329639542602666,0.034669673043538296,-0.05764334578090544
COL18A1,0.0014411192919869663,-0.03950065062088611,-0.06815698721438236,0.007785545015494057
NODAL,,-0.0055373324744389,-0.034149626430219765,-0.01767037260708786
INHBB,-0.05178914653904153,-0.004272392410163033,0.062001099218433366,0.030414922450569606
LCN1,,-0.04195014335376826,,-0.016687431916601842
ARF4,-0.01721827752513517,0.030113616249904756,0.022302040947196747,-0.03269611156234425
CXCL14,0.0546704811403699,0.11003591474006356,0.021900398931822145,0.01563483392823068
LIF,0.036493095420627585,0.08569100062259452,0.0848580835686796,0.022820228888454436
IL17B,,-0.05007071137482084,0.03953326931700749,-0.02671918930490005
MMP1,,-0.0427036265436691,0.034089071189247,0.004249635820630034
MATN1,,,,0.0002583075310800986
ADAM28,0.03357091510596389,0.03697403679485393,0.005667124456135251,0.035607355950074
TCN2,-0.026093783873223163,0.036721280314323146,0.019121595637903926,-0.06256767224718435
THPO,-0.012084073020750144,,0.0604693631781787,
CUBN,-0.03467317585104488,0.013166801969007269,0.1633537584036089,-0.03154298166213449
TIMP3,-0.011595969746249235,-0.019259591178384997,0.005955020781757182,-0.012979361163905986
PIGF,0.015975837692932114,0.07440433958014944,0.02891954668560189,-0.01378349401813635
CRH,0.08693519323758302,,,-0.03691466695096662
BDNF,-0.019657830859867744,0.041318404954467904,-0.03437582766079303,0.017906035515722975
CCL5,-0.011602089327411963,0.06031583890592631,0.08310932649391381,-0.003157558617639476
GAD1,0.031103952458614054,-0.01587881872905242,0.1311531053308313,-0.005758160087059516
COL14A1,0.05486857636077436,0.09884865749173985,0.09967654222448989,0.018384623958809576
HLA-A,0.019877407523524567,-0.06554707436174452,-0.03603140257874852,0.006282398223246807
FGF18,,,,0.03500117191561284
ADM,-0.02839912849228087,0.09927259561531969,-0.005220242466417131,0.030198861595357052
CCL15,-0.03447780573436563,0.15506469874225237,,
GNAI2,0.040644439442721336,-0.01654280719439419,0.0053716154131221786,0.011406902294564316
HDC,0.04390237794981097,,,
COL11A1,0.029911003406660048,0.1752607625237865,0.04563232524137219,0.02247314012918318
NUCB2,-0.03578820242524571,0.07564011248083671,-0.07235440138010905,0.03878899302096131
CXCL1,-0.010996578591575113,0.09592669699852978,-0.03873314855658502,-0.0156082407914234
VCAN,0.024372227889420707,-0.04083522651551421,-0.018579841730519898,-0.0013821982049045357
MMP7,-0.02124300757899617,0.11731115018806704,-0.012750336320548922,0.027791681926845065
PTPN6,0.014819657107997656,0.03775694830175928,-0.11504842876837014,-0.0016470391754355492
PTGS2,-0.011401026567951923,-0.010492106508839437,0.07100815844554674,0.024463128566316952
CD58,-0.014375203838723044,0.10107797491394896,-0.03788715178395275,-0.016056917667925365
TNFSF14,-0.010740763671904208,0.07026815058772765,0.014547331461652102,-0.028398970889808754
CNTN4,-0.012434275705615642,-0.03775964426636122,,-0.003819467500074092
INSL3,,,,-0.01648429318898526
BTLA,-0.013716322570425052,,,
MFNG,-0.03776265682433158,0.035810929940722706,0.023589498448278137,0.01322939862964163
ICAM1,0.08476914989605146,0.06330403583771878,0.050518312378336566,-0.027055834562827754
PROS1,-0.03773609688484657,0.05098158553233652,-0.007190236147059745,0.002950391336726286
CLCF1,0.0418976585662181,0.06352825702252926,0.031084675992736045,0.009766889463604182
PSAP,0.07237459040445615,0.015299356482471877,-0.05293399636112544,0.015038618119409182
EFEMP1,0.056424720321134186,0.04768328323006747,2.214410046728943e-05,0.057505284940244275
C1QTNF1,-0.0238361403811745,0.10186744114632305,0.012982322931734416,0.00798893342180674
ALB,-0.012199239003379759,-0.043032894156210165,0.002959067858518171,-0.02618041043253417
EFNA3,0.019142502697447043,0.028745230861652666,0.03365410012048764,0.03303480349516122
DRAXIN,-0.009795390280646379,0.07303636059639423,0.03717790211532181,0.014170510662237486
RAET1L,-0.011732184326631562,,,-0.016687420980357727
NPTX2,-0.013148036224481992,0.05370272488270047,0.031105023522706367,0.020247309586232273
FGF11,0.004852189747308233,-0.04928086753903104,-0.01268827194764436,0.03128191268526725
