,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881inf,ZH916inf
IGFL3,,0.010842126095967297,,,,,,-0.032430271734281556,,
BMP1,0.07047167261600601,0.06218353039872752,-0.03622084614649964,0.02070451846525067,0.038245994361357886,-0.017060093496786156,0.0035237652324945036,-0.023622687683656166,0.035495228399782655,0.10379963097087931
NDP,0.04181890917873017,0.012074015651684847,-0.01187536631933051,0.013730699120442667,-0.010157155041976049,-0.0853385474569026,0.06827003793627064,0.09812158676228434,-0.055131853270472,0.061157726749272924
TNFSF18,0.00793207043533393,0.04818899118945814,-0.011674764661574738,,,-0.0252577245950281,,-0.05429067065903938,-0.046572322665626865,
IL36G,,,,,-0.013752911436744552,,,,,
RTN4,0.02620640303972898,-0.017130224618452143,0.06051514455434027,-0.0797192367513234,0.023458838306826504,-0.090800453988416,0.021014074738445472,0.11248695182441579,0.05043588844726907,0.05903871579717509
HEBP1,0.0008761151888373855,0.012051527704139153,0.014599274092835176,0.05116484442532479,0.001812746499456247,-0.044181400409448866,0.011612967079743932,0.02801217901820449,0.050903131071925005,0.13553321826887835
WNT7B,0.02317553321878505,-0.011276883819987035,-0.03346462612583523,,-0.015116034573743229,-0.027806289488564614,-0.03917210786227218,0.10222543286076587,-0.02326181171902332,-0.04256283146582438
PTMA,0.02063965034984547,0.07683445761431042,0.028681754812697906,0.13808319808526137,0.11259827989906647,-0.06218469980488741,0.022420911756925885,0.06350589405387777,0.09831708956115806,0.002094944618937187
CEACAM1,,-0.003534200389904795,0.02775497514966995,,,,-0.031244100092244022,-0.014901513257267997,,
PDAP1,0.030480421192761654,-0.02309673770121309,0.01197394670738421,0.08269054367561506,0.05449048744121205,0.0019353922497418073,-0.0027629055539369106,0.028171253302766996,0.07660395644594623,0.006578628441321809
QDPR,-0.0033674131926645177,0.03519464791575037,0.07811090151931736,0.15239005641966483,0.05396237104764215,0.07881752765694318,0.09882208526219852,0.041298234138388124,0.024876242405312464,-0.013996663218011391
POMC,-0.04176298796241801,0.024426760415083158,-0.013546473694648937,-0.018915653313085323,0.04116016931806719,-0.06806874554697571,-0.01396616900659375,0.01479880463991353,,-0.06372694342435735
CCL18,,,,0.08143445980788054,,,-0.03357532415901492,,,
CCL17,,,0.05982132959508749,,-0.012563675042489455,,,0.09453606908141012,,
VEGFD,,0.006607777700025595,0.142932315605241,-0.02317194375654347,0.035861763926921655,,,0.003995971187112215,,
TNFSF13,-0.015351891487292465,,,,,,,0.013545784121350055,,
WNT5A,0.05123555143626999,0.011347738873663412,0.023452969743200092,0.09611361142631904,0.08260982930684573,-0.0849341086808017,0.04370403232727231,-0.018553226171836044,0.025083009440746554,0.001971818999839773
CXCL8,-0.021837069929954902,0.004701506614777052,-0.04840420146409078,0.030885619734962545,-0.040483741055510364,,-0.05911464438953789,-0.02508846820782116,0.0997101113197726,0.057339535624236736
GRN,0.019675419302897592,0.11059707239787879,-0.023872051603486124,0.06611193937218458,-0.038565190881666184,-0.03257039110631417,0.030620238163693244,-0.05186424047183367,0.004938931074442504,-0.04993510189107343
MIA,-0.027759180593432943,-0.042939102077549786,0.04339823677013559,,-0.01844076978704828,-0.055191572339517186,-0.005541783256835551,-0.014810415420006898,,
COL4A4,0.03488950182780911,-0.014812508608226287,-0.015201826028453276,,-0.017888230829369873,,-0.04244970045686937,0.03759662245419412,,
TAC1,0.010101842117338125,-0.06723794771963484,0.05728931556355326,-0.029934804455063104,-0.03170168871892075,,,,0.000952849891335641,0.03397722064821864
RARRES2,0.033989669557752816,0.02734070397130649,0.04078006824668817,0.028181100762359027,0.03097074098712891,0.01504048092726557,0.061801655233634595,-0.040652993834823896,-0.05653677393915378,0.03219232904328335
FGF7,-0.0418651052634182,-0.023144081393102013,0.025433722748557114,0.003120808237485178,0.03948730783856412,-0.016550390745433637,0.0545750636326624,0.010949621443676921,-0.07545273975692493,0.07474619386656274
HBEGF,0.02709229384119822,0.001674051829581061,-0.016838604442492116,0.1121855561948081,-0.005452641516075243,-0.031231040090077787,0.017776148271854284,0.05485642675106559,-0.033261728387143696,0.0820023217556283
CSF3,,-0.01567134900211629,,,,,,,-0.04185788816887802,
PI3,,-0.017646145815801352,,,,,,-0.01104963763450883,,
PCSK1N,-0.0281504126638922,-0.03364820120181612,0.04357605869948339,-0.08577121399634534,0.026006205106793127,-0.00523108204694972,-0.030645086766395234,-0.03233885627998208,-0.031477828264505715,-0.02163237406721638
NTS,0.06833418233163828,-0.01926197305156058,0.014377710112572537,0.07339461161045979,,,,,,
SFRP1,-0.01852603440765256,0.024114308267703048,-0.014083577456724193,0.07533611757032097,0.007992288301113712,-0.04730087809742776,0.0386696357099531,-0.020113025654791294,-0.030691429454271772,0.021398489919639385
MICA,-0.03784772421360743,0.017948509815509293,0.02547205749250067,-0.05769296368531481,-0.015439708459427883,-0.003911327555749775,0.09982982981214507,0.010999713293133885,0.05001733410883466,-0.043963143959180474
TG,-0.020582132296445493,-0.018913916161687826,0.0036981289030181674,,-0.018872412685289667,-0.0323689534574498,0.0393704362683334,,,
ADA,0.015403542769503089,-0.016629430035774214,-0.03242999443963245,0.10414016380022621,0.09933093870747663,0.04273223003743713,0.006609524831474472,0.018503832319460248,-0.0001084205664137538,-0.05967295002867613
LAMC3,0.027595026281646964,-0.026813523928156426,-0.0005037253497796314,-0.00391960490444897,-0.0477749698770157,-0.018331340070867053,0.00153582316713742,-0.06524690715914677,-0.03266931305352157,-0.03739752578183377
NGF,-0.019640874689076007,,,-0.03450738375224803,,,0.043627900099078604,,,
TNFSF15,0.03916192497382404,,,,,-0.02983598112267137,-0.050389783447344266,,,
HMGB1,-0.005211104747709307,0.05174731033694494,0.049932854349723374,0.0587226860990004,0.03279504449812908,-0.03753328850431313,-0.028979790706109933,0.011827552233632015,-0.0232366424688787,0.0185849976488476
ITGB3BP,0.029698933508404714,0.012408133873991738,0.008305429208539909,0.021252495729248158,0.03727450125334889,0.008732149748218348,0.01825747687493283,0.044236230557364586,-0.0337301337657932,0.11858898439060812
AANAT,,-0.014135980896710738,-0.013192240093214668,-0.032442015596794334,0.024670704908551,,0.04930944139338133,0.030206474829276814,,
RELN,0.0757457068236238,-0.0414794032569685,-0.009939760902523145,0.01681605899799957,-0.018657690592845277,,,-0.02005649095520133,-0.03334223537910743,0.06959965531671665
IL15,-0.01696950299750828,-0.02557984430467469,-0.0022680792832051808,-0.05011965539209361,-0.015630349204753258,-0.050929664586606874,-0.05911479889090764,0.004719440370471113,0.05649209042912173,
UTS2,,-0.037802159934162555,,,,0.07210496169941162,,,,
BSG,-0.041006871807687466,-0.10114930697313605,-0.06661298353718885,-0.14337906988521296,0.06004699458438135,-0.006667380492855411,-0.03414029654492252,-0.025719393889253914,0.001662026499660187,0.04480632295471079
ADAMTS3,-8.215446651340981e-05,-0.04538930312817151,0.0178071967118231,-0.05209425401204476,-0.025972595802781096,-0.08696273220636615,0.07307837920409659,-0.05152218885536767,0.011156654778575052,
CD34,-0.012059840469656753,0.03209222842605455,0.07205245138773442,-0.07350467297280348,-0.026952029530102915,-0.08219263253649828,-0.05925478986215142,-0.02773363829370135,0.027026044499709016,-0.021876719702984306
CCL23,,0.05453831285248778,,,,-0.0022710502617698802,,,,
PLAT,-0.005284218184639623,-0.02783323573545589,-0.04362145792853555,0.05562576842765125,0.0776259558229008,-0.06623840193766624,0.08485114702804905,0.015185615882468306,0.13424520698606981,0.0069404514392606646
LTA,,,-0.012705502056198489,,-0.01563035113417086,,,,,
CKLF,-0.0018458551006597977,0.03976739620750497,0.033088803880953796,0.023258149360376405,-0.00276657642950184,-0.0008198701405647075,0.021198989490205686,-0.006333974637292103,-0.019943702338372598,-0.05328002696068021
