,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.1444523528500868,,,,,,,,,,0.044269584024772615,
BMP1,-0.04298384931492824,0.0014236175248166724,-0.05661717678962436,-0.0022049809741528374,-0.02832764344662582,0.00791679364474797,-0.06101905242149825,0.09341947962793613,0.125517658826452,-0.022633340131393495,-0.05741953142641373,0.031863386856237415,0.07197705922749179,-0.0055688071516792744,0.03298714195275169,0.008374780840194128,0.008739158812784283,-0.004543554463871659,0.030614832712433305,0.013017974824133355
NDP,0.03201580841747863,-0.08180309830282033,-0.007636170775464807,0.012534000414819498,0.10436730570373412,-0.03321808487565035,0.036774759210323055,-0.04183200577389675,0.04562101494114793,-0.004564809853787928,0.06424220189858448,-0.034577074574207875,0.015460596072409797,0.03832034514684934,0.00593917895094059,0.024848706626303254,0.05348206038407056,-0.0296022143332984,0.03179352654971526,0.07209370698971579
TNFSF18,0.007242770223682313,0.0023459703359580424,0.005723444567294518,0.020143522653930705,,,,0.06329638093241907,0.00028685096132785234,-0.021519452828612343,,,,,0.027882117935572062,,,,0.024292256096422944,-0.023953085551380576
IL36G,,,,,,,,,,,,,-0.021478703647176797,,,,,,,
RTN4,-0.00784098726294271,-0.004130445244064943,0.050793758549584254,0.018037252042235247,0.027366035392334398,-0.010112544241682347,-0.017335519074872182,-0.06156666518790971,-0.1508885944543905,-0.08682004274103267,0.08647948804846715,0.0015703171726122165,-0.05650616015712162,-0.024959390208651608,-0.02293060660407766,0.04777181799362733,-0.03575570092373756,0.051544363731628635,-0.028486686317173094,-0.08644732912404379
HEBP1,0.017969602123083534,-0.0047852544078294465,-0.05488992032011228,-0.025866192456857742,0.02661315177640192,0.023452683160870527,0.03236822450768371,0.0038686992750537478,0.10152694716661402,0.01441659442265626,-0.00130011820566212,0.04572681500446604,0.0021238037763278168,0.0053382818477916575,-0.04375771116850976,0.0579126246429961,0.012273308225479342,0.05956606210236787,0.05858231736971881,0.007157240293822776
WNT7B,0.013071329898373953,0.023785348459474553,-0.04298160438699018,0.013719393655106214,-0.005192892560632849,0.06260387316887983,0.03331048560243158,0.001179022618519357,-0.027436060482204698,0.014576645639655966,,-0.03270121634669001,-0.023607570544114727,0.028629421390647128,,-0.024196585527410313,0.029464901859634053,-0.01976903794271426,0.05262900178946781,0.031984564479288
PTMA,0.08158983202065657,0.1045621093201922,-0.0031284006476778275,-0.019844871791676953,0.008444710488677565,-0.003912423534191633,0.025001419042810617,0.10006340955363649,-0.035088586895950166,-0.08569237251368225,-0.009670325322640387,-0.01941123339590598,0.08453060506686981,-0.05941250097714833,0.01701508044891834,0.018549088747193895,0.0625656034718533,0.012418857525374164,0.0077783137519467855,0.05860965105520628
FASLG,-0.01622976241528582,,,,,,,,,,,,,,,,,,-0.020864248085729713,
CEACAM1,-0.02253516715142848,,0.0034120455766103942,-0.015300312701244684,,-0.03098068827849495,-0.023235683149650757,,0.05851880876032968,-0.0006146577172163123,,,,-0.025382812394051567,-0.01204859126004244,-0.020833086038901615,-0.023340005229485643,-0.01312099799754542,0.12843806757688095,
PDAP1,0.006317899936367624,0.02514285700307205,-0.02103501104701454,-0.012562999808498754,-0.007657686578821214,-0.0649003846330584,-0.00404874006124882,0.018465240424899946,0.10051223082067176,-0.02094108576755963,0.07835693961596936,-0.07159388531421246,0.01733874729690788,-0.002437994049704169,0.017803268472764536,-0.023919206949025683,-0.06695414823724136,0.06394126595551183,0.07203108975572997,-0.011073564280341515
QDPR,-0.0058825777237573595,-0.011907086639403474,-0.0061503813212813035,-0.06366416659334602,-0.010510131183039374,-0.053747925625374206,0.0016199049935406355,-0.05690641420873249,-0.1279203753075274,-0.03295208985984106,0.07084433246247349,0.009128558419259906,-0.04611430254988991,0.013052322908648084,-0.040447787864952074,-0.011264502551506845,0.05645470519319804,0.028179308225574094,0.01815669136857111,-0.04100538584228942
POMC,-0.004030035321357162,0.01429850014165393,-0.044611658537117634,0.048026643174159306,,0.03723096183964053,-0.0224865153614265,0.0234902256414946,0.0436307225728666,0.020875969653797777,0.052456945937218155,-0.02691781900879208,-0.022806559001981766,0.1251992117196533,-0.03744138758446303,-0.04096919707562737,-0.009026562449944289,-0.021464229075796072,0.08402801097235216,0.015886102649326737
CCL18,,0.026479928664791277,0.048516841081970775,,,,,,,,-0.010709229824833152,0.019256568612812535,,0.01353119816648451,,-0.015580313708064675,-0.03599781466045203,0.07133056957120319,,
CCL17,,,,,,0.01566793599040832,,,,-0.005928810507280043,,,-0.019621405561885793,,,-0.014780066194892418,-0.03369276282107789,,0.047376179700340366,
VEGFD,,0.03146774084668843,-0.019522864199999525,-0.021914628252494385,,0.03283028301643561,-0.005487743730076748,,0.03166167984057877,0.012744210273117168,-0.02374401048871095,-0.018186766633531557,-0.004586398716866894,-0.0225715062952339,-0.050069441918650016,,-0.006207132287813068,,,
TNFSF13,,,-0.023102613499498204,,,0.011323491041332548,,-0.01749325874933318,,,,,,,,0.018755067879349156,0.009090817047445614,0.08486595169619235,0.03654565930989169,-0.02605754041929565
WNT5A,0.052347751558149656,0.036972668841826074,0.07683565474486036,-0.00891977748846936,0.01693544234963243,-0.010965500080265105,0.021965926495373055,0.10445455780005429,0.13649542131807216,0.008000197456989638,0.04051000544822014,0.03729603968650358,0.006545415036832885,-0.07303767043184799,-0.01741550564086606,-0.010241974735226183,-0.04355627840041748,-0.007519519460609811,0.0037022233241012542,0.01940562896307607
