,UKF251,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,,,-0.016603069796319224,,
BMP1,-0.02285803314142215,-0.06319857890586396,-0.07593320986033386,-0.030869628033139633,-0.03726819646079562,-0.0777274278580799
NDP,0.032817746296315134,0.052327632747779025,0.045319926547717125,-0.006197258150393727,0.014585420981437397,-0.15032532217324496
TNFSF18,-0.011312064929313803,,,0.011602139930421895,,
RTN4,0.012629293473407337,0.02304185742448009,0.0008473333284232222,0.0372741693973469,0.05671040681273821,-0.0009072977641594126
HEBP1,0.019359848194038812,0.06722057151900825,0.07117453354740017,-0.034505292179568645,-0.01566027917289813,0.015864418570484394
WNT7B,0.024965016170328678,0.06260333199835226,0.023853585273153587,-0.035804434016073874,-0.015033552568650783,-0.03996473221865282
PTMA,-0.0024689708736943573,-0.04944545564733234,-0.02226437160456764,0.030349639057215744,0.04199432668001492,-0.035429501200278435
CEACAM1,0.01400952120375995,0.016594230189624595,0.031228366281256383,-0.02460317709342677,-0.010201355958392057,
PDAP1,-0.01508874002864121,-0.04753377613976949,-0.05423033618258336,0.015535352444794308,0.05625964303016868,-0.04724214892774415
QDPR,-0.016958142528608524,0.05100258289806106,0.08397947724406689,0.05255861269212264,0.028772525806000433,0.09433605340850051
POMC,0.02192305880838085,0.055236487272633625,0.035277498817847426,-0.03203185286423141,-0.0062777842573588675,0.002106332122718121
CCL18,,0.06135013403270082,-0.020164196586855705,,-0.0884266138454204,
CCL17,,-0.03269213959698245,0.007709052191845698,0.0011601176914097899,,
VEGFD,0.032121834632254403,,-0.03701413703536933,-0.023087392422788656,,
TNFSF13,,0.14454078983644109,0.051034055782652334,-0.0007583640424353329,0.009462482689591649,
WNT5A,-0.0012604365780066137,0.01665575198130641,0.05376888441143038,0.04197817059868034,0.04182447648335419,-0.07468199152450693
CXCL8,-0.039360704520750814,-0.15885121953885667,-0.1547185746725723,-0.03107929587436534,-0.0171658493399626,0.021502521433695947
GRN,-0.026621606484628312,-0.015087091923656962,-0.03136146716608504,-0.03510806192509204,-0.06550686684912224,-0.030876061142581034
MIA,-0.028743737020130406,0.19603975827895354,0.09181360575937667,-0.014035190531532172,-0.024175466629119055,
COL4A4,-0.06286964452703961,-0.0006134403655186189,0.02934098157344045,0.059125818701611224,-0.015240872700173998,
TAC1,0.021723346440649452,,,,-0.05374257258797991,0.09398858691057889
RARRES2,-0.04830780574038863,-0.08688266647565258,-0.07752996412741926,0.09703370014691216,-0.008143297101127853,0.012767955884100488
FGF7,0.018423416975563368,0.15907028038587845,0.045640675108173066,0.0012306630308598714,0.018639846272702074,0.00770826676199722
EFNA2,,,0.015168829294385832,,,
HBEGF,-0.012226225961019225,0.020129554297104633,-0.03246311935753284,0.017579237239183584,-0.03189857569679949,-0.01787082110556222
CSF3,,-0.14225203227087554,-0.08090286209141553,,-0.01631412230067622,
PI3,,-0.2120932416973943,-0.15122641320123062,-0.018599285297185787,-0.07454288125724357,
PCSK1N,0.003963536525576768,0.05859537131218909,0.0036810768297955805,0.019663009540607495,0.03406553046112544,0.07773290628831529
NTS,,0.00844569430163226,-0.003069236973857845,,0.0578023303823613,
SFRP1,0.02685158384830373,0.053987467478865236,0.05754534640954275,-0.047242552963216326,0.0827991734318416,0.06851449712323564
CXCL13,-0.028317382697143963,-0.0065602302860767025,0.016988991134200604,,-0.029876116433471378,
MICA,-0.035435534196120576,0.02642623799098878,0.007009907671759474,-0.024401338787412307,0.06747384243465487,0.08069566864508017
TG,0.017818129995527485,-0.004137466777813032,0.0024480736490300062,,0.005925695922456299,
ADA,0.033256008914122115,-0.0020511306641150173,0.01612322130736813,0.02557452036163139,0.008542754103411924,0.141416554248772
LAMC3,-0.03285469112941487,0.07782777531344122,0.051297085930452846,0.017344985164257073,-0.036942626933890374,-0.054721069328647884
CCL7,,-0.048997981697369616,,,,
NGF,,0.020977957128125006,-0.00923973802458853,,-0.06909448473104421,
TNFSF15,,-0.03821910965025609,,,-0.046244444291193586,
HMGB1,0.031607954566657305,-0.10618567609105514,-0.04059055199609628,-0.05799890961314311,0.006978781014818852,0.059399869153451114
ITGB3BP,0.04432599716376741,-0.03838347813509152,-0.03893380819908847,-0.056228809015126384,0.0049245202633142,-0.0833850811541516
AANAT,,-0.031178009001267236,0.11617713111215751,-0.008303632740136825,,
RELN,-0.00922849780013027,,,-0.01751766495916939,0.009433172189377758,-0.014877778737921015
IL15,0.03864648591956551,0.009001773966512425,0.039210430929282544,-0.03372006153974909,0.04626712505279374,
UTS2,,0.06259781995753577,,,,
BSG,0.0008209600314670287,-0.07032414012318358,-0.061214188264917826,-0.0442935843255874,-0.0632340054442164,0.0639247152158608
ADAMTS3,-0.03538639293683248,0.05912635547215584,0.0574034081275448,-0.041954743557418406,0.03921302522756449,
CD34,0.024851156113117865,0.04544538418486322,0.02625237593814238,-0.012107569552280577,-0.024614060226515515,-0.02392552946215394
PLAT,-0.014816573837844143,0.09928042257721317,0.09300729419465985,-0.024415441927085342,-0.02196638697662758,-0.06251661897290693
NTF3,,0.07235367034968555,0.15066532452611442,,0.09910286593439785,
LTA,-0.007253763485128327,,,,,
CKLF,-0.03221406025064088,0.08098511321602891,0.07479089124344838,0.02164572507550069,0.018894340342868354,0.012533221339376208
CD24,-0.010474560355483886,0.14222738950594047,0.11357575589109287,0.021091552406879165,0.12811175152763601,0.11644561488401405
HSP90AA1,0.009817467077962905,-0.2509779412415126,-0.21743408559430594,0.0013976558445270189,-0.08692755758281973,-0.028597443832111137
BMP4,0.05545078048342772,0.10385822939712794,0.00711830643700417,-0.04789041174469217,0.003883966421990829,
SCGB3A1,,0.08142540395300542,-0.015985411819869955,,-0.048434856187140995,
IGFBP4,0.003460898592760318,-0.015796126837856243,-0.060742469651699285,-0.037931470143339134,-0.18384595115641394,0.1224723845608099
RSPO4,0.04662941341767334,,,,-0.010665909851759062,
LEFTY2,-0.029709579268484984,0.0015336583270815212,0.05079500273985772,-0.018212700154860047,-0.07745974570466233,
PF4,-0.014884558558593155,,-0.0322444108169523,,,
ANGPTL2,-0.025100111973930653,0.1934546297185887,0.11963049888160408,-0.013413632399940116,0.006667935871120287,-0.10735051188293661
LRIG2,0.04916075387861207,0.09205237236202965,0.06213129731775991,-0.06795835922852914,0.012168363009561646,-0.057834414098406256
ICOSLG,-0.0031608925903528133,0.06331338931706658,0.11821317470447029,-0.016609115873562303,-0.005386424526071494,-0.0686165705492822
WIF1,,,,,0.04497705703398958,0.020775214671064055
NPPC,,-0.03565943933225786,0.039089975685731526,-0.025688613495079386,0.019198495291044126,0.0381896987304685
LYZ,0.053258996378811964,-0.03974264472618963,0.04302702866476945,0.027050102793942876,-0.0675004150474767,0.0460149439626584
EREG,,-0.0635199988703517,-0.021042951793941327,,0.013960119740002727,
SPTAN1,0.03828744598515681,0.07976693604979704,0.140306113910939,-0.07283147494087827,0.09417834265780915,0.03514955786705861
PTH2,,,,,0.02200264016736696,
LIPC,0.029254755562488653,,,0.03612418280967632,,
COL8A1,0.020533132188252257,0.08843884881809683,0.00839432214042861,-0.028844678118994778,0.025401813524865282,
GSTM2,-0.02182128380665661,0.046485118594073685,-0.003027295458796148,-0.020038814435760197,0.0544806938449561,
SPX,0.0019577117436287384,0.04330055928110479,0.042933411882499925,-0.0007568847680785627,-0.012987402945704742,0.029359670182646944
MFGE8,0.03277498981136062,0.03331810265166466,-0.006418258762128375,-0.040843080301635214,-0.023584707543281114,-0.003521195367116012
TGFA,0.01931468987426201,0.07091971835041257,0.12086271660674203,-0.01140004692986699,0.02224888524277319,0.045476493611077015
SLIT2,-0.005778175018207437,-0.01382604967940806,0.06500690515894544,0.003384653831996236,-0.04671068480121896,0.032679637736140424
PLTP,0.01407411221545216,-0.023325525563269636,-0.08500776138686286,-0.08983260526317502,-0.08184951898715986,0.0039913333526208255
APOD,-0.05608045525499982,0.27699404066845035,0.19020874250560674,0.06708243392100174,-0.05648229979683696,-0.09673620144738737
B2M,0.0010505522306003445,-0.01702511033395773,-0.026674562769491074,-0.05076913683894135,-0.11711999647957251,-0.026401935068118536
OMG,-0.030151565589230798,0.17687010225043562,0.1360297012780498,-0.01609232391329088,0.06973132694522431,0.056868387196498706
CXCL3,0.038514481191455,-0.12292072622507481,-0.022017626552577767,-0.019067960956117288,-0.09599506296894478,
CXCL10,-0.060178094481365685,-0.050596701935666774,0.004893465562950035,0.015122333306693386,-0.034302152697162025,
RSPO3,,0.031977255615493166,0.09853428123497732,,0.002068863137239369,-0.030552609110515053
CORT,0.005320926101151414,0.05604139560151791,-0.010208626244740527,,0.0502150822587224,-0.03262523795677107
NCAN,0.02696185258964395,0.24471943422819095,0.20036121731427953,-0.0834691320003425,0.1002932406348801,0.04031611621255379
PRG4,,0.12389009404144814,0.010874094927958544,,0.002243802237587336,
ZG16B,-0.03212552486616148,,,,,
TGM2,-0.030590254438037447,-0.0027601889445527106,-0.0635612100771444,0.018261570570356406,-0.05163042681886388,-0.07628849900803406
VEGFC,-0.024640247848567304,-0.019949648026820362,-0.03415547422450055,-0.025150954705826255,-0.00016454603509168016,
WNT6,-0.029709580048198132,0.0014308869536599764,-0.010518672205312893,,-0.01752216635925312,
NRG4,,,,-0.020195853348573375,0.018217525980301803,
PMCH,,-0.0231785424965496,-0.047342023482778064,,0.03182494093121137,
COL9A1,0.04945069263054818,0.14913936077554504,0.09340407328908536,0.03115946405301193,-0.020339678629982042,0.10040800171861643
GDF11,-0.072912537805968,0.06314585609836725,0.039606510394378985,0.08212933029193824,-0.06178364927717858,0.004379413901560559
IL24,,-0.037131973062259536,-0.017814220012054096,,,
SORBS1,0.05276359840592512,0.03890100671946361,0.05876106852132699,0.007166030665740724,0.006945613730429961,-0.019705318795701608
DLL1,-0.0017841574530016256,0.17614000158066626,0.1532789960601967,0.024880738578441513,0.03272379818541925,0.06525055259205761
TLN1,-0.011239027322524298,-0.11706103569215698,-0.06333832616933462,-0.0083620512834548,-0.00399876417291738,0.04199038843195489
COL2A1,,-0.0395708411915945,-0.030486028345222377,,-0.017801653757938515,
SHH,,-0.021423378812124905,0.01789152551669099,0.06517112461659287,0.017724687479941124,
PON2,-1.9779089723149237e-05,0.18372999033779674,0.12391331972006109,0.01332505123417378,-0.055781773014640115,0.04305164081355722
ICAM5,0.026929110168616578,-0.005944139669793597,0.045796196489453066,,0.020848359694839527,-0.02495865960649132
HPX,,0.04432947278182198,0.03810438119743678,-0.027077449741019947,0.030039496761734962,
SFRP2,,0.04859657927502668,-0.0194832786615022,0.006607885977204677,-0.14045372418760135,-0.048568441058012966
CD70,,-0.053575684664151184,-0.041352197730429495,,-0.025549936020667352,
HP,,-0.039105712771471325,-0.010303780261776153,0.05009553304855115,-0.04228807008992309,
CXCL2,-0.015914892413620728,-0.06943772109992942,-0.01485420870233408,0.009602064371072652,-0.09657210967904446,0.029179497173250697
NPPB,,0.0035531833936195707,-0.028114258866209923,,-0.047677800440743864,
CCK,-0.023602914268815223,0.11454776584660326,0.08785269533344059,-0.0008921912309862554,0.07816243543733525,0.07164740758407612
SEMA6A,0.029928632666522022,0.1843656609459986,0.04978620745570422,0.018071811638615185,0.06214598521765847,0.041033139989410564
IRAK4,0.0281740461716379,0.023107889772524287,0.0824696284024778,0.017570666568984334,0.008214327466441743,-0.06091464164641094
GSTP1,-0.005863276501640001,0.07020730401846315,0.11222445070961355,-0.012245384696593288,0.07161687963283132,-0.021903025659384207
VCAM1,0.040051934935367024,-0.003915079874787931,-0.01924741191208674,-0.0024376129943646883,0.003940687405604748,0.056548014998264166
NXPH3,-0.002550374241821392,0.09447333649901786,0.06655663739896488,-0.008105874081007767,0.002560939056135008,0.012836483763555437
