,UKF269,UKF275,UKF334,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,-0.02709419448822237,,,,,-0.021845066152124688,
BMP1,-0.13197701228248832,-0.00900604877919566,0.11262211068199164,-0.0047860422854510525,0.05059269537885838,0.06660446162486275,0.044112006482048445
NDP,-0.012732798681466663,-0.038271279706530506,-0.01588740543299812,-0.04809244095921793,-0.033583857278078486,-0.04051229462581015,0.0016438539299086668
TNFSF18,-0.020741105335953802,-0.01017685462938687,,,,0.00964120956793763,-0.024308730675378375
IL36G,,,-0.04091425095066165,,,,
RTN4,0.18923587684176083,-0.048966460916403304,-0.11724061615290102,-0.03179033470180598,-0.09886904978887437,-0.018007441116724206,-0.09456340813646608
HEBP1,-0.06686483313421064,-0.022131163720477173,0.02240117837140033,-0.021473052242215858,0.02092697134972291,-0.011514527058377433,0.008559212033969126
WNT7B,0.16674389244099289,0.028035965560316924,-0.02987481655607702,-0.020154863088406902,-0.023907316648713754,-0.007832624221294658,0.009029290685211914
PTMA,0.042168764977377045,0.011213531542225454,0.1544906550287139,0.03758173097358367,0.021157239345242048,0.04328610332413597,0.018503212158284342
FASLG,,,,,,-0.018946218421185736,
CEACAM1,-0.022043865264318247,0.0011135318012401238,,0.04100233526177975,-0.015867633760603152,-0.026360880240105466,
PDAP1,-0.11897041446941159,0.027720858786381412,0.06414910015952335,-0.004418529532869252,-0.059691208759460816,0.04039327726333427,0.017415415748152068
QDPR,-0.0002625062675976692,-0.08178116078772583,-0.03571281185268142,0.06866464513913853,0.04936354564946266,0.03425407500309226,-0.04704497706727971
POMC,0.02861700860953649,-0.011808417345233264,0.002566486686180768,-0.05064978120875223,-0.025957364370616923,0.03412458069741008,-0.023637534851445048
CCL18,,,,0.005832943410541462,0.12631232953032465,,
CCL17,,-0.012692519095581847,-0.008868855552533425,-0.01910482113689261,,-0.017172618966771788,
VEGFD,-0.04539004361650234,-0.013522805548307126,-0.013047346364187784,,,,
TNFSF13,,,,-0.0366592821735372,0.06566721565474665,-0.027981349266089,0.10992371611782427
WNT5A,-0.1442548031678507,-0.022795030895400647,-0.008330932645509166,-0.06383834124330137,-0.011101228894281882,0.05541464877736814,-0.014935336209674716
CXCL8,-0.0019270879540280292,0.03661466904954289,0.057366387537660025,-0.046358307086668576,-0.020965557618371853,0.017510990605469994,-0.05597139931769773
GRN,-0.1657218472670329,-0.026551840662950663,-0.07011762999586874,-0.0164613727590495,0.07811401480912948,0.108403927852843,-0.022599121184325416
MIA,-0.022439272732542308,-0.024947314177850607,0.011100660058708774,0.06750280656028078,0.05464188360902782,-0.027043202230155567,0.04206462004983189
COL4A4,0.02966774825613638,0.06913520092683968,0.08057544907454982,0.01479872640113156,0.016967674652976376,0.0007155363752663115,0.0037383026909118262
TAC1,0.1523675384662308,-0.03164491281563623,-0.09079489678722409,,-0.027376188648094234,-0.022575153817215147,-0.054531736070017246
RARRES2,-0.16549811417356816,-0.049538822160558986,0.11099970977373193,0.010131263651423436,0.03724025815660343,0.02421293800705106,0.049784245837329745
FGF7,-0.02269786145265015,0.10104065889631277,0.13017203013341486,-0.022943511813784314,0.05806216181591928,0.053104519313627176,0.017574894077348024
HBEGF,-0.04633312578849795,0.05001322729773302,0.09353156165673744,-0.011807159477043716,0.017572427702346547,0.04037513113790333,0.05879789592841051
CSF3,0.056438176227178644,,,-0.02555789497859955,-0.0227484204934271,-0.018080118582854472,0.06518006797767152
PI3,-0.019547905910323186,,,-0.08156718539667293,0.05468829207472767,-0.039282091149988804,-0.0652237945978342
PCSK1N,0.03752615558328974,0.01571802900825034,-0.05125619418151734,-0.019444491978372717,-0.055858635503759295,0.04351631364827519,-0.05944557324838105
NTS,-0.03471940841697924,-0.015138164275047076,,-0.044569558973783424,0.0018056069987230962,-0.026774190194225226,
SFRP1,-0.03440382309661466,-0.016754823755576725,0.06445936455114519,-0.01596838857421979,-0.04063565358345038,0.03664613175981545,-0.02579202244842621
CXCL13,,,,-0.02102599493797587,0.05727768062100152,,0.014111038909119343
MICA,-0.07557569988937027,-0.02254259241454293,0.06377009564710445,-0.03496974440433367,0.08412953226304497,0.07507728014563628,-0.017138756994381405
TG,0.0015496776073846274,-0.01278723265953686,0.058191022550568385,0.024569726469914576,0.022501732967087427,0.03486171671660206,0.008737024509549413
ADA,-0.1067130629647172,0.02817041358606464,0.046423272773425076,0.06519603305226815,0.08921609768857858,0.03970921964276906,-0.006996720819535678
