,MGH258,UKF243,UKF248,UKF251,UKF266,UKF269,UKF275,ZH1007inf,ZH1019T1,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
DCN,-0.01229090715760038,0.024685571986324643,0.0789413214671714,-0.04694714910297606,-0.02073768924324426,0.15754463935852822,0.10338961008216682,-0.021252365789182232,0.1799537686762899,0.0594638284683659,0.01488402271840647,0.06500072194437018,0.05158469663149968
RARRES2,-0.06248492253685495,-0.046947695991541444,-0.007255919386763701,-0.029740660938898836,-0.0038555830385889616,0.11554654728114391,-0.0896282828185545,-0.009656326649376568,-0.10444751436252808,-0.04322351473613712,0.06090572194192379,-0.026644130897701374,0.04127522576219619
SEMA4A,-0.03148783757123749,0.026669558219617397,0.06296038420941422,0.05392141473190791,-0.005731960259704933,-0.04365904626293437,-0.016078277253465053,-0.005354661332047913,0.0027416487375808095,-0.006554638105090065,0.0006011151248195958,0.07878076850263174,-0.024080342652730763
GDF11,-0.0068737045250879545,0.07988579313813154,0.07751943538200697,0.002445322296828393,-0.04044132884180701,0.10847125138686901,0.01752131690525421,0.02127701371908524,0.019626360750342617,0.06651926572466299,-0.04036526757342989,0.03284760505906739,-0.015794722002117963
GPC3,-0.02645431249461151,-0.02752806975192359,0.057092657563848896,-0.02160484437846117,0.06502306706872103,0.07789678032851016,0.0030596043303834346,-0.03219186941742089,-0.018404393446331935,-0.013808265727659641,,0.09787281146355159,0.021739907095321392
OSTN,,,,,,-0.022067887755941634,-0.02337951806826499,,,-0.016617880282032964,,,-0.02043197473032446
GRN,-0.017775474934177228,-0.029280704779699407,0.057065823564324394,0.036618892713378155,0.031055511155337036,0.11055127444134409,0.03212518518343335,0.056898466203918655,0.0897363284878372,0.13339549951081373,0.002604660350034411,0.04753833017272009,0.03701192431596923
CALM1,-0.023794828060454933,0.03281426022083605,-0.0099135968818904,-0.042542404318813225,-0.054408902484638574,-0.11600848023511344,0.06052567933543268,0.10340087863024637,-0.06298646772000059,-0.039851274938109416,0.06497233710632039,0.062164269744447,-0.15226856831703728
ANGPTL4,0.018829183297635832,-0.11310298116229109,-0.0706477085153226,0.018808768205307254,0.017113555740651824,0.020858457613061855,-0.028557596032310912,0.07915206755503401,-0.14701411861856986,0.04900612458006772,-0.011137062050925356,0.018659841776918117,0.08113813790585378
BMP8B,0.02734858438443937,0.08269505617132893,0.021249023559592774,0.020953223650417904,0.07025113191551345,0.09503571977865408,0.029315251489708545,0.04729485316400392,0.12441652460107733,-0.03064702533307526,-0.04090379131190305,0.04497601693307369,-0.06069817196130122
TNFSF4,-0.033249010249715404,0.016238284596990206,0.1355007638124364,-0.040201701501785765,0.03848153068416117,0.1513841510824157,-0.006432474547114648,0.008373989127067317,0.1323376174164769,0.06560167685279848,,0.08673403129567749,0.04188242203196443
RBP4,,-0.028592013117958243,0.030217275542166938,-0.035962001753831276,-0.04400721833263894,-0.08422498672225559,-0.04630429852042499,-0.028742987402802643,,-0.022362513192330576,-0.03603539783916314,-0.022170230572081562,-0.10424916769404241
DKK3,-0.03737435183116765,0.02775435484585696,0.03580629813917559,-0.007375960200115722,-0.056972268686567414,-0.039302957828874135,0.06094679891792211,-0.05337484217448651,0.056869592698258996,0.011447994755379534,0.07297998812833777,0.07059127437023717,-0.15190410775043967
COL11A1,0.02435506637790152,,0.027195087078596265,-0.002201871650173048,0.09436994158104361,0.03309430902709175,0.03714803610833747,0.03801496949493556,,-0.004231889713607126,,0.07631782222706726,0.06468485647053487
COL5A1,0.036450759217443125,-0.04989727788787252,-0.009261392878903754,-0.041928608093218314,0.011132083467112152,0.10464641056529413,0.013014461891273707,0.13519211933250402,-0.02175826919103425,-0.018453468382444695,0.02191725940082121,0.10994640239808481,0.06405459094101507
KISS1,,,,-0.02979360683962956,,,,,,,,,
MEGF10,0.1123828218805866,0.010218438063829292,0.05071636697272585,-0.00970727226252051,0.024382417302156765,-0.0020162569213933554,0.011340748843989973,-0.09049000362717458,-0.07811243988081862,-0.016000879581330785,-0.03431255291682434,0.08106807343234343,-0.07068539703539725
CEACAM1,0.03690362177535952,,-0.03346924957156397,0.0958007675650883,,0.09308285540896799,0.011212578583183872,,0.05599885368942556,-0.024243201508066813,,0.07703542937002311,
EFEMP2,0.00951016952936405,0.027974065314515427,0.027579903007725202,-0.00024223064882775505,0.10023186347743221,0.12927833198007313,0.0369976512244944,0.10236374657787262,-0.04895587386864139,0.0432997109838234,0.1005539971297242,0.01492374507863699,0.04584063403098507
IGF1,0.03476642911279915,0.07154782236670987,-0.0013782699609011235,0.03010128795224334,0.02609085491637047,-0.005469043618814012,-0.006552212511540526,-0.03478423599093287,0.04383347772595749,-0.007167534579804976,0.04812699488486841,0.13490888875399143,0.01954515648604466
COL6A3,0.021734750280128536,-0.04413724493575951,0.042337091944367924,-0.03850770039156015,0.04973082662161921,0.11842263158827815,-0.02207564801712733,0.14547460094137873,0.006208202381672238,0.0240475363696838,-0.043405891351751255,0.13252705147262717,0.05265168009731754
RLN2,,,,-0.026363836927699648,0.07457825951225813,-0.024493268372312377,-0.013506323155443804,,,-0.027669885588683062,,0.02783082700748493,0.09980712022446678
