,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.02389293076127774,
BMP1,-0.017225879041756157,-0.03531075977263589,-0.03841480603101627,0.0334960597895751,0.0704096161282805
NDP,0.04917508426585076,-0.0754046164428266,-0.025664502560204826,-0.028600780464265268,-0.08741308244745528
TNFSF18,,,,0.056669377591503534,-0.033105682597284664
RTN4,-0.019914132831732607,-0.0038078020015771524,-0.012571757273294876,0.029260000016830243,0.012329971280356681
HEBP1,0.022926191613644037,-0.05664123679866633,-0.0017983905817229222,0.034448271838622126,-0.013410973581971125
WNT7B,0.02069856686642539,-0.04000708501319289,-0.020366671197185545,0.12572632794007232,0.01518469287019532
PTMA,0.0568160347022269,-0.022755650758785332,0.0045958178800668565,0.07846639306446374,0.07609875462427948
FASLG,,,,-0.020722330698065068,
CEACAM1,-0.022267307316371485,-0.019381570109159203,-0.013517655880337041,-0.028832079609972496,
PDAP1,-0.026331305806409782,-0.0237065391331618,0.020563591148468934,-0.04050956522901772,0.04812421658058072
QDPR,0.043689950005032285,-0.03340417518040524,-0.012845128121051791,-0.024226563087579343,-0.061796721067720495
POMC,0.08894930935385338,-0.045404098901594116,-0.02211310926482989,0.05131063001556966,0.010946070095125729
CCL18,-0.04074889924493811,-0.04732851076621752,-0.04655136944444099,,
CCL17,-0.01579757677299616,-0.027978513216570713,,-0.018782465253508802,
VEGFD,,0.06548902862110205,,,
TNFSF13,-0.030313176994944555,-0.0304116873114784,-0.01517942156605074,0.009517457347427883,-0.03601426048166882
WNT5A,-0.03367386290961468,-0.029191773271013677,0.001149694658190009,0.03971941034078194,0.010226548422714267
CXCL8,-0.04779995047553529,0.02203945349117028,-0.05077459559616882,0.023942534331894836,0.03610842610982633
GRN,-0.018222587497281242,-0.03392934942591362,-0.013024963062657621,0.04266881061688532,0.032418192259497505
MIA,0.004623272315762175,-0.0632074414831482,0.058976751694625254,-0.03505121712175024,0.009411206544060259
COL4A4,-0.04174166603102895,0.025849946331529178,-0.02724274873318256,0.10227941873418182,-0.04025138929005881
TAC1,,,-0.023321807337079642,0.1119732785858284,0.05638341748262726
