,UKF266,UKF334,ZH8811Abulk
BMP1,-0.022795480573549486,-0.009841191944397558,-0.01022573384902603
NDP,0.004428443635889784,-0.006211085611010309,-0.011873906338741292
TNFSF18,-0.01294157950072897,,
IL36G,,-0.016478485958223016,
RTN4,0.0377321127404988,0.02920988290818371,0.04630662106539264
HEBP1,-0.031427336862210026,0.0015294599575928559,-0.03188483274176507
WNT7B,-0.005221664515834238,-0.018111755071870315,-0.031998368060988755
PTMA,0.012590299777333586,-0.02948753591464439,-0.052866265183286666
CEACAM1,,,-0.01793026384382145
PDAP1,-0.049893452649218,-0.026699182135783598,0.005684949098099523
QDPR,-0.06707701734743521,-0.06029505474624891,0.010100394768603521
POMC,0.0482785349052098,0.014754138035155635,0.015410221945090936
CCL18,,,0.021021045473477936
CCL17,,-0.015053564746894461,-0.01272065434802665
VEGFD,,0.06886105186315798,
TNFSF13,-0.01255063234992943,,-0.006657502677679363
WNT5A,-0.021104001404474472,0.019086782782859586,-0.05670532667719495
CXCL8,-0.017852460494358232,0.024976137936981734,-0.025986172282287483
GRN,-0.07773439199580828,-0.018186137638001768,-0.0037190340877198496
MIA,0.07596499645380031,-0.02209539175703648,0.0422467595276256
COL4A4,-0.011941372188801378,-0.021433349723438536,-0.03361156670554221
TAC1,-0.019153634975503847,0.09849228742029345,
RARRES2,-0.007970311071913023,0.05260531946414941,0.013799307194250102
FGF7,0.009868450445319402,0.01892744573412777,0.17935334722434756
HBEGF,-0.02609052327648959,-0.017588767867460147,-0.00498761283582493
CSF3,,,-0.004595428654217524
PI3,,,-0.0036077501247836104
PCSK1N,0.0022265409572545538,0.034764034036123576,0.003613124946819551
NTS,0.08894000649107263,,-0.029675962422629786
SFRP1,-0.004861901548042767,0.05410988262330144,-0.016727543679949
CXCL13,,,0.0026706243204303467
MICA,-0.030941651214751027,-0.023215417697671843,-0.04735933576718054
TG,0.0059158112586899635,-0.02261257835206054,0.00912052169834632
ADA,0.01395609674193571,-0.001565740984318324,0.006754022410649341
LAMC3,-0.042197443505383486,0.0020492851613916545,-0.01288999207499514
CCL7,,,-0.019065328748954245
NGF,-0.01605700492722167,,-0.022018928410073555
TNFSF15,0.03959791811849847,,-0.018586554678454326
HMGB1,-0.035126630473954035,0.011509780220216112,0.0067170765955745
ITGB3BP,0.0038968049415036565,0.0292629032478784,0.023364569368252
AANAT,,-0.020192917218938282,-0.016725672879932006
RELN,-0.019811757262535607,0.040307372616886994,
IL15,-0.013873078340805398,0.01657019841087658,-0.03064211799501876
UTS2,,,-0.014243134568922887
BSG,-0.022588009111353523,-0.02564758242926051,0.008884255367388539
ADAMTS3,0.044079820732314506,0.0708288040029072,-0.050326882971159566
CD34,0.014182898232610635,-0.026085410986771657,-0.013262927830679852
PLAT,0.009910075623465103,-0.03936633221777169,-0.024651447281681046
NTF3,,,-0.052867896961940775
LTA,,0.05468799482363295,
CKLF,0.05947375581503276,-0.05554919590188722,0.06085336035042746
CD24,-0.015908968562577116,-0.008591770579668296,0.036183380145466786
HSP90AA1,0.009908550914944147,0.052853007856290525,-0.04649712612547835
BMP4,-0.015037265834608632,0.046512009572703523,0.08476142483543449
SCGB3A1,0.06585939579179115,-0.013068150544788068,-0.02901823634048273
IGFBP4,-0.009180826878098038,0.02529698525469683,0.04511406074747707
RSPO4,,0.001136953469253311,
LEFTY2,0.019794806611147898,-0.023119506520350924,-0.016184305129875457
ANGPTL2,-0.022169135597853887,-0.022927400206849524,0.02604219029910162
LRIG2,-0.019140140773792738,0.02978428965850295,0.011784345933341262
ICOSLG,-0.029064461002497807,-0.0028525514039725113,0.020811189815894447
WIF1,0.028867445885921387,0.05573066793062899,
NPPC,0.009790966754409311,0.0035351327161024302,-0.012446349034501985
LYZ,-0.01071772923456013,0.059630660923852566,-0.037860782985649315
EREG,,,0.05871820383634285
SPTAN1,0.05784851832097692,0.02512059160549268,-0.00096988848251032
LIPC,-0.021513587263707046,0.04398322299376481,
COL8A1,-0.025745229670661063,0.016642426100816513,0.0029246221441184255
GSTM2,-0.01173155578337649,-0.04470110444351174,0.04449836428853038
SPX,0.006893652267533701,0.014640186376812948,0.02692883236772036
MFGE8,-0.041508947950935696,-0.03260331137468119,0.0481209056036632
TGFA,-0.04664444611368887,-0.020195255601453202,0.022221204005606166
SLIT2,-0.0015238084317536432,0.07408873810927283,0.008434347079350207
PLTP,0.01871593547331994,0.0687618268255409,-0.049398130429495944
APOD,-0.047589622990745734,-0.03702718096289203,0.05310892348716531
B2M,-0.026188746721957125,-0.04229002031573321,0.03397544690452154
OMG,-0.04078161272712712,-0.026581140388151705,0.033075996192419896
CXCL3,,0.011632087507425767,-0.004977777255061732
CXCL10,-0.018962926438836635,-0.021433351077498473,-0.019687397778429764
RSPO3,0.011889354145642635,-0.01409423104866056,-0.033370369557124926
CORT,0.0039806646804297335,-0.017316765076040713,-0.021739520170080115
NCAN,-0.024926576717282344,-0.01016963022438923,0.02206354137257055
PRG4,,-0.016478485958223016,-0.020881810892850353
TGM2,0.009093978641244765,-0.03505077670059967,-0.027056372414200332
VEGFC,-0.01491764723558769,-0.016816951750564732,0.10815314296599163
WNT6,-0.014229503778912512,-0.014676986283518118,0.06453789765301246
NRG4,-0.017419543113698463,-0.01961893573291932,
PMCH,,,-0.019378594301881675
COL9A1,0.002773813436894928,0.04026617032638092,-0.012794874083080035
GDF11,-0.030196531873278303,-0.06261928102862113,-0.04484587995267643
IL24,,,-0.01444821294684666
SORBS1,0.0037566465449601965,-0.007004231766503517,0.06443163151422335
DLL1,0.05846024908133736,-0.047665051680434674,0.03416810825775007
TLN1,0.00805152051265438,-0.01981271121886669,0.026047165083577475
COL2A1,-0.01541589644365281,-0.013692633494926153,-0.03158568755331831
SHH,-0.01682651308858876,-0.013068149402550357,-0.030334159634674916
PON2,-0.0652401119452099,-0.008512677533486576,0.04178506595229544
ICAM5,0.005367703010116831,0.04154329822304845,-0.018060335300924043
HPX,-0.014229504738792968,-0.022985216863880848,0.026185609525473275
SFRP2,0.012841475294153104,-0.025636364811705593,0.06922024980059716
CFC1,-0.024044380686249256,,
CD70,,,-0.05543351213826869
HP,,0.008993905839083166,0.039755411911883795
CXCL2,-0.021992315577560796,-0.025865008525366592,-0.0051263845560022185
NPPB,,0.003667450799179831,-0.014322660995998488
CCK,0.026106368663298518,0.017139224981186012,0.04387458073342469
SEMA6A,-0.022925769281849938,-0.0025962912679598866,0.046438532407876564
IRAK4,0.017252264354598815,0.013737298896434342,-0.03030646438356022
GSTP1,-0.056108254053677406,-0.04163756926084075,0.020373913854769183
VCAM1,0.03495456615988592,0.018321678829256265,-0.04996499513048487
NXPH3,-0.024644976387446275,0.05701861665126475,0.052581982426590575
MTMR4,0.0237308956964142,0.060032251504074874,0.0020370875242505726
LAMC2,0.05838170011789355,,-0.01776275981569737
IL10,,-0.015053563788688003,-0.03380928517220773
SEMA4D,0.007702185870250692,0.03405012361614107,0.006118284353829096
TRH,0.0300865584570695,-0.028409560128595218,-0.012302560221881146
SEMA6D,-0.060869229582278944,-0.01928965248979018,-0.007361722790883129
CEL,,,0.05670777036381188
PDCD1LG2,-0.013691586246671317,-0.025750908917748765,0.01387936702424153
SPINT1,-0.01770923527671271,0.037735065428859196,0.020904672408301687
CTHRC1,0.013671952351701704,-0.023783106108210456,-0.042711538321236336
PODXL,0.032743393941283776,-0.009473138627833763,0.01455323181705071
JAM3,-0.010987126380893856,-0.02995622002032978,-0.04383001516705547
