,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.021310595430860457,,,,,,,,,,,-0.020322177882253902,,0.058768117769626094,
BMP1,0.07659266976466302,0.015799223508658058,-0.03497264640554636,0.044380484983969674,-0.04063035955275302,-0.035568296119376855,-0.0018677594547873442,0.031058042761432824,-0.03266914222582166,0.0036726033913802875,0.07966514910756453,0.03586589161884849,0.07318621734317554,-0.061587140569775996,0.008405821352699582,0.07893692728421176,0.04106801057640247,-0.03592355325366213,-0.022914215452621022,-0.06428605195756538,0.07534974364288782,0.09469723714305775
NDP,0.11820867179811563,-0.015643885872186875,0.015662872213511828,0.07369929134428546,-0.02638527824312052,0.041848474322608034,0.05545160845954806,0.0078006819825579155,-0.043871995335605166,-0.006601582875065746,-0.052224568444027786,0.08092339353422298,0.0837464342010887,-0.11844007932523044,-0.03133043062117426,-0.019336117768468837,0.013152867741075948,0.03391947308774467,0.02506733285218776,-0.006985432866834568,0.03043357237950331,0.052552315139417084
TNFSF18,-0.015688255155443028,-0.026393976236959375,0.015855410843296325,,,,-0.03451805231338529,0.040743545260652006,-0.014462515081905422,,,,0.11293587206832047,,0.0024641968060619824,,,,-0.020957903342463717,,-0.010891791086327221,0.017016130534516623
IL36G,,,,,,,,,,,,0.07679420087504146,,,,,,,,,,
RTN4,-0.0902281755166403,0.021465224604331635,0.009687618544892614,0.05216788611965883,0.005880176494372149,0.017807332366282607,0.007711426496563164,-0.026226090751841052,-0.11053285660738933,-0.0031088873530324248,0.04742569565307493,-0.034406676619096986,0.005058792754746661,-0.0987052444490548,-0.054549160396744935,-0.0520264104279092,-0.016722133075646385,0.056535039895853526,-0.0006243513115561495,0.07139269022235543,0.003362780782491585,-0.0667926549859604
HEBP1,0.03595762880753324,0.055146905309662896,0.0023719706704957086,-0.01030710140358487,0.06380012194250344,-0.003432410197788161,-0.056953738472016895,0.012042959708962513,0.09511868273269268,-0.04425986585238258,-0.004731533459346047,0.030609593838291524,0.005699328964662645,-0.000229402248301485,0.07889766952857642,0.0032673753092344725,0.009762734580519409,-0.00532472968077824,0.015959482020236275,0.033189695596258756,0.044685586194032435,0.014054925975042027
WNT7B,-0.09308568220522233,-0.07322621858255263,-0.04513820662416729,0.002037910023730634,0.01805341544230205,-0.030324753130614782,0.03716564394437813,0.128748230416471,-0.08700018572928392,0.002326364223855002,0.06921882993327606,0.018221979224161577,-0.029779710848726496,0.04766174249720797,,0.024199725853729263,0.05616971316228416,-0.01673389098804253,0.015459830208079279,0.045605346127864245,-0.0031934886273292207,0.010975249951965613
PTMA,-0.1754679582528083,-0.01767385728541829,0.0832196957329138,0.00681527278115161,0.00275813102473576,0.02579343239243353,-0.03333643151027029,-0.025082051403279987,-0.1627842753634877,-0.0397706628707402,-0.02897799186995165,0.04232215452281906,-0.001419592621238699,0.03360523270498453,-0.025677572741241172,-0.09662043031624605,-0.09311674544140304,-0.015242763123947367,-0.013406490938262114,0.04131477066917542,-0.014783060115176638,0.009457900277136104
FASLG,,,,,,,,,,,,,,,,,,,,,0.053839800674951976,
CEACAM1,,-0.01699810953414911,0.049373885181431695,,-0.02814207503270745,0.04520794048201571,,0.013840033372032153,0.055259692642280415,,,,,-0.023779885803042588,0.12714697051298252,0.011893136049495906,-0.03522532388328568,-0.021333516960554726,0.020666766661240267,0.0482693598310353,-0.012326988740138003,
PDAP1,0.061808223564259884,0.02436830849695811,-0.010035052462631231,-0.016192708982106403,-0.018264927434704672,-0.034565590593489244,-0.026685881183614417,0.09682145571180063,0.03756486529101142,-0.009857405064493046,-0.06781203861231015,-0.002906363261238111,-0.032950469641625985,-0.07029881487194538,-0.01577813986163004,-0.008380395875832754,-0.046492269394714555,-0.002154605996859657,0.023012747382712966,0.05504537686352655,-0.0018267632384080116,0.047635273082077975
QDPR,-0.012751558055157488,0.0736372788166977,0.05318300074184545,0.07818954218498005,-0.013473504528441099,-0.04334665933642169,-0.0022301268787776707,-0.15484347198666726,0.044777536842470114,0.009806766939942526,0.005409873989743053,0.009102329335597127,0.036142565692134164,-0.0354480169771941,0.012733604041754236,-0.0646064172747568,-0.007340424293868386,0.1024555818581576,0.05481289028634914,0.03650309691847037,0.07019247055388037,-0.05795852067393625
POMC,0.005910762881737718,0.032385066228550224,-0.007562334873404721,,-0.00811028148611841,0.04351874127335203,0.055853884612038246,0.03097153825211551,0.039349535897283114,0.03470492898571904,0.0195618000475785,0.0627505745391695,0.04932416541097541,-0.011614642871535972,0.002278997409803638,0.0466212787317689,0.007687308500168699,0.07323900321721738,0.024221722655701657,0.07792595363799623,-0.013854469264618474,0.060754243657493635
CCL18,-0.013285327671686012,-0.05272804306608508,,,,,,,,,-0.02551124011696452,,,-0.002275129979274507,,-0.02297413105114541,0.06667978610975404,-0.04902349034652177,,-0.019554919670990267,,
CCL17,,,,,-0.02561073591471374,,,,0.05282551340363791,-0.008119362153295978,,0.0026522725397882755,,,,,-0.01662095055188421,-0.049381367296918464,0.047982290665794985,,-0.02846665040670872,
VEGFD,-0.02008516249391861,-0.011444467909717758,-0.03567000604435242,,0.035086417295849555,0.0978199233648533,,0.01173435110790149,0.031003207719457075,-0.02118065549514181,0.009609787183745114,-0.026466345604308647,,-0.0459952035740188,0.029054891231631335,,,-0.03420798042208033,-0.02825899676440119,,,
TNFSF13,,0.015942582202872337,,,-0.03205671340384778,,-0.03347530987206989,,,,,,,,,,-0.004235595823838225,0.09872051458031925,-0.028732689870729147,0.06287794064806515,0.0884219799743141,0.047810652593726584
WNT5A,0.051814015721462874,-0.001779490752008552,0.03594436274720146,0.008556496208905494,0.026731240204640693,-0.05105573997894984,0.025483507489135613,0.051804996253934324,0.10207829049973136,-0.029662858951297173,0.026249413360065362,0.00948741542966055,0.006619072078233477,-0.0939739388490842,-0.04576991964243246,0.04647444032383179,0.03896841139309425,0.017535405754723742,0.08230152899150935,0.04235821371794516,0.04048830540860275,0.03655985850169786
CXCL8,-0.061555859719103885,0.0057070930307064425,-0.024655727110982455,-0.01925354496400804,0.07892745019056356,0.017451235681812068,0.0031277948490836013,0.026183817488582072,0.03409954916181258,-0.01972434736259473,-0.04371100763153859,-0.005374620847147765,,-0.0016427092625920729,0.1733044193390435,0.04644740417987807,-0.02357930350146951,-0.108113051142935,0.045237707522442605,-0.04312311092931918,-0.010212425566002273,-0.07959036821001317
GRN,0.025676986632183763,-0.006970450888102855,-0.04114529779346219,0.041582484920280494,-0.02068224329953369,-0.06971767391512255,-0.04645114299543345,0.029914613375232758,0.07013461230693854,-0.02750236888083461,-0.004426958701398458,0.056346579203557054,0.053719209551855024,0.022984186604299208,0.0044608687113274,0.09016396693358016,0.02514877812526617,-0.016419620918908175,0.04254440778701093,-0.015458905577469945,0.07301242204442009,-0.04155509858968541
MIA,0.04874768085905817,-0.033530830456164694,-0.011176237037226542,-0.028096926982977593,-0.03164316897527381,-0.01199602172638992,-0.005273164550943715,0.10117511015266549,0.03155036117568569,-0.02408853502121043,0.016621187773900786,0.0019080854512023482,-0.005758305795415433,0.03481541025615689,-0.02507159879141242,-0.022015543882118262,0.15854231719952322,0.08708830492663322,0.01782875396751606,-0.037836346457770606,0.05502215148429684,0.10960841847682037
COL4A4,0.0618133079073649,-0.0019703414871915046,0.03395647523404375,0.0768930712602599,0.014595472184130574,0.01983897815670132,0.03736029410371923,-0.016819938563967962,-0.029870299284707,-0.024560480141788583,,0.023580234521388327,,,-0.03257769655633889,0.06752723040122259,0.10069735770026254,0.01657453141550149,0.03272796612122994,-0.02333541322302891,-0.018905596041823684,-0.03942901839416828
TAC1,-0.0628741907628828,0.091996143039154,-0.018414778226508367,0.0898655066429628,0.04350028500319543,-0.028827097539796218,0.03335838446876064,0.06936468345104145,-0.1719825042843238,0.018869205229604512,,-0.031097023555405157,,,,,,,,0.019173939490060556,0.0679202840570438,-0.021686662566442083
