,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.017423249666328588,,,,,,,,-0.028217341882466305,,0.011071610730015646,,
BMP1,-0.0046778720187017914,0.012309277324713357,-0.02840854476565959,0.005009776187339535,0.03601477256671719,-0.0630555990964767,-0.07343011745720185,-0.18532040856159449,-0.04815421508141488,-0.013781132228388976,-0.08966741330800988,-0.14675174361576232,-0.021185294190682758,0.04701744579419571,-0.036428748443187164,0.06480612500459368,-0.006911829403958188,0.019303790665357243,0.02402270329597194,0.026213874470399984
NDP,-0.015682624486207587,0.006951237808066243,-0.030713582127359515,-0.05136486635403857,0.05724839051562981,0.15769203885410576,-0.004301352928892012,-0.03606015383843139,0.055701327931206523,0.07306719384041285,-0.05370656784987081,-0.022139507037491478,0.01896313111702486,0.10874650677031299,0.04980095056676763,0.007277721831497969,0.053902843944970094,0.030639617922810017,0.01151331637346195,-0.07326792064324243
TNFSF18,-0.03615721586071931,0.011940220504853598,-0.02378581441220727,,,,-0.031345272575747575,-0.050771389675553696,0.001971388507938109,,,,-0.022534313747659872,,,-0.02910004661805437,,0.005756151355714963,-0.021757597345578427,
IL36G,,,,,,,,,,,,-0.01680317153679251,,,,,,,,
RTN4,0.26188270801832,-0.022241669276657404,0.060676158049758996,0.007939896626090768,0.062402778871983505,0.18848705614072991,0.12532414683166349,0.22564389739676788,0.08767227014325035,0.020282585320585828,0.2754235071944807,0.2625296037843058,-0.01534684676427599,-0.02990172734311385,-0.054504589300174724,0.04507368158537456,0.00369208510417802,0.006892158995762241,0.023518523636484722,0.04650547919177147
HEBP1,-0.05525909250410235,0.061303042919318776,0.06557780990837876,0.031213669994161503,0.010301236350906772,-0.0007315818966265469,-0.0129351880419367,-0.07585875702748557,-0.005001425930453018,0.01806491741904406,-0.0486294431952807,-0.03061394962207159,0.013169314559399922,0.0003297335971344942,0.04323321512455543,-0.04155971224328912,0.07781205362040766,0.07817099885938393,-0.01586318730846085,0.01930604873092185
WNT7B,0.28675828383675644,0.011976760586615964,-0.014775010582194175,0.05386214331541261,0.010166744633054446,-0.01021507876367899,0.11165298666069433,0.1621732418177022,-0.0319573833474838,-0.012957096450747886,,0.14291061766631608,-0.024808079965244183,-0.0405934809202356,0.014708938084075154,0.028188095517499887,-0.011560025028262913,-0.03952098112603789,0.042237193289213104,0.058887912509429756
PTMA,0.039882227605444305,0.06886063103443302,-0.03299555630405219,0.053233966389324,-0.025521480432077196,-0.14394354166388657,-0.13996989552424527,0.04583148197955568,0.12729276302903716,-0.06510947047038662,-0.31227473507837455,-0.2535879857409612,0.003007337720788094,-0.051987858821361616,0.06155346925442292,0.00207973503244682,-0.09114766591333777,-0.003770770232851137,0.024081034705498796,-0.0410484540593084
FASLG,,,,,,,,,,,,,,,,,,0.004864072441703616,,
CEACAM1,,-0.005168054610041635,-0.011338931964786763,,-0.0076007020065353564,0.01349007592345511,,-0.08790870619410521,-0.0035337156930031785,,,,,-0.04322648148472902,-0.017374740346104863,0.01820990398917108,-0.02263719283716791,0.007891493543854863,,
PDAP1,-0.05670111752624153,0.10216742302230628,0.001806697991077091,-0.0025307227615552663,-0.01737464272196654,-0.0634633416304208,-0.03356153060315683,-0.12180710067932354,0.010896452519855621,-0.023270116662347674,-0.025465747344651724,-0.13830657648000433,-0.007976683273064767,-0.01740512065175177,-0.02603257469751351,-0.0075075424462168455,0.017655813244263765,-0.002547278722202669,-0.023929927546481183,0.0041985442709436905
QDPR,0.15387915861263096,0.0597252090890015,0.02156583859407614,-0.007626175918823708,0.022064466915801773,0.1567775830442808,0.02536636701090435,0.07351386643593016,0.15101876424268237,0.02965469831215565,-0.22140320468927951,0.08259301178955802,0.023985033472651344,0.005995210256551217,0.036287244101480376,-0.03478565816201625,-0.05063623603578166,0.06279091398835832,0.014492508230327609,-0.044205925112686555
POMC,0.1114714801918844,-0.0675242190848635,0.031159951537559974,,0.00630289433700603,0.06941606544824334,-0.003967108854107563,0.014355052557786388,0.03597019240566352,0.008422456887688555,-0.042797518873882195,0.049175907809809426,0.06363087212735853,0.03027342941333029,-0.03537193023245168,-0.010224556206077502,0.005986192700246991,0.04230510532391633,0.03384464895147652,-0.01632124042083995
CCL18,-0.0216361872578914,0.015113920106062498,,,,,,,,,-0.10403870423517289,,,0.041721032116262734,0.02353464895571241,,-0.0456090980763365,,,
CCL17,,,,,0.008556047216509113,,,,0.003654328445792975,-0.021633258547453658,,0.01227627676374321,,-0.030667096392900543,-0.014725747118804708,-0.022795086674114666,,-0.02439276501003484,,
VEGFD,0.07628451907693594,-0.023869657523517017,-0.016240745116824513,,-0.0224814493597269,0.08689126073384441,,-0.032694017758724304,0.10290291002837176,-0.009363574489867976,0.08470232816380888,-0.03489622842570666,,,0.08722097010872432,0.06781894314132281,,,,
TNFSF13,,0.07081724510126698,,,-0.013918908040863114,,0.011654430377351725,,,,,,,0.023024765464474985,0.047986872138125,-0.014605179617863957,-0.025420050354084633,0.015372177398297842,0.07468214619248192,
WNT5A,-0.06602133320167754,-0.05977559475445795,0.00403905610352627,0.05839280700874309,0.012007016427695937,-0.10083716791083222,-0.053910943064628986,-0.1569985397259835,0.03582920916602132,-0.02764878376197562,0.17092118266850648,0.017428180086904943,-0.07395846051883792,-0.023723268764614818,-0.0507927898498332,0.005725207605604944,0.021270058434357402,0.05167669320036698,-0.12561170847901781,-0.10616745557885893
CXCL8,-0.10061412220662534,-0.03026043747577479,0.06973038673597665,-0.029575176541367765,-0.03674881754585443,-0.1009974090692025,0.034563491227565274,-0.06252624715411204,-0.10124256274921277,-0.021091202258327692,-0.0989999837256648,-0.07765469804206605,,-0.0631796654803217,-0.05090506194713585,-0.003751798194883168,0.07581246555042764,0.04084060891793527,-0.0534717174109867,-0.03180891582046861
GRN,-0.08896716266912862,0.0002576079768799526,0.029905377295545512,0.03288586865769749,-0.06382350458761298,-0.07461191977915795,-0.10428391637450915,-0.18256254513990944,0.031078436749721737,-0.08072139764500381,-0.1719385278841264,-0.007666669155717598,-0.046204371235332053,0.10424685283861874,-0.04781837091151859,0.034159873964420995,-0.0195044784913041,0.004843741210148895,0.023064248121294373,0.008273313844617342
MIA,-0.037863964018616955,0.03886350845213056,-0.01444338294574232,-0.04210409624098559,0.010926899412332809,-0.0555505214159734,0.016136649700825557,-0.09326823796410148,-0.05914837097846534,-0.025757818745508265,,-0.005636100816086541,0.14694161382241724,0.04073385671808989,0.13039373299715767,0.02535551321005478,-0.0165943280192684,0.09578201028793477,-0.015513717622387888,
COL4A4,-0.05499848582319454,0.023192164165584665,0.027903184332082574,-0.03203889060492417,-0.0424319800292117,-0.09874270550637683,0.04972352214130082,0.0011773703132387811,-0.00024579153321450546,-0.043271087041082144,,-0.03892785688783582,,0.06014040855876001,0.07096364867436812,-0.01908449385004715,-0.0019336629145106717,0.0029999731265817355,-0.05355797373302021,
TAC1,0.28252628342629454,0.032550115135827916,0.03749935450066193,-0.030598147565185377,0.0014173902453886939,0.21093337997676861,0.13198203588263274,0.265578568655605,0.1506180786227984,0.018375486568298183,0.23798427836292582,0.2037138961887059,,,,,0.05443288605472099,-0.032066769966435614,0.000267289063082761,0.09488573046235985
RARRES2,0.14701670691828644,0.04867951556243887,0.014783834956935972,0.06441204258960172,0.01600148436029565,-0.17490265428593435,-0.06172596250021407,-0.20171466422914622,0.12829782867825415,0.037273055554283646,-0.05042078004163002,-0.10145042498094294,0.06903591769794458,-0.014271056106796598,0.05005327149998219,0.0008176593275135851,-0.045051695442190565,0.03246614738529345,-0.02216008927448328,0.010392297217887217
FGF7,-0.04963180971203848,,0.00015274595912826184,-0.0380998642838261,-0.035768855420518796,0.15421743185812628,-0.032416992650236384,-0.024986240039697287,0.000570299377345581,0.007845695223641811,0.033534434291699985,-0.04507294504107611,-0.013316292346261544,0.029716907943301105,0.0658241626973342,0.08630765114246935,0.019104162236995008,0.020548954063780548,0.0013886833928949181,0.007170930978189817
EFNA2,,,,,,,,,,,,,,,-0.02955439087210763,,,,,
HBEGF,-0.05590555362747708,0.038445643787399515,-0.012111062885375612,-0.04431995793526461,-0.012365409212279065,-0.07996742727680438,-0.07929849673365379,-0.10023546939000562,-0.11862136032045592,-0.013007768990843034,-0.09978792777691649,-0.05396378406178898,-0.08758066590512593,-0.022866198890787323,0.056067621879905626,-0.036090857029818596,0.0123119613299636,-0.01506162268545141,0.0018648152537789748,0.035084783073879536
