,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.02500418201004389,,,,,,,,,,,-0.0009041028296641649,,-0.014402006198922407,,
BMP1,0.021519992020469468,0.06980495603005853,0.013847119419726982,0.0318089283961806,-0.030724154326102003,-0.005964878389981436,0.041725181607503575,0.032031006302648254,0.04810557281587789,-0.04196994090587298,-0.024892929472339526,0.00811683207827646,-0.04680700474092062,0.04718905165390457,0.07176990614902484,-0.04649635468463981,0.07522521115327535,-0.013529990179872537,-0.020827914586878653,0.01692613294140112,-0.03607159431516135,0.0445333690641824,0.029474008580771715,-0.018797450252142647
NDP,0.012208949547382818,-0.0012920666048572785,0.012086825522949545,0.003397873238154375,-0.025751274977569343,0.024630428445849922,0.0904186927607995,0.03926316771829261,0.006237337421997873,0.02004983958042508,0.019089726925841124,-0.045185563188096044,0.03253766678068773,0.040948412526494726,0.02178892519395398,0.029817881755112362,0.038037315272753926,0.001029512731632284,0.08018075818074515,0.017634257346135856,-0.033195252860296065,0.03321903784728128,0.04223767923814471,0.040584680835911824
TNFSF18,-0.005858964157164703,-0.025976076041159982,0.05131620729461987,0.060142021980360325,,,,-0.02084222873972771,-0.01697353613521285,-0.007980898519708672,,,,,0.25583426613362953,0.029300952142013576,,,,0.057685690948011806,,-0.039650652207955404,-0.0045483027079296695,
IL36G,,,,,,,,,,,,,,-0.018982333532301814,,,,,,,,,,
RTN4,-0.03430826215427415,0.010457529456264988,0.03129833061102753,0.008786754917132496,-0.04810175216391859,0.017970547937725203,0.09704972706681375,-0.08627393431262602,-0.07335976014002918,0.0020555596049086607,0.008223779559765708,0.1548318564171262,-0.0018779791232013154,-0.0067789093564713755,-0.07030008234988383,-0.016570578368432395,-0.04534767591443734,-0.013741141382097222,0.08882902915594576,-0.010116843837091534,0.14308390968967163,-0.007431041069924889,-0.035661178135875604,0.09757482083687356
HEBP1,0.05590663799300867,-0.042435126231605454,0.06856754645226652,0.0554063715500008,0.028033458226133456,0.01330989074216087,0.023116471280532486,0.05195803792523861,0.013537267180204916,-0.012250832994834758,0.06867170474321525,-0.06024658170614402,-0.0396746573051848,0.05894069948149498,0.041858762133160136,0.008952907368158979,0.043783238633379094,0.03177028089179472,0.05448089419745584,-0.003780190363678665,0.03079761041796452,0.015265854557622574,0.03498240095122507,0.040748777603574565
WNT7B,-0.022173375814249746,0.0012866856783698,-0.006917720500382607,0.0769285565350968,-0.03528710326768978,-0.019048349936300224,0.0302479064555566,-0.037203781333029554,0.07101360401227731,0.016975841486538336,-0.017649499688699492,,-0.05242990361415043,-0.004437617533764992,-0.02613147087996966,,-0.009877538091329846,0.009974328208411277,-0.017018611918106087,-0.05031340180774432,0.018941500378543107,0.10946997855630544,0.060523475883983976,0.02222645524976005
PTMA,-9.466366194901162e-05,0.01309416080878266,-0.009356699692940128,0.0603714113986601,-0.021546168611791636,-0.012221946650727955,-0.05053392195577526,0.11989693931326328,-0.024176773092592457,0.020517305458399804,0.006018270721010079,-0.17066681041559856,-0.03955820127823608,0.024775366629524318,0.06349320342449909,-0.043759746096124846,-0.11697672666385925,-0.05794242901369897,-0.02453960121249519,-0.05433103728398732,-0.05790713390493481,0.0071159826980178205,-0.0675569597551202,0.058260341055670496
FASLG,0.06580896864868134,,,,,,,,,,,,,,,,,,,,,0.089864474256388,,
