,UKF243,UKF248,UKF266,UKF269,UKF275,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.014337209890086288,,,,,-0.019085631539185095,,,
BMP1,-0.022308582020402267,0.005105926063874475,-0.023083537535628584,0.07198766460769791,0.012339597363335874,0.07104794491306222,-0.05003843330024164,0.0006367901187549535,0.059797420250220244,-0.009224913606908358,-0.03318241019977251,0.00959768072209276
NDP,0.02404245726477467,-0.027988330235831776,-0.04058561402047387,0.012733112296183393,-0.027184745713373978,-0.027299651407478778,-0.02878076641073714,0.008844106287809643,-0.01413508012749928,0.010566861754705255,-0.03740304116614786,0.12554164740000687
TNFSF18,-0.025285699813197796,-0.028201999845299367,-0.012941574946827605,0.10512109814443983,-0.015018611090001388,,,,-0.01968267492518156,,-0.03202298900890727,
RTN4,-0.08679673666263958,-0.005342492535900501,0.019964119161624543,-0.10793876089821743,-0.008357523191943692,0.02440792066485046,0.015275040228025208,-0.044117996467614974,0.010598068853292232,-0.04191353097636479,-0.0732356926995458,-0.03323614901381131
HEBP1,0.009247122897524792,-0.0033205685930751037,-0.012479229681343984,0.024819365704185876,-0.025579544383862785,0.05823320754211027,-0.016415069970461993,0.028647130249218836,0.04720321226345935,0.03685134428869403,-0.016383416538395257,0.06962008574053273
WNT7B,-0.05901710444408713,0.04016577347167685,0.018431073117364933,-0.03271813703842403,-0.01528788749464288,0.08953606267977639,0.040124582135265686,-0.018720286174945183,-0.041158065555524245,-0.03483557231834931,-0.0044610829364700715,-0.03860987056182621
PTMA,-0.023325296859006892,0.08075465208591924,0.003711195105362799,-0.016963521463687764,-0.021131554847411117,0.035108916325253994,0.02522400371654566,-0.0031433345683410936,0.005932777309381476,0.026267543558528433,0.10190356608703326,0.00903477421196684
CEACAM1,,0.05897273170107751,,0.14070029210565527,-0.023620697300215772,,-0.024485774577619367,-0.022250838982238678,0.02791723135275385,-0.02312087598581714,,
PDAP1,0.005369829579338505,0.013390071262925204,-0.01365103242937256,0.05918604653001075,-0.016171613915936738,0.010660022043186146,0.025112753362448108,-0.018120641620989298,0.014564600173918021,0.03080172585367979,0.04197766742676127,-0.05526437442923904
QDPR,-0.02615081484906524,-0.03745393659807937,-0.019250468533821324,-0.07620460013204891,-0.0006479166347536956,0.04628380362537038,0.09708792578744252,0.05566861033022627,0.05249202280253401,-0.04754499630741632,-0.11534419987889652,0.10371876159746746
POMC,0.1305139297298327,0.01982754466271181,0.03506044459683047,0.03221693968344029,0.04738603820099722,0.024253426834275643,-0.034212041305466116,0.12961457943908183,-0.024173070051530368,0.01326029156294771,0.008618736644559095,-0.05780839648534418
CCL18,-0.03391020254660859,-0.022399654438182738,,,,0.0305031253824058,0.006148439402850548,-0.024727535431663665,,0.03053205227962445,,
CCL17,,,,,-0.018731132062996217,,-0.017371471918017804,0.0215866375934257,0.015098952433576646,,,
VEGFD,0.024000534935333214,-0.022399661551122153,,-0.02401867243305013,-0.01995643691217525,0.11658294086960432,,0.04999198278926054,-0.026539517714947163,,,
