,UKF251,UKF259,UKF260,UKF275,UKF304,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.01370439188797533,,-0.025018555471471107
BMP1,-0.05230264614763987,0.0527459393799687,0.01523083958973966,-0.004620573217332954,0.02321011383613797,0.02603903982445447,0.07145526225696905,0.00792517283417952
NDP,0.01638098699756544,-0.04945280041739993,-0.032528387267481404,0.018226449497363833,0.0018572106740912429,0.10239907417980228,0.02319318578585595,0.0605094842503887
TNFSF18,0.03198194479497778,,,-0.01924603147916309,,0.031273914116274594,,-4.6506427274710626e-05
RTN4,-0.017049528356806815,0.0018610191273557802,0.008604408000596022,0.008843688991432017,-0.03537505782634833,-0.10546241440631193,0.014817213478435188,-0.011922759293954794
HEBP1,-0.057946398355651345,-0.008466485043544343,-0.0265318801458452,0.03533607474354733,0.024119125916245945,-0.04939696639062067,0.009145837976682235,0.04035497270126965
WNT7B,-0.0193862488375992,-0.03233863407390126,-0.03606457976225011,0.02594779489732403,,0.0011349433694847356,-0.01147373143959353,0.06571706773040786
PTMA,0.048579648731500946,-0.038458142854766786,-0.049189010732166215,0.017969705508651145,0.08895957855111751,-0.10585963618531034,-0.03735121251205835,-0.08398552635025605
FASLG,,,,,,,,-0.021698584625203358
CEACAM1,-0.01487777997850472,0.11151128481447306,-0.013668939508414437,-0.03026942245693996,,-0.014060484385065209,-0.017163926928969706,-0.030190393563982874
PDAP1,-0.055261547109483417,0.017305260178375175,-0.054915649398065224,0.05393442319625668,0.035866939001204745,-0.015028776078121763,0.011821445121717561,0.025288096909039277
QDPR,0.0021358793796612467,-0.015133403789371135,-0.018139779716702595,0.02953777548534035,0.06079508089519081,-0.053051870451669744,0.03345867910512353,0.0628529844238029
POMC,-0.02643544138213897,0.037217059677058746,0.00151250666132452,-0.02233157298810183,0.008169311556074078,0.02806344731186975,0.0545247626472412,-0.020140441249152503
CCL18,,,,,0.070097186516501,,-0.05910819972493163,
CCL17,,-0.021643798705944517,,-0.024003548341749694,,0.030454493234912533,,0.15079035586104006
VEGFD,0.009588421589275005,0.02497942598760771,-0.01307766741146677,0.0507872773688814,0.015939285457254496,-0.04365689935996997,,
TNFSF13,,-0.014929407944841848,,,,0.05121392438036053,0.09795563771811103,0.007895579435650318
WNT5A,-0.026340624260566655,0.022481389987014076,0.007146538171537774,-0.006215177679849132,0.07983222161244678,0.0460095021294348,0.026571250148170883,0.029798569810846245
CXCL8,-0.01995289178953702,-0.022297373103215893,0.03218350911876798,-0.0067697891851495,0.14380650619674576,-0.0026552757153782765,-0.006390668211930869,0.005957836276533813
GRN,-0.0005861960305788878,0.00907004978573761,-0.04285184553119172,0.04270924029293022,0.07194983717279425,0.09862342126299725,0.054190309620892274,0.06673418236908034
MIA,0.050717771839364344,0.02591252530168914,-0.019069346672489485,-0.009523019270920582,,0.0007968573506312011,0.08144571251200082,0.000539128194799712
COL4A4,0.03155802459324187,-0.002439635320367867,0.000845340781179599,-0.0025009989830629877,,0.04051873012425157,0.012690766058834494,0.05435353736273629
TAC1,-0.037463083723805565,0.059749685852980926,0.0007090243642531083,0.02348986130223422,-0.0031111911525418413,,-0.029612663654755195,0.022593118713542894
RARRES2,-0.02754259422115436,-0.09880061247069245,-0.012610954480319994,0.013463886289614318,-0.06189659705516665,0.03065014135729941,0.004652954527191007,0.04518377803549132
FGF7,-0.024051637567787876,0.002903443258450382,-0.025039929741452565,0.021540242783003608,0.05614223299844442,-0.036062512302535744,-0.06147779409299055,0.029796234391261382
