,UKF255,ZH916bulk
TNFSF13B,0.07170202283146981,0.011028636817301159
HSPG2,0.023103727947010506,-0.14546192046719877
FAM3C,0.0988591833695458,-0.02195395252720464
FLT3LG,-0.027417384015302058,0.014073670918764805
A2M,-0.16047619252721798,0.07561079254312085
VCL,0.07559524589207424,0.004870143111004064
FGF2,-0.007064525406805007,-0.004494356372821114
AGRP,,0.07716458827612471
CNTN3,,-0.041215408282365695
RNASE2,-0.05733854937455144,-0.007999696549045067
ADM2,,-0.00040294568948628657
GAL,-0.011172307430077301,-0.03564192816484045
IL36B,,0.22947378686720005
CXCL6,,-0.02391568755107784
PDGFC,-0.0572936024749359,0.029062991609169826
COL8A2,-0.059558952733453005,0.01122484620155775
SPON2,0.04320620684719286,-0.12508091695410428
SEMA3D,-0.0064969107224226285,-0.04152872099801372
BMP6,,0.02036132967002272
TIMP2,-0.21580674715073767,-0.10014428378008496
EFNA1,-0.12421616097284877,0.011383366294737195
S100A12,,-0.01971079129811219
TFPI,0.06370245997322126,-0.1112456799459399
GPC3,-0.09295360870744547,0.012038672024497155
NMU,0.038127464344278335,-0.04822546402801868
SCGB3A2,,-0.023004654055469236
LAMB3,-0.06274513877714542,0.03825457592681048
LGALS9,-0.13767614837824008,-0.04218620169143586
VIM,0.06952928983827311,0.16937655372478716
PLAU,-0.05659326069068365,-0.07184201800795896
TGFB3,-0.055747949673927585,0.027512193016024807
APLN,0.10780748949836154,0.06372097952477886
SHANK2,-0.07280000642469737,-0.03400995264983669
LTF,-0.11908799595808836,0.01562180497903532
PYY,,-0.02096437306787829
PENK,,-0.040624543991771525
CTF1,-0.049301241061031426,0.00853101464882173
COL3A1,-0.046139280019188184,-0.16307836644091045
S100A10,0.16908548700079204,0.20930208482167534
FGF13,-0.015850074666715067,-0.06677143825721196
SEMA4A,-0.057615717281676374,-0.023702333644260085
EFNA4,0.059539041750987676,0.05932386187585931
HSPA8,0.04627593481966944,0.08648483788662091
NPB,0.111067645447359,-0.03778766813389252
ULBP1,,0.1739505168211065
SEMA3E,-0.10598874194802282,0.0276211611785315
ADAM9,-0.04701228400150486,0.023804693821457917
ASIP,-0.036983802247291135,0.010723145122302801
IBSP,-0.10156740730721935,0.013329197095673184
FAT4,-0.022212302975633133,0.02494157780913088
MDK,-0.09087100221041511,0.023490339096319646
BMP5,,-0.037309866645050004
CAMP,,0.005838557467538688
HSPA1A,0.11464021842616716,0.10311779760081081
SEMA3F,-0.038620875474723315,-0.07838338636657172
ARF6,0.07375952431926358,0.0707973078862022
IL6,0.15087970090999045,0.08508719500101833
CALM1,0.05140653253199802,-0.1484182292375378
VIP,,0.01092379519045449
NMB,-0.09806678176898706,0.12781674298782386
CCL26,-0.0039734735297371655,0.0050143754813066575
FBLN1,-0.03765818044939015,-0.06546877145569532
SAA1,0.025728450066008143,-0.003907919491120105
MICB,-0.05436024336475457,-0.0009135187274943292
F13A1,-0.10788526133492271,0.0414229427810123
CXCL11,,-0.04480844340718609
COL5A2,-0.05201220637582414,-0.06767314878890854
EFNA5,0.17379323852656173,-0.03751646427805753
AREG,0.1257461723079287,-0.040496173438869174
EDIL3,-0.09937242762093895,-0.13164154238913248
CD86,0.04022928387622526,-0.0035782918948654326
HRAS,0.053327840266325144,-0.03395705350649697
C1QTNF5,,-0.054189610195952594
COL4A1,-0.036234459125554806,-0.2016270712376635
CCL3,-0.060074495900518186,-0.02957940269027215
BGN,-0.13758164030030304,-0.1703565032617539
RETN,-0.03022856969911784,0.06310035281473163
S100A9,-0.07362675131895888,0.046317717370995694
HCRT,-0.03114683142549697,0.027890354555728872
FADD,0.028238240948196113,-0.010090223947706312
ACTR2,0.027612604142537342,-0.04024472277544029
BMP2,0.22503934235009734,0.1527456611309862
PDYN,0.09346821433945834,-0.0659503809861388
CD55,0.006112878302587861,-0.09803787456671888
OSTN,0.031062032910620714,-0.041040749557898035
CD6,,-0.040160957653824096
IL16,-0.05181203304611911,-0.08632114963757408
LAMA5,0.05238172794485385,-0.021630176363579254
RGMB,-0.03689335788152143,0.014575523483417507
IL12A,,-0.021884884270198468
S100A8,-0.10174837715017879,0.04212573775083965
TAC3,0.01027123484615016,-0.05669344276480176
TAC4,-0.07571599474636624,
MFAP5,,0.12944683947369687
CXCL16,-0.1536473069379329,-0.0209824195453892
AGRN,-0.23224039992402412,-0.09698406719227674
COL4A6,-0.05681571152125227,0.056093874099304324
FST,-0.04279345739084834,0.14704670029923655
MEGF10,-0.029688337853771195,-0.03828332297626203
C1QB,-0.14921806542727598,-0.12129922157361854
HLA-B,-0.17181820348489446,-0.12958136894570366
PDGFA,-0.11982302030101949,-0.12195311017748524
LAMA3,0.002519219653647349,0.012785185846182389
DKK1,,0.07679285633454018
INHBA,-0.05401579875372272,-0.029153340478636578
IL7,,0.06135116107820955
FABP5,-0.08305477222899113,0.07961810900660785
CCL4,-0.012564056664376842,0.00957045542647597
FBN1,-0.020742089918998584,-0.017211362190089858
TCTN1,-0.07576792236125965,-0.08322804958413627
NCR3LG1,,-0.025911847630582654
BMP7,-0.04220186226875801,0.07250799138932974
NLGN2,-0.17362618852613285,-0.017610337350967797
CCL25,,0.04783766975314351
NPNT,0.14600318647258356,0.04723439302772303
KITLG,-0.018938798412095965,0.06116197559976062
MADCAM1,-0.04541639558309732,0.14975880184424897
F12,-0.06672205300599195,-0.016054771192038853
S100B,-0.2643161339304904,-0.14277786914999055
IL27,,-0.02215157769992933
CD99,-0.05416549323459369,0.07476623743297954
PDGFB,-0.04729728419462367,-0.10924835638392198
CLEC2D,-0.0009690709806545999,-0.013799475376025619
F8,-0.033495185107686315,0.039224128815523576
C3,-0.19092969855206943,0.0009997683012474355
DLK2,0.07862473377842137,-0.04696937094034246
TSLP,0.22520002012214463,0.10464767056547358
OSM,-0.02204797919704644,0.0007813439294369464
SLPI,0.004780713004172382,0.11207760276057878
AFDN,0.022025959255560425,0.04460932856155095
ULBP2,0.02836265084947097,0.04226951241608661
ICAM4,,0.0554379848277144
ANGPTL1,,-0.024890467444598337
LTBP1,0.0838249987250741,0.04444912298258014
NTN4,-0.09367850365734366,-0.05243511968559762
APP,-0.18672848888783772,-0.14440728829706817
RIMS2,-0.06432619494437719,-0.08841236809575397
WNT7A,-0.04762855318295405,-0.006047256945282247
GAST,,-0.03427183348000658
GPI,0.19196380872703508,0.1422146423797611
IL1B,0.07763539128935201,0.0625877273844713
SFTPA2,,-0.020964368032877066
HAS2,-0.11001339780271997,0.0733718917028392
IL11,0.21138944314341998,-0.006913858091054328
SEMA4B,-0.020556298140721723,0.009439118110957134
FGF12,-0.19548996827275575,-0.04720648999668446
CP,-0.17755463137050906,0.0511531439273726
NLGN3,-0.1525841696473823,-0.09155987714033796
GZMB,-0.043777939819365425,-0.013274005298368412
PROC,,-0.03162813806202103
TNFSF11,,-0.02186038965170104
AGT,-0.1568027056330281,-0.13256407608570767
PTHLH,-0.015999407620228268,0.009613143274676616
COL1A1,0.0011573454692370452,-0.17418941862721968
LAMB2,-0.08792180198236478,-0.038900652384882245
DSC2,-0.0319382810822734,0.029786431636870024
WNT5B,0.0898318529153572,-0.05119231892257687
LEFTY1,0.034764281542560525,0.06956951569778325
FGL1,,-0.027379490712528317
CXCL5,,0.051454702114741284
S100A1,-0.024597548167834625,-0.03519573183962228
NPTX1,-0.036983822830210344,-0.13979611705214642
TGS1,0.004241897817507866,0.014575689357485166
SST,0.02836560407081135,-0.07704080970860262
IL34,-0.007542122749369009,-0.08455676622017506
DHH,-0.032911671561789514,
XCL2,,-0.024890450615948734
TF,-0.15545180487112917,-0.10872790284182456
IL33,0.01826847437402204,0.0517828999633936
RBP4,-0.036595232743841556,-0.059181935522539524
CCL19,,-0.032046806311949394
CCL20,0.12001558752439619,0.11310084441960196
NAMPT,0.17934309872408252,0.09640177055775372
