,UKF248,UKF251,UKF259,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.06670613443571685,,,,,,,,,0.03721737851624566,,0.09445110485329322,
BMP1,0.10502602847105301,-0.026046528446912184,-0.010761639571824341,0.1437508274053629,0.0039768201834389115,0.07155503758316957,0.012813856139514964,0.05921883445867369,0.036787792193909256,0.057693467485548273,0.07800311905009621,0.0366579280070743,-0.0010134752784649234,0.0215643096787629,0.09488429608866274,0.08922062544936768
NDP,0.021650664488768973,0.024151312784725834,-0.00764027248471568,0.061428736624151214,0.022916628799877613,-0.014274340923744609,0.05886741499775315,0.0400246680910283,0.05871274084800146,0.09621867858979191,0.041108344834961785,0.011373260766215714,0.044000961002144824,0.011450297346211781,-0.023806476524258942,-0.018567847678378116
TNFSF18,0.03164284160406636,-0.02417022000735097,,0.13328962841731884,-0.012622089051545443,,-0.03932406457790505,,0.0035548746425723486,,,,-0.018788977801622524,,0.004035316229395604,0.005878598443983411
RTN4,0.0330599826642586,0.006586628916104798,-0.015515145649239427,-0.13888009480944472,0.037275450105479405,-0.03885624890187936,-0.057429273181065214,0.060868792298734244,0.07664622252348009,-0.0778453221238463,-0.019999815461601463,-0.025846039673684287,-0.04773512836927256,0.02266919278528804,-0.012906076803701311,0.002892728027878175
HEBP1,0.01463921071804927,-0.024765243566220257,-0.007518805631137214,0.0480659966570701,0.0030576914113168967,0.040257935595435244,0.04304202659744458,-0.024054184914203587,0.08205119372708541,-0.004409284074233475,0.033165600572219275,0.005020544637668371,0.012535534590508659,0.01751480223126673,0.04742328318028538,0.019031888378074686
WNT7B,-0.010414107483813457,0.0922392490424305,0.004977638451620433,-0.015721594534090246,0.029823728744373768,0.0631172060954594,0.02609886542061065,0.008351201899521068,,0.035240399207443825,-0.051599170351091794,-0.012439536761565053,4.6237232742703465e-06,0.06222277198535003,0.014961599136484408,0.008715041510559638
PTMA,0.020168877117854964,0.01550511596971127,0.02415455090522431,-0.11035348526966136,0.02799731064358275,0.1976589513720312,0.045965766302453755,-0.00627778767519368,-0.07110060408508768,-0.01664757888319146,-0.11939169476749678,0.037160077283971894,-0.01690809854593883,-0.023025846368459474,0.06212620261735327,0.04656251041642566
FASLG,,,,,,,,,,,,,,,0.0009450104414867578,
CEACAM1,-0.007778269612200558,-0.01152218189748534,0.08343327200754783,0.01905473686262806,-0.005728676944106161,,,0.11381417076421776,0.09385746176224528,-0.04030114755088653,0.07525114742534124,0.012024909286236155,0.1828243991235229,-0.0146464306847798,0.0780529086091557,
PDAP1,-0.01433327301497301,0.05198571038410677,-0.0020056088951435048,0.07532492138637771,0.03615863923958027,0.05515829260609293,0.06798915092178338,0.06702878423692009,-0.002454397626621489,0.02416846502600813,-0.10187405194253536,-0.07651638287792609,0.004811507297643086,0.035307111201534534,-0.024570815850839624,-0.060124774030137225
QDPR,-0.03643197586030842,-0.005267318107939725,0.03708071996219628,-0.1354556954953199,0.01909327945324684,0.08959798191153649,0.01764132242359048,0.12115134300898137,-0.03177416753550177,-0.039376024383041094,0.010885774753062776,0.017064845361393997,-0.005996498807343219,-0.022477029947881675,0.01933285914736049,-0.0011550486213428293
POMC,-0.010018124724995598,0.010621889889324308,0.046632471939006125,0.08182133312059296,-0.014645674004122807,-0.035184379222004535,0.0502716649339522,-0.018371323588901423,0.06132897408685908,-0.061498540582498235,0.03212490051955194,0.09248932366588895,0.043426973440278356,0.05282160289164091,0.015259563943334385,0.030734018521759693
CCL18,-0.028461333078031423,,,,,0.1724257981829445,,-0.04194790888058134,,-0.028574176228006357,0.017289656966263046,-0.019406061034904682,,0.019542574702380223,,
CCL17,,,0.03643546985123413,,0.018787902724137225,,,,,,-0.02340155958385977,-0.03391211559834792,0.01889754214749094,,-0.02619939937745633,
VEGFD,-0.003413145861027443,-0.016503213880097383,-0.035203000864356335,-0.006141692798938732,-0.016771985261987456,0.10717337463159483,,0.0515605468758001,-0.058413383010764514,,,-0.02349195759372993,0.05250044039478561,,,
TNFSF13,0.041767063792141665,,-0.021795184285189378,,,,,,,,-0.015555591639744402,-0.014433619397097431,0.10773572630384957,-0.016446960018090838,0.058599532590234364,-0.015422162494486824
WNT5A,0.024909756775968947,0.02426981920828177,0.011522933797297658,0.10075116615728161,0.044101539506100094,0.04070617771846998,0.06086103626061735,0.03439157145015981,0.06985474619001172,0.05498931541971852,-0.0037834327777920506,0.018806638767225884,-0.06975028233056368,-0.027178029162000825,0.015973932731047615,0.06468617469342491
CXCL8,-0.01749969398909439,-0.015452631300640684,0.01684139436285441,0.027918825648848088,-0.03803915046408082,0.04467301909273366,,0.04947583784017558,-0.10903491702794176,0.11523082663356067,-0.0607428888409667,-0.07128666302030418,-0.03410423765961267,-0.01334902858675516,-0.0005977828500670845,-0.014028909808037442
GRN,0.1489167240513625,0.07007125986582675,0.022936414719100056,0.13683606006761867,0.004836790382403296,0.06729837448458986,0.03999712629430078,0.02926574204307099,0.07082831330118175,-0.019671194484505945,0.05782528365797618,0.03745638365045631,0.04780834406767412,0.004653355397657629,0.0919501125036602,0.05652279303654799
MIA,0.039547098293314736,-0.01467680430861552,0.009609784942505918,0.12873887853771468,-0.001903366584502206,-0.008192347277565225,0.065841648714984,0.019400831692214078,0.05516578910136155,0.006633937430008013,0.10854351736213433,0.016400485327474446,-0.008418492207194088,-0.058945967843157455,0.06938142301527678,0.013453409744257275
COL4A4,-0.034181829785044276,-0.02468201341179027,0.02012957949933516,0.06500985806737969,0.017099328673708777,,,,-0.04573882930411192,0.13839725406900494,0.1293597712465386,-0.015051705969485175,-0.02300992224351321,-0.003230371886180794,-3.813220928845698e-05,0.09692397997852599
TAC1,0.07809643602645507,0.010063422718530652,0.056405107758504595,-0.05366907567884903,0.019305524835186726,,,,,,,,,0.019983284361617372,0.10275635647887196,0.011274156608401005
RARRES2,-0.043398424831839776,0.04918467739188202,0.019892830571549683,0.10305146744470857,0.05092323038420691,-0.03358790199522828,-0.01159626721643835,0.06640409951449448,-0.07874220700233929,0.11901951939545374,-0.026050577135716634,-0.048058499168013774,0.005458893798671112,-0.10257286997946044,-0.03500880082941887,-0.08849051046445142
FGF7,,0.1368298411297139,-0.02215586469784129,-0.01093693706851245,0.010219599361956926,0.10587443854704043,-0.0382720319382561,0.13163916100704476,0.034873392491103085,0.09662554397856922,0.010766921299874528,-0.0401573675366463,-0.02382655029303909,0.030583068122217377,0.04537283538488222,-0.02237196114097304
EFNA2,,,,,,,,,,,,-0.022327533538749205,,,,
HBEGF,0.14347208409258444,0.030429246611344506,0.06477166038042181,0.05544362938793156,0.021470780168581467,0.10233926624938174,0.10978201401148008,0.12087399604997866,0.06066727444338062,0.0286853686323928,0.033084544484032544,0.01103475511983221,-0.020674421761428294,-0.022032289257584995,0.0067291880062128155,0.1202630638416677
CSF3,,,-0.022346852473541044,0.0012121226437129204,,-0.0033070160825307985,,,,,0.0017035137960937192,-0.05319138738380727,,0.015594033019942352,-0.02758392581006651,-0.023304808194502633
PI3,0.004600215306213478,,-0.046140872706265136,-0.021621016152569086,,,,0.13503241331769664,,,-0.06541451704986934,-0.0688531996574139,-0.02040955009528886,-0.02863102050570278,-0.05993070692429556,-0.020449359911250048
PCSK1N,-0.0006166524323332377,-0.019817092425270997,0.017053318644067943,0.0006246500376242888,0.009744308461149832,0.15800041802066553,0.0007018105374919954,0.08339764587197872,0.12338198483961857,0.019934663146415926,0.03762588221262605,0.05951673284440624,0.009665083342453574,0.003931931112853499,-0.04120308707750516,0.006282146453043813
NTS,,,,-0.023600815431617763,0.040510450666769955,,,,,,0.0352905303537984,-0.011443168864299878,,-0.006939512706137806,0.024662789085288836,
SFRP1,0.06667622925449242,0.017542340640908097,-0.006273203659806154,0.053010274971337014,0.06743706513432961,0.01100592818090878,0.04571919158782875,-0.09788015479783709,0.023686788483611332,-0.023559881161613633,0.04329296621786105,0.012858548010279908,0.012625138036998473,0.017251375582958813,0.04999627937171981,-0.008149263980365246
CXCL13,,-0.027861624353150333,,,,0.08896611294460434,,,,,0.026610974080785606,-0.0423799671854791,,-0.03425155146851183,,0.0367047405919421
MICA,0.08324180243259408,0.044916339391676136,0.02827801711846402,0.05149844073103053,-0.021172905611305685,0.050382119072263996,0.13033257199086734,-0.018922241759827735,0.056351744714914075,0.04375196843016198,0.13881319578042348,-0.05928688639599354,0.10410034390834072,0.006669462865828991,0.06140928146852692,-0.048481118345951674
TG,-0.028379234970468004,-0.01566784584176618,-0.019857079296413154,0.0433635827897957,-0.015859673271291348,-0.011285205541754313,-0.018975046273041047,0.1491166213665153,-0.048547604167921796,-0.030287999285321866,0.10149071609407045,-0.033502067485751234,,-0.017281396076442853,0.056576555399939506,0.031186522231600212
ADA,0.09152715641700553,0.027482453287171794,0.03295698724271252,0.07948144602254427,0.018865627629046273,0.12092120789760148,0.09815581242073698,0.02693954749575804,0.11813441206838099,0.007186883745928222,0.03280144128325778,0.06893868619369983,0.062342544606914414,0.086357548550794,0.040604362687967,0.029245352706157565
LAMC3,0.1674599957467137,-0.01644815165472555,-0.026802145166782462,0.1694305212872185,-0.007622941241035082,0.05419437778564576,0.115381285550749,0.001374122749624218,0.04909302379633724,0.019755283338376256,0.05718101445451689,0.1295698093969316,0.0472036974626832,0.058030138307461086,0.10289181373739377,0.0939498986431376
CCL7,-0.018103812187441715,,-0.021510904326902728,,,,,,,,0.05318756190800767,,,,-0.02890528040964487,-0.013229299584423574
NGF,0.050454072969206426,,0.005702944804927805,,,0.06630660641809914,,,-0.030822821915439145,0.10114785190952225,-0.029581098891400995,-0.022027413924470135,,0.014915831043527743,-0.0197475952270561,0.03744881642040309
TNFSF15,,,-0.012028684323097541,,,0.011944512915831628,-0.02877551980208069,,-0.007325128690609185,0.07032576634306494,-0.03419276672933029,,,-0.013039185796846472,0.0020381583634368245,0.02307433605637941
