,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.029632747784347237,,,,,,,,,,0.056831020316011956,,0.020392695680479717,,
BMP1,-0.06707603788157891,-0.023302767718392046,-0.010528408423214447,-0.029319736440375093,0.02318329855147969,0.023668220503949376,0.013064200447146688,0.00513684260542439,-0.0028003171989100556,-0.13722741743117478,0.05117684610438985,-0.07276732613792078,0.01118410922709474,0.05913426906573315,0.008862584713602488,-0.05936311066921275,0.00013015076186037586,-0.07674342690156895,0.11718383111844889,-0.06230479426218842,0.008491227276741984
NDP,-0.042275390521205256,0.03789200991354592,0.040987728262345584,0.00012288537735375896,0.03510281171558897,0.016253292782284004,0.02757482802090361,0.016915474067873346,0.017823727683084645,0.003914310233789263,-0.00015338050907933115,-0.01969734203262634,0.03360550356324844,0.023273515148689847,-0.027086716664077207,0.10808281770561479,-0.05620642237500655,-0.029230898693384605,0.033250511311574714,0.006037337091313861,-0.06707190530144817
TNFSF18,-0.02859202052307132,-0.021387851922680893,-0.030565854443246238,,,0.022286504788325945,-0.035273976562813614,-0.03431736089280377,,,,,-0.019339848325559,,,,0.11355449739519549,,0.06765533958470552,-0.05334015296412001,
IL36G,,,,,,,,,,,,0.033338889070053515,,,,,,,,,
RTN4,0.17656827998473149,-0.046838302126245866,-0.016575862939789108,0.023415469275867632,0.09409809792438967,-0.048407798155667384,-0.01553654435796282,0.009229147993590826,-0.06916034637188712,0.23780592479913626,-0.04539720923499133,0.12702318371782492,-0.020465843926108746,-0.018740888569074986,0.04205539735372985,-0.035006879552532774,0.013496699643396509,0.06852041267216505,0.0345748876354271,0.16401447478028833,-0.0076242853360195826
HEBP1,-0.03705267211193978,-0.02307925989320409,0.03064964182648485,-0.007736239602343829,-0.03784887722908425,0.005012701884197599,-0.06886293034808619,0.00910881741732741,0.06668564188541631,-0.12004081380528743,-0.0326074171425276,-0.041886517050408495,-0.05843899344805837,-0.07566813152456056,0.03216347081113773,0.08885174283470051,0.057064197296937576,0.015675913029357502,0.08189343401633964,-0.012248107078910714,-0.0190138519176632
WNT7B,0.10169793109691072,-0.05156941251134503,-0.040674067476239736,-0.006826641246740472,0.05213081214030466,-0.027261784096272907,0.003699345632128204,0.0011009622180433234,-0.009648421622164291,,0.04733884763383981,0.040381920015837756,,0.08288322179807013,0.04269286805966043,-0.01771002325351193,-0.012012551834592294,0.037770157286916725,0.12015316611798031,0.09683818674463346,0.03685294476072811
PTMA,-0.013404871536080285,0.05970469753203663,0.10076694440623452,-0.026334822902745813,-0.04876455051622168,0.0981818588551033,0.033671963303394545,0.04082938088131302,0.0025133787251587973,-0.29763301261629876,0.09378327088177107,-0.11880591019465163,0.03236761298780649,-0.10902993690720104,-0.05644417917382803,-0.03212130475375982,0.04641640101725926,0.024930164080285835,0.050741983649323946,-0.11226765349951182,-0.03466458336104817
FASLG,,,,,,,,,,,,,,,,,,,0.008480220494871007,,
CEACAM1,,0.08456200560751191,-0.007979727739756574,0.016455161953312984,0.03460959787097699,,-0.044138172507246706,0.03374463025673662,,,,,0.003740096796649569,-0.03982545541086749,0.07737815006424073,-0.007388276711713802,-0.0120918940127995,0.04563780200943695,0.029969200716726922,,
PDAP1,0.01138970755623095,0.0665927730031576,-0.03792285973311772,0.03989684758457575,-0.024526166627997385,0.01890258774904429,0.004305363206012581,0.018388215432881758,-0.000818090584808259,0.037299344662003034,0.15832218648514015,-0.04081426286144394,0.01897207592136249,0.044813825824111066,-0.04410796464048147,-0.048535448153954885,0.01503173775107843,0.0046120254935908735,-0.08270055645128127,0.005270907734160775,-0.06707945095160829
QDPR,0.14733287327674613,0.024898299944377828,0.01769634262061763,-0.009596683201416361,0.10041690744974728,0.055318962387960996,0.051318949121389075,0.05619740831912577,0.004717156700573115,-0.26124412693880394,0.14886326712817027,0.024773468560586327,0.009072243129576116,-0.06562598560265369,0.016228164029272657,0.12452864678724278,0.033401895919082485,0.032007233298727795,0.014699324972832708,0.18817282017086068,0.051175739907044854
POMC,0.08211651278020422,-0.03267200186653807,0.04209033077319287,-0.02146845774673015,0.08477389476707213,-0.006465661134910769,-0.07464458145157098,-0.03981915182703441,0.04438705250503102,-0.05823838541577329,0.013355517630133047,0.013830717265157583,0.06881894130313654,-0.009465914601551408,0.06247466590339555,0.012878406981947203,0.010192776677503767,0.036118074144139686,0.06191733364024735,0.0679967054541825,0.02775370371596974
CCL18,-0.03834425047821215,-0.03136437357902065,,,,,,,,-0.0329626173470135,0.14418293930909057,,,-0.044722531330236896,-0.0060712915378719244,-0.006161243069367323,,-0.019974903959194074,,,
CCL17,,,,0.06946997574574787,,,,0.01750750180090974,0.09681595063937626,,,0.00914484481861577,,,-0.04468016416886792,-0.03363005463298184,0.07533236480199414,,-0.017345319883077564,,
VEGFD,0.041130906261010666,-0.03136438353867828,-0.01608861297024848,0.015525248530302346,0.033892271132182385,,-0.041829662911764355,0.11860508782458924,0.0350746332562972,0.0992442135993142,-0.0042223722279633785,-0.00876767265963673,-0.06317467387223989,,,0.05358672217562677,0.0006335240297745455,,,,
TNFSF13,,0.0059815748830040795,,-0.029929422144805616,,0.013553162188494281,,,,,,,,,-0.0570265162127272,0.09146260743158129,-0.0065661515702798625,0.056820391213347955,0.07570141350354744,-0.011775320005124159,
WNT5A,-0.05484746918824601,0.011349775708274862,0.011436135175534037,0.04919419021392358,-0.032324291056335254,0.06098108096218884,0.027023440569218665,-0.0025432386652193017,0.018626113089703283,0.049133101865590285,0.07524958672222459,-0.04809859065946081,-0.08468000970057404,0.08432653082304327,0.008030186585265818,0.039142934202847444,0.008713329162910559,0.04615305406853528,0.08583554569479629,-0.026205319484110708,0.014549791157943734
CXCL8,-0.07477594186055027,-0.005416386190102471,-0.01832787406815052,0.0091359887734505,-0.07251577316406797,0.037611956216541384,-0.04502218557940737,-0.04589654952624783,-0.025132136509057296,-0.09787762531062019,-0.001957201041093979,-0.03556090775629185,0.035213801733874006,-0.029566015589626737,-0.11484464811439464,-0.2161869076388703,-0.044524328138981904,-0.05298974621553617,0.007404950138280902,-0.13030298806827398,-0.06569077928239753
GRN,-0.01784426232815236,-0.0159746873670333,0.029922435253117084,0.026652487906104572,-0.06572029493212751,0.03467297622271012,0.04960658334732618,0.011300463134637534,0.018707164954753067,-0.19407307013189395,0.05124559751521361,0.02027744547434677,-0.033024524823357534,0.014528533334145756,0.03360977725268839,-0.020473438231057545,0.03278510011899042,-0.06920883782839535,0.1177292922618167,-0.020445096242201616,-0.10947107458163509
MIA,-0.004534733737579001,-0.03029657026730832,-0.00822911601901291,-0.022690101259965616,-0.045712371030479385,0.09535037781494549,-0.0017067136370443926,-0.03457750406538217,0.019009374177278833,,-0.05201793068384949,-0.03215188774134425,0.003875318342918125,0.06734293988336654,0.14694924223606123,0.25474614883134233,0.13330368852279376,0.012769506397759539,0.0223799829855338,-0.04973296708104897,
COL4A4,-0.014953783934627074,0.02843344059106998,-0.04380233037383609,0.004095756035864088,0.0036269161878447597,-0.007198572896602802,-0.0025240449430869918,0.0339608615260932,0.05112313685721882,,,-0.031188523915151214,0.09114629995049486,0.18884480755368724,0.11077288007071401,0.008293658851840514,-0.05506189592144556,0.032553596330938746,0.05576223558182687,-0.0552497801997547,
TAC1,0.17334347425650154,0.042174775162861985,0.035614538558648254,0.01799814596204506,0.09657546949921106,-0.01762002957591522,-0.03653419068538327,0.07713952960399936,-0.008813212317731212,0.1256084674975943,,0.11993344629233045,,,,,,0.009454193837879769,0.003824789517320419,0.07135014612431471,0.05356892965494711
RARRES2,0.09748142700708748,0.04617927085115401,0.028365181004891802,0.04766794258963688,-0.08851649231802539,0.03446358763208818,0.02153607373374786,0.0859008750342908,0.020357683910126153,-0.11735523173338165,0.013968549430678299,-0.05183106722283807,0.06337458260205091,0.06561372008367185,-0.033203959986516415,-0.03398736681414668,0.002286015761555255,-0.008013567944147185,0.02733847979537285,-0.04660135202600197,0.07641668214465919
FGF7,-0.02673573158064772,,0.06163905098478985,0.0681153844318116,-0.029707948373387465,0.07647724241257618,0.03722774803487275,-0.013089630510209635,0.015818263989676708,0.016936770190781977,0.034509885165645966,-0.05929936309767297,-0.00646172988934631,0.005377173334341068,0.0567617081959541,0.00270552232634539,0.005478734926879578,0.07473968028899622,0.016983503457617077,0.023568038739131585,0.05420957323512425
EFNA2,,,,,,,,,,,,,,,,0.0659641931862176,,,,,
HBEGF,-0.05703667127003334,-0.03318204659095564,0.004072179209717159,0.0366461769789184,-0.013489969431097081,0.03729546665722994,-0.025620750880047477,-0.06594986359614428,-0.0016614775119026591,-0.06976856227911536,0.0629582298259202,-0.007100487898208566,0.12344317731489875,0.04853968712687176,0.04822250490883195,0.0058217230700693175,0.026659608251700845,-0.0015327004875525484,0.017589717787497253,-0.10920059922238527,0.031186645169830884
CSF3,-0.015693958161232095,,,0.023319687469481508,-0.06341093773971321,,-0.030893962058654353,,,,-0.012194705291875765,,,,-0.08277910244910872,-0.09451657808287062,,-0.04120760107675311,-0.04356833008311819,0.0016362634808258817,
PI3,0.03300739695587222,-0.03299664338213927,,-0.02407199725360518,-0.045722670126151395,,-0.03478700903420821,,,,,,,,-0.09046079468498637,-0.2525767805424179,-0.04509984606739531,0.04514845441860811,-0.060016955641085334,-0.02355316900355931,
PCSK1N,0.17441716387396036,0.015960287888392894,-0.007028015875120085,0.013423987109363664,-0.012240315616836828,0.006918262258228435,-0.05686612988250433,-0.0579086743559807,-0.06566582576727613,0.2968328239775224,0.09584922811748918,0.11796623052592833,0.0341649746153466,-0.010338953116086605,0.08181681065194699,0.06563380669288651,0.053157205653508045,0.12151720085277425,-0.03602604207597584,0.11328885771184327,0.034123652615202636
NTS,,,,,-0.007794744529093368,0.013212284336267458,-0.02660461164914153,0.021479572954156676,0.04926599545309084,-0.009660140581533899,,,,,0.063524890505608,0.04250232345650246,,0.08852041435145816,0.023867898355541674,,
SFRP1,0.033627938072411344,-0.03394428650087361,-0.01815338435788454,0.05824945131608279,0.031202251832406554,-0.0043198469837293415,-0.04427875312682639,0.03016822543591324,-0.03806671121293938,-0.06935533553221658,0.1154360639770481,-0.0024990838310588806,-0.04703595964065896,-0.07405993408588198,0.11126402486938215,0.07364241194885408,0.030310925483412018,0.010395533989753904,0.0337189563926708,0.04789016300851482,-0.04345243146929439
CXCL13,,,0.005615785657057493,,0.05853207539403482,,,,,,0.09396207284936525,,,,0.011525440999550936,-0.03209841257702639,,0.06316814307025731,,0.02506446506991398,
MICA,-0.04747346549664483,0.0065682722528067165,0.00750482956143826,0.019002333054402708,-0.01031738410098281,-0.000260297228602383,0.010079270527050602,0.010465120837137538,0.012714231406967858,-0.014055181073836404,0.04782651446899774,-0.05185620945469288,0.04777042469676159,-0.0237932103651646,0.03379202714852627,0.04626078376047284,-0.03516958392061608,-0.007682393046464891,0.09288864272603384,-0.04862842823807604,0.10330387242921735
