,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.07574921252469231,,,,,,,,,-0.001778158599886887,,,,
BMP1,0.05554473866471701,-0.013275062023280633,-0.03303431799071603,0.04334300111343929,-0.0441600642628957,-0.02130361458377654,-0.11648952568482883,-0.15193105654734484,-0.4890532874495064,-0.15803177083074274,0.004092159674440919,-0.20878491220087989,0.04301139779855204,-0.3659230983099383,0.014352204040331364,-0.05065924962502391,-0.07048225044487089,-0.021126225058636525,-0.052994824920845195,-0.08215619310299901,-0.12986472059949253,-0.022963590353963337
NDP,-0.017536421715446445,-0.04446130430111123,0.018272109055832306,0.04416504068739344,0.03478170934853759,0.007505002762667211,0.1833646869734487,0.05887849461418259,-0.06313106766096237,0.07209975837957634,0.0536244049188657,-0.13714647436672886,0.043558324356414616,-0.07104953495698162,-0.07493893212723961,-0.0015665234251665146,0.04520029604560857,0.04678043479603127,-0.005127531610543527,0.014614516783147504,0.0028965114684020975,-0.04517556959523521
TNFSF18,-0.010679621064859547,-0.0666673165735436,-0.02462057098342825,-0.01246034989904234,,,,-0.03698647842884435,-0.08563884869658124,-0.029102898517954823,,,,,-0.023342031303789364,,,0.08477338285088183,,0.1183378894479816,-0.1294989446599705,
IL36G,,,,,,,,,,,,,,-0.05961065159748361,,,,,,,,
RTN4,-0.1129885744840718,0.2827071683134887,0.06127010191878926,0.07571825988285766,0.03990471561145973,0.09170834032107877,0.2634576834603246,0.4238248796229006,0.5982956686876579,0.2709977605726093,0.06593478418130948,0.5240331445452924,0.06859694288127073,0.5329964853850232,0.07382912806742506,0.12527337074223266,0.0027814851816750667,-0.007653716923998072,0.2500917813754381,-0.02434937459546373,0.6200735985433502,0.0023784764572408173
HEBP1,0.023374245703473222,-0.0687134473664645,0.008429540536542697,0.013211278468997728,-0.03075276082006546,-0.025590150756675766,-0.001304315111272037,-0.10294184000268791,-0.19433974897855333,-0.014911537058214824,0.02789881484849118,-0.25741936814276734,0.013573908975331143,-0.044262829085058464,-0.03605474175627422,0.11745332426487488,0.05143547043207352,-0.0006529481585794114,-0.0067224573476088794,0.14183056254183463,-0.04449497692272023,-0.06682093508460955
WNT7B,-0.02403374688682901,0.3728798882061615,0.004356390425599908,0.026377614090283157,0.07407135877755557,-0.012245197680202456,0.1093955712376862,0.12441307349538726,0.34356110066855833,0.0054502419309534955,0.03946848842619252,,-0.003156407337710655,0.15197069390908313,-0.02569729815693964,0.04150122019340152,0.017446704197687162,0.017248925936270598,-0.018057598229070635,-0.017779709128001513,0.05757921872091923,0.045347120050841475
PTMA,0.012417591743807513,0.006290499172136922,0.032094881825981046,-0.022356407782117838,0.07137149726291593,-0.03446892257729349,-0.22487279575697897,-0.43130591212972313,0.07399890767517697,0.18119173226710752,-0.11948751825788462,-0.6959701734384167,0.08325357051412259,-0.5645365342763237,-0.021387288260940666,-0.11083740809131248,-0.0023052923919744065,-0.09146469889867506,-0.1264666712386138,0.0005348360592196327,-0.24732794872264438,-0.20363507603316666
FASLG,-0.02403375368110769,,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.0188937642677683,,-0.039512311777134525,-0.025039076846480574,,-0.024044096694908004,0.009884834240970116,,-0.14522456048925397,-0.00863170780118796,,,,,,0.10189630212047823,-0.008101594883500316,-0.03457307336818859,0.010886064421437056,,,
PDAP1,0.05886635458387546,-0.09900597212245815,0.03718157241656913,0.01576262639138196,0.083379089413655,0.03613815999364013,-0.13116037484925325,-0.16388472924882724,-0.3424040416710984,0.02541837661727528,-0.017833567596355834,-0.009686051158759108,0.0443953943451116,-0.28555752572083404,-0.017639732820375092,-0.04101940273518048,-0.03534111695893443,0.015473299850908371,-0.03143966430070427,0.03761361946743254,-0.10099875088095318,-0.06115302546356307
QDPR,-0.08236162161547544,0.20466308680173353,0.09770102044108259,-0.035874927905535245,0.014946176166350368,-0.002880756208778844,0.3186999696002429,0.17085981230346292,0.22383470974148142,0.1461598343946884,0.07348467224061413,-0.4852415525535849,0.07309484402389879,0.1349236671461159,0.0616913631718876,0.1219702534371418,0.13429930149914024,-0.04617538735147166,0.04707160307491918,-0.04650204344170112,0.4279596886041716,-0.015331312855404552
POMC,0.003191617346650361,0.18832744655792424,0.023484632840977227,-0.001920570388905749,,0.013648696283249745,0.0965105811255341,0.04646416724902573,-0.0016710202193709256,-0.008562562732161284,-0.004976440068839652,-0.09153361187217846,0.019061756019860418,0.09186691186260919,-0.013318178199878575,0.053811513158827415,0.035965472269305035,0.10407909860640771,0.004210217108123148,,0.031887711457718494,0.0227279004512584
CCL18,,-0.03802193464110548,-0.05176271167955057,,,,,,,,,-0.24626697327866848,0.02833173387797865,,,0.005157623678274884,-0.0863874726377545,,-0.12622561005618047,,,
CCL17,,,,,,0.03296957809320507,,,,-0.017136729225492774,0.021240420141481774,,,0.01655948037334368,,-0.06745553088932324,0.04309210792803611,-0.030760705759448875,,,,
VEGFD,,0.030180401117241983,0.0645135879637664,0.03141932638642753,,0.054389637434958116,0.04344781683382839,,-0.12385113831333952,0.031152061929361596,0.02480486007024552,0.042721437285517055,0.016033303391086128,-0.016542410529307924,,,0.028470829888069,-0.03244305030534001,,,,
TNFSF13,,,0.07934218147336834,,,-0.028717153345671178,,-0.011529515979576114,,,,,,,,0.1116523035854452,0.08796074445596856,-0.03298687885686348,-0.0007878572608395372,,0.0155063035018143,
WNT5A,-0.043092313082694,-0.12395345438512163,-0.06074393544976297,-0.004490012120537109,0.06804693056962066,0.07848462171868999,-0.0907902235491898,-0.26798969958631946,-0.3649376646070922,-0.040453604491490235,0.04270444494227761,0.03360131168004284,0.020277161042030957,-0.13546270709138397,-0.007823371629388511,0.09083978965201202,0.0551744597830698,0.007121399949296201,0.013407116679076408,0.038651326609058075,-0.23530280625001704,0.11511321476890608
CXCL8,,-0.22266406514603101,-0.05601565925774697,0.004443694874913704,0.009043948721696494,-0.07504030656451643,-0.23245205558382095,-0.017662726232717623,-0.10536408505830229,-0.19435829841947896,0.004440223383064736,-0.21245751692271167,-0.02083348303245498,-0.12396285028163785,,-0.20519023846719397,-0.2595904954566125,0.04167754841352739,-0.09513969793512278,0.05936312620617709,-0.32972488000513706,-0.009798443459038821
GRN,-0.13117281710840606,-0.11813452947788929,-0.12181547544936192,-0.015322900443047054,0.03314518155610339,-0.042121319292890584,-0.1635182517704801,-0.21616283408488154,-0.4852114790634757,-0.001771834994802413,-0.06393989264569157,-0.4307906976896648,-0.049582466118482764,0.09441374431205311,0.010523954404508243,-0.054135606174626524,-0.006190716279396229,0.004554397674933712,-0.15604373165114382,0.06065138463470834,0.18272834423062181,-0.06502241442873935
MIA,0.027372032735284164,-0.05514975086029519,0.005356009151265752,-0.018531178839089096,-0.05603433338860766,-0.03138968214860689,-0.11586528122933641,-0.06308562073546603,-0.1543826108314881,-0.06988337905322363,0.02719607260650635,,0.025403102185138395,-0.027464508861134915,0.01132960969091033,0.20702835734151587,0.1855183606087639,-0.0030018942837405915,-0.08549644945423955,,-0.15472564317789234,
COL4A4,0.07376129635298125,-0.02367795450283597,0.0438666661408367,-0.00886773710081399,-0.011128504335778508,0.0489684411140122,-0.14720617590759716,-0.06752784834804351,-0.034934715761745415,0.02932020916523163,-0.004775052149171047,,,-0.07664347596125423,,0.10935557664499054,0.07876482114092523,0.0008117284434722968,0.07702092854514282,,-0.12839328566189626,
TAC1,0.05552560608805666,0.3438353635897761,0.1932152540735375,0.08486092442289721,0.13887057614162995,0.1790608284284773,0.39912590592978214,0.37684826090755286,0.5384564549574773,0.37600075217636175,0.0642162209050778,0.43110829640551607,,0.49366600561105306,,,,,0.11651049705934563,0.001692688668377183,0.47950991370015805,0.2020979979398355
RARRES2,0.11863654626260987,0.05673441615485007,0.005132412917092996,0.022629742847812263,0.013006207979077958,0.053228415342193997,-0.36422972165420386,-0.2446434474432904,-0.5374307211022119,0.19648579663485655,-0.012352260326137187,-0.17878574262961988,-0.05808476358696008,-0.2888234259339175,0.03146702467813074,-0.0537388201839631,-0.10718425322186806,-0.0026089110259655077,-0.06895649925923919,-0.06749070392870637,-0.35518786553453086,-0.033598097924705396
FGF7,0.01546223333427115,-0.013474985573897346,,-0.03201733533356582,-0.09040282147457127,0.006307036555305678,0.13232654913016242,-0.008929301128869515,-0.07694494700685524,-0.004353172003989419,-0.012335685617050424,0.016605604854990443,0.04418740685332522,-0.06998947132373734,0.010054025598134748,0.0721583408601199,0.06296577127777765,-0.02456663300841468,0.04376697476268953,0.08584088532695923,0.0626664283766829,0.024311894657771695
EFNA2,,,,,,,,,,,,,,,,,-0.019156146488840106,,,,,
HBEGF,0.05267906440806635,-0.07606171579987316,-0.05693099494330082,-0.02717563245291658,-0.07524022862894048,0.00954138933383398,-0.19056536024409784,-0.17828370709904795,-0.20337770139643196,-0.32214564003614354,-0.003660139095842765,-0.237515542917866,0.03684901932611526,-0.11197614134084144,-0.005858971480371597,-0.00835739902675139,0.02752382700843048,0.0257876297759461,-0.08324397548087366,-0.036988939636209375,-0.327745712189752,0.02671907853744478
CSF3,,-0.045111479235232434,,,0.10333932108045667,-0.011980966649099544,-0.05858152227095747,,-0.032941341587564066,,,,0.0175625983648469,,,-0.11870456965620038,-0.16282694418855112,,-0.07265408616130643,-0.027729355577724532,-0.16151518003755624,
PI3,,-0.10986087718311353,-0.05950391320687999,,0.011298461527433586,-0.02893674095903951,-0.07525956103626882,,-0.06658899174620456,,,,,,,-0.23649190074415788,-0.24483791987562575,-0.026136236500418276,-0.10732989002306668,,-0.19943073145552345,
PCSK1N,0.08389638503050417,0.41461612834009726,0.09772415902991953,0.08881677135160511,0.12353275177531772,0.02291461593687192,0.07820662361031547,0.19480177304039467,0.3098322034485556,-0.1772257783996478,0.04629810309763285,0.6443565057562124,0.06107332763506873,0.5384632791484396,0.14141194313001584,0.18836379890550142,0.12767253308584495,-0.048501733602223616,0.31306686743878054,0.1627078522586472,0.5530270161305997,0.1474194899850264
NTS,,,,,,,-0.1298480717028479,0.06124397629109123,-0.09293936327504851,-0.0060265654087967805,-0.05522032709909829,-0.10020457312658484,,,,0.059447266208409504,0.09616276954198376,,0.0840474713229717,,,
SFRP1,0.07230446585319217,0.16042551482904108,-0.007101120216438124,0.0034009692621192775,,-0.004955091692215375,0.12166604737582784,-0.08522919622584722,-0.04108717011818195,-0.06868196409989237,0.011639773383346845,-0.18699123128016598,0.037806967008707414,0.037289376945242404,-0.0243720731799059,0.20224178474263896,0.18292705624185654,-0.03740284484328752,0.030099556442829602,-0.00011677201429001332,0.03019278039195913,-0.0029026515166662285
CXCL13,,,,-0.03171267662889951,0.06211842283185353,,0.010585152578360927,,,,,,0.13081813019421146,,,-0.0769534472848825,-0.022423733122168686,,-0.03463936887199983,,-0.11669132697277225,
MICA,-2.6495088833554763e-05,-0.11834712403847554,-0.00439650070130395,0.044100446296492374,0.010098882882558908,-0.03639008179601504,-0.01584508842755634,0.03168752190588198,-0.1849899542496411,-0.004249299014335051,-0.028388271026010232,-0.0845897333755841,0.0020670872834218164,-0.20988226748831137,-0.05090365732102284,0.01854029143893554,0.05090277155766693,-0.048122227615580264,0.036899328552597456,0.06556164711366741,-0.10842211615977479,0.10330119698363817
TG,-0.027834008987507243,-0.00428196776688385,-0.005533962349036929,0.04237088558192905,,-0.006472003576959812,0.001682385645963733,0.00542936311917218,-0.04524257896242703,0.01829320489114228,0.0005461143884094614,,0.046631581811564564,-0.04412630694837279,-0.029913903052986152,0.10151076346651165,0.04431593855261679,,-0.0024080613782290743,,0.06708937939375667,
ADA,-0.010284837007942716,0.04015077809399904,0.0013951861309140063,-0.009309708431547088,0.004951823668411494,-0.007973733344380486,0.03976207875694801,-0.05422817386026162,-0.38130194202104073,-0.0361466330223357,0.030039104762009803,-0.27939692400605026,0.023919536411728802,-0.1496464432923814,0.022357736553797435,0.042932079020827366,0.06665969226063784,0.006645677720833299,-0.0751767940576671,-0.023669770619809072,-0.03429625923697724,0.1830585746731609
