,UKF251,UKF259,UKF266,UKF334,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,,-0.01636014706016318
BMP1,0.03181891413808024,-0.03502544179179933,0.024044391531720125,0.05771659317590134,-0.011659455106250823,0.01790217605686369
NDP,0.009467623591598058,-0.04542453035337033,-0.023458265047568365,-0.06220409089454422,0.04649347463086051,-0.008281684580846823
TNFSF18,-0.03432199675960752,,-0.012024545639295918,,,-0.016871930889592438
IL36G,,,,-0.013552787509216431,,
RTN4,-0.01923139769213764,-0.002572404621533486,-0.05404102298352394,-0.03291401229852706,-0.03845183316417563,-0.052543612397693146
HEBP1,-0.011710455052410524,0.03019362437831018,0.03990516975386705,-0.007206548415836574,0.010361785566490261,0.06365526363034898
WNT7B,-0.013914600759706283,0.0006766498513085035,0.01348473559893639,-0.014896075314828347,0.019692462457627583,-0.0352805723938315
PTMA,-0.006161814240546649,0.03783616739353779,0.11002801109943755,0.03488056460199649,0.0043854055331387825,0.05848786010286166
CEACAM1,-0.004466888640993849,7.708837005867872e-05,,,-0.015399751345296819,-0.024243203234918274
PDAP1,0.006167170879253059,0.017455391173137227,0.024128330353395608,0.07982873328215516,-0.0046824421748258346,0.022516283067172092
QDPR,0.010330414199318988,-0.05796269263321922,-0.01564007681983814,0.017341060098956806,0.04739363932002671,0.040634029494360485
POMC,-0.027406458237257916,-0.028331917229296413,0.004034059976838635,-0.029036992499080944,0.050584654148942663,-0.042859794328676634
CCL18,,,,,0.009178344490061923,
CCL17,,-0.02257149623970057,,0.04147736136259188,-0.022230507854607503,-0.021569908854617747
VEGFD,-0.02918396291543148,0.031916553148165015,,-0.013268947015785886,-0.015399751345296819,-0.022749596303947104
TNFSF13,,-0.015569312941142877,-0.011661300808394328,,0.009658685212876843,-0.023130937758874447
WNT5A,0.02931045823670036,-0.05174125812041382,0.09439190460772146,0.005119258999431454,0.01238202159016668,0.015462199703779354
CXCL8,0.08584963147226601,0.07164765716117323,-0.016587444057817376,-0.021053052406814515,-0.023057594426716954,0.03467786110323063
GRN,0.014198401894359437,0.026990993439472002,0.061953781367793594,-0.007376768735166516,-0.03939046971554032,0.015427814574350851
MIA,-0.025954175700057817,0.03063784667714895,-0.0034488161801866746,-0.01817243102158761,0.052577890517707546,0.11637952346110797
