,MGH258,UKF248,UKF251,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916bulk
IGFL3,,,,,,0.076881277387529,,,,,,,,-0.017035584270119607,,
BMP1,0.06254624540347276,0.031395145566026864,-0.04458794297434126,0.052367097056304455,-0.0053737329558054886,0.15187615485869116,0.007234363605268186,0.040949234040695295,-0.004231585222231345,-0.00859059359872494,0.061281383947204546,-0.011114423226430848,0.03056098351205913,0.007878846548262692,-0.08624742715884008,0.012579248723873617
NDP,0.045406887158455984,0.03942185060538399,0.0772422002984874,-0.039382957163378,-0.001657416150474629,0.03701402906948385,-0.04151448011621335,0.0047761225571912765,0.01998129550506828,0.07696972233343435,-0.004574379511946402,-0.025348245809092264,0.10340769725976157,-0.011561114366955574,0.04027700934716143,0.05052237879556505
TNFSF18,-0.022645266710236218,0.0027487768195763092,0.003775358927309351,,0.09219414156028403,-0.036249017437714026,,,,-0.02939600311720061,,0.04249586684285745,,0.036340409754527916,0.015716551294128894,-0.03174721700906585
IL36G,,,,,,,,,0.0385817858718953,,,,,,,
RTN4,-0.008734732089970599,0.04493014754958257,0.028377945171251546,0.01993359852393204,-0.10112087006834292,-0.14973409226461254,-0.01075861834660579,-0.13581965596924775,0.03177624189855262,-0.000842073668741964,-0.03641818611328066,0.013003547721519997,-0.010957599400059668,0.030876270956471046,0.022254613733180797,0.022795264533230213
HEBP1,0.02172275132963885,0.041768833022660386,-0.0098967431388186,0.05203174363063476,0.022236222862233358,0.03347441180557404,-0.028159971518686246,0.10005627527070818,0.030865997952702746,-0.06517403815784088,0.024849555099252893,-0.014357751137595623,0.01963338739999081,0.03552896919133477,0.08835378841638668,0.021577492721005342
WNT7B,0.07446661001925244,-0.02406025459575133,-0.013420359006286428,0.0070391890483310505,-0.028167205949482063,-0.07665596648647158,-0.0137412392941836,,0.005481432452804133,-0.03236213022310527,0.07588196822662885,,0.0005516849384269245,-0.01471875235630411,-0.03862775658866084,0.04241498086556856
PTMA,0.012277285667562523,-0.03803872932320052,-0.04352970058537332,0.0625781461464547,0.05622338306856396,-0.016237943798453208,0.0394259921463046,0.21062443127326477,0.002464008900815625,0.0040563326771464805,-0.08833383457260797,-0.007265828507807604,-0.15365087022144028,0.1507961536466068,0.08738475034762931,-0.05752908227706589
FASLG,-0.019949776341990497,,,,,,,,,,,,,,,
