,UKF269,ZH8811Bbulk
COL5A2,0.10640946764957626,-0.0010515525844653575
EFNA5,-0.043420035871171825,-0.0034162648566153056
AREG,0.07861421139880372,0.07013041260500062
EDIL3,-0.14207626391313835,-0.013678545133128259
CD86,0.026227837702990822,0.03476035570505162
AHSG,,-0.01852701422449309
HRAS,0.004081271861679696,-0.001202088160435983
C1QTNF5,,0.01539053782720484
RLN1,0.019213417639914042,-0.020713064587241314
COL4A1,0.11086436655861988,-0.032521098708137255
CCL3,0.012350107199642947,0.008378149658971622
BGN,0.04399576058599029,-0.0285158097775488
RETN,,-0.03490943077259988
S100A9,0.17394935906418618,-0.03673164142010906
HCRT,0.037167787565752945,0.03673352013153409
FADD,0.08943697383497008,0.051301784020398915
ACTR2,0.03343231506168797,-0.07011348971957528
BMP2,0.06510724492533446,-0.02708063501473665
PDYN,-0.08258045628065885,-0.021457154567262448
CD55,0.01527090042730163,0.020666604612926964
OSTN,-0.015493335609320518,
PDX1,,0.010629142414978024
CD6,0.03792138376867442,
IL16,0.030256657277251058,0.03325211288748053
LAMA5,0.04786854311980683,0.04069544547231606
RGMB,0.06683653188055148,0.04972921045799532
INSL5,-0.02662676340097966,
IL12A,0.05489755724810754,0.009844930797713173
S100A8,0.18386359568804367,-0.033946088557639725
TAC3,-0.05378058833868814,-0.0018418151901844965
TAC4,0.07747436607188642,
MFAP5,,-0.022934056535586785
CXCL16,0.04134467778493213,-0.027533843582915673
AGRN,0.07475584099852514,0.011132207147947739
COL4A6,0.13930964466708107,0.06093040415203471
FST,0.04979989653952638,0.0571324360139202
MEGF10,-0.02288679446921544,-0.018444165946481763
C1QB,0.13410357128180223,0.021139537721748213
HLA-B,0.08656315945296396,-0.030442170430459818
PDGFA,0.019260434174375334,-0.015644368271210202
LAMA3,0.02611916422873676,-0.016306836257591644
DKK1,-0.028562560173534413,-0.014705133577200106
INHBA,-0.018564353562876498,0.052149855302743776
IL7,0.06890501843703381,-0.031111851158652896
FABP5,0.0008108768576893605,0.06764474543257988
CCL4,0.05036895896278734,-0.03691897833638704
FBN1,0.04463140125979528,0.031340037266590695
TCTN1,0.06521126724456085,0.014393303906767985
NCR3LG1,,-0.024552970010947774
BMP7,0.04542931709974084,0.05253752550231118
NLGN2,0.08681198395399453,0.04917397289132019
CCL25,0.06573577165730023,0.025018512160584344
NPNT,0.12299144448858686,-0.003314079960348032
KITLG,0.004209939702321747,0.031839985224431766
MADCAM1,-0.02409026377414756,-0.01914604571150914
F12,0.06353876086210322,0.015339629355456767
S100B,0.015010293010471546,0.04723003033706277
IL27,,-0.023222657399196812
CD99,0.1394801211184911,0.04310378281283399
PDGFB,-0.004231743645567721,-0.04552655842595917
CLEC2D,0.05152733725431016,-0.043025278663047846
F8,0.06061755163568134,-0.012059957629297475
C3,0.12532244244918214,0.04643635243605687
DLK2,0.004091067963485553,0.008648727198359882
